name,frequency
Þorsteinn,83
Þórðr,72
Þorkell,58
Þorbiǫrn,55
Þórir,55
Þorgeirr,51
Helgi,50
Þórarinn,45
Ketill,44
Biǫrn,42
Þorgrímr,41
Grímr,32
Þórólfr,30
Þorgils,29
Einarr,28
Eyvindr,28
Þorvaldr,28
Ormr,27
Þormóðr,25
Oddr,24
Þorleifr,24
Úlfr,21
Brandr,20
Hrólfr,20
Óláfr,20
Ásgeirr,19
Bárðr,19
Eyiólfr,18
Halldórr,17
Hallr,17
Hrafn,17
Sigurðr,17
Atli,16
Ásbiǫrn,16
Ingialdr,16
Eysteinn,15
Skeggi,15
Snorri,15
Arnórr,14
Hróaldr,14
Steinn,14
Steinólfr,14
Ǫnundr,14
Ásmundr,13
Biarni,13
Bǫðvarr,13
Illugi,13
Jǫrundr,13
Már,13
Þóroddr,13
Eiríkr,12
Hildir,12
Þorfinnr,12
Þrándr,12
Ǫrn,12
Auðun,11
Egill,11
Guðmundr,11
Gunnarr,11
Heriólfr,11
Sigmundr,11
Þorlákr,11
Héðinn,10
Ófeigr,10
Vémundr,10
Þorbrandr,10
Ǫzurr,10
Án,9
Jón,9
Kolbeinn,9
Kollr,9
Sǫlvi,9
Þorleikr,9
Þorvarðr,9
Þróndr,9
Ǫlvir,9
Ǫrnólfr,9
Ari,8
Eilífr,8
Finnr,8
Geirmundr,8
Gizurr,8
Hallsteinn,8
Haraldr,8
Kiallakr,8
Kolli,8
Loftr,8
Sturla,8
Þórhallr,8
Flosi,7
Gísli,7
Guðlaugr,7
Gunnsteinn,7
Hallvarðr,7
Hólmsteinn,7
Hrappr,7
Hóskuldr,7
Óleifr,7
Refr,7
Surtr,7
Sveinbiǫrn,7
Torfi,7
Þorbergr,7
Arngrímr,6
Álfr,6
Bergþórr,6
Bersi,6
Glúmr,6
Hallbiǫrn,6
Hámundr,6
Hǫgni,6
Kári,6
Óttarr,6
Sighvatr,6
Steingrímr,6
Þorberger,6
Arngeirr,5
Ármóðr,5
Ásbrandr,5
Áskell,5
Áslákr,5
Bergr,5
Brúni,5
