name,frequency
Aleksandra,11
Alenka,22
Amalia,7
Amelia,4
Anna,209
Anna-Maria,15
Anastasia,5
Andela,4
Andelka,7
Andjela,4
Andjelka,6
Andrea,36
Andrea,22
Angela,4
Angelina,4
Anica,27
Anita,45
Anja,17
Anka,12
Antonia,7
Antonia,22
Ariana,4
Assunta,26
Barbara,45
Beata,4
Biljana,17
Blanka,15
Blazsenka,9
Blazsena,12
Bojana,11
Bozsena,4
Bozsica,5
Branka,42
Cecilia,7
Kristyana,4
Klea,5
Kvjetana,6
Dajna,5
Dalibora,6
Daliborka,6
Dalia,6
Dana,25
Danka,25
Daniela,8
Daniela,24
Danira,5
Danja,4
Dara,4
Daria,15
Darina,11
Darinka,11
Dyana,13
Dyana,22
Dyna,5
Dynka,6
Djordja,7
Djordjica,14
Dora,16
Dorocza,9
Droga,5
Drogana,5
Droga,23
Dubravka,66
Dunja,22
Duszana,4
Edyta,15
Elena,15
Elizabeta,15
Elvira,4
Emma,20
Emilia,12
Erika,11
Eva,12
Federika,6
Gabriela,6
Gordana,72
Greta,9
Grozdana,9
Hanna,13
Helena,23
Ingrid,16
Irena,45
Iva,63
Ivana,172
Ivanka,23
Ivka,7
Ivona,20
Jadranka,89
Jagoda,18
Jana,7
Jasenka,16
Jasmina,14
Jasminka,19
Jasna,69
Jasnica,4
Jelena,70
Jelica,7
Jovanka,10
Julia,6
Juliana,7
Karmela,12
Karolyna,10
Kata,23
Katarina,103
Klara,20
Klea,6
Kolynda,6
Kornelia,4
Kristyna,64
Ksenia,39
Lada,7
Lana,28
Lara,21
Laura,8
Lydya,50
Ljerka,41
Lyljana,62
Ljuba,6
Ljubica,41
Loreta,6
Luciana,4
Lucia,68
Ljudmilla,4
Magda,5
Magdolna,5
Maja,73
Majda,8
Mara,9
Margareta,6
Maria,18
Marica,25
Maria,294
Marianna,69
Marina,100
Marta,34
Martyna,53
Melyta,31
Mixaela,4
Mila,20
Milena,8
Milica,8
Milka,7
Mira,28
Mirela,19
Mirjana,102
Mladena,7
Mirta,7
Mladenka,7
