name,frequency
Adelj,27
Adriana,8
Agnes,137
Agota,12
Aleksandra,156
Alena,142
Alenka,26
Alisa,9
Amalia,7
Amelia,4
Anastasia,15
Andela,4
Andelia,6
Andelka,12
Andjela,4
Andjelka,11
Andrea,246
Andriana,7
Aneta,23
Anett,10
Anezska,15
Angela,10
Angelina,13
Anica,27
Anika,6
Anita,84
Anja,38
Anka,12
Anna,760
Anna-Maria,29
Antonia,39
Ariana,4
Assunta,26
Barbara,90
Beata,29
Beatrisa,13
Berenika,4
Bernadetta,27
Berta,7
Bjeljana,133
Blanka,81
Blazsena,12
Blazsenka,9
Bogumila,10
Boguslava,4
Bojana,84
Borjana,6
Bozsena,18
Bozsica,5
Branislava,23
Branka,92
Brigitta,10
Bronislava,8
Cecilia,26
Dajna,5
Dalia,6
Dalibora,6
Dana,117
Danica,33
Daniela,122
Danja,4
Danka,37
Dara,4
Daria,22
Darina,17
Darinka,21
Darja,4
Desanka,4
Djejana,7
Djordja,21
Dominika,12
Dora,65
Dorina,8
Dorocza,45
Droga,42
Drogana,126
Drogomíra,5
Dubravka,97
Dunja,22
Duszana,11
Dyana,69
Edyta,129
Elena,26
Eleonora,20
Elizabeta,15
Elma,16
Elvira,8
Emilia,44
Emma,48
Erika,101
Erzsebet,166
Ester,155
Etelka,28
Eva,416
Fanni,24
Federika,6
Flora,14
Franciska,10
Gabriela,62
Gabriella,83
Gizella,24
Gordana,193
Gorica,16
Gorjana,6
Greta,9
Gvjezdana,8
Hanna,272
Helena,142
Henrietta,9
Ida,6
Ilona,188
Ingrid,16
Irena,189
Irma,7
Isidora,5
Iva,117
Ivana,419
Ivanka,28
Iveta,32
Ivona,20
Izabella,14
Jadranka,109
Jagoda,25
Jana,413
Janka,14
Jarmila,56
Jaroslava,79
Jasena,16
Jasmina,87
Jasna,85
Javorka,6
Jelena,235
Jelica,24
Judyta,265
Julia,64
Juliana,7
Julianna,82
Justyna,6
Kalyna,4
Kamilla,33
Karla,10
Karmela,12
Karolyna,65
Kata,64
Katalyna,346
Katarina,295
Klara,140
Klea,11
Kolynda,6
Kornelia,4
Kristyana,4
Kristyna,227
Ksenia,52
Kvjetana,6
Lada,11
Lamia,6
Lana,28
Lara,25
Laura,52
Lea,14
Lena,145
Letycia,5
Ljuba,6
Ljubica,101
Ljubina,12
Ljudmila,51
Loreta,6
Lucia,186
Luciana,4
Magda,28
Magdolna,113
Maja,191
Majda,14
Mara,15
Marcella,61
Margareta,6
Margita,129
Maria,1206
Marianna,153
Marica,25
Marina,146
Marketa,126
Marta,151
Martyna,181
Melynda,31
Melyta,31
Mia,20
Mila,38
Milada,27
Milana,9
Milena,134
Milica,143
Miljana,15
Milka,7
Miloslava,18
Mina,13
Mira,74
Mirela,19
Mirjana,233
Miroslava,72
Mirta,7
Mixaela,125
Mlodena,7
Mloda,7
Mloda,4
Monika,124
Morana,21
Nada,76
Nadica,6
Nadjeja,24
Natalia,70
Nela,10
Nera,6
Nika,15
Nikolyna,62
Nina,85
Nora,45
Oljga,143
Orsoja,78
Patricia,20
Paula,6
Pavla,78
Pavlyna,17
Petra,193
Rada,15
Radana,4
Radka,55
Radmila,48
Rafaela,4
Rajka,12
Rajna,8
Ranka,6
Rebeka,18
Renata,76
Rita,42
Roberta,7
Romana,42
Roza,19
Rozalia,19
Rut,6
Sabina,20
Sandra,118
Sanja,194
Sara,37
Silva,6
Silvana,8
Silvia,26
Simona,34
Slavica,82
Slavka,12
Slobodana,6
Slobodanka,21
Slodana,13
Sofia,36
Sonja,98
Spomena,7
Spomenka,14
Stana,16
Stanislava,39
Stefania,7
Stefanka,5
Stella,4
Suzanna,71
Svjetlana,109
Taczana,55
Tamara,8
Tea,23
Tena,9
Teodora,10
Tereza,99
Terezia,8
Tyna,11
Una,17
Valentyna,30
Valeria,13
Vanda,4
Vedrana,14
Vendula,6
Veronika,136
Vesela,9
Veselyna,7
Vesna,384
Vida,11
Vidoslava,4
Viktoria,39
Vilma,6
Viola,7
Visznja,15
Vjera,163
Vlodana,7
Vlodjimira,23
Vlosta,22
Zarja,12
Zarjana,27
Zarka,8
Zdjena,12
Zdjenka,83
Zdrovka,16
Zlota,37
Zoja,6
Zseljka,21
Zsivana,6
Zsivka,4
Zsuzsa,44
Zsuzsana,120
