name,frequency
Abel,10
Adam,120
Agoston,9
Akosz,39
Albert,23
Aleksandr,379
Alen,31
Alfred,4
Almosz,6
Alois,20
Andel,14
Andjel,19
Andor,15
Andrasz,253
Andrej,57
Antal,31
Anton,39
Antonin,60
Balazs,118
Barnabas,39
Bartol,5
Benedykt,27
Berislav,22
Bernard,7
Bertalan,19
Bogdan,39
Bogoljub,31
Bogumil,25
Boguslav,20
Bojan,108
Boris,132
Borislav,58
Borivoj,5
Borko,9
Bozsen,4
Bozsidar,33
Branimir,72
Branislav,156
Branko,230
Bratislav,28
Bronislav,4
Bruno,52
Budjimir,12
Budjislav,4
Czeslav,6
Czihomir,12
Dalibor,34
Damjan,12
Dan,14
Dane,13
Daniel,183
Danko,11
Dario,38
Darko,190
David,190
Davor,131
Denesz,18
Denis,35
Djejan,248
Djordji,226
Djula,135
Dobrivoj,10
Dobroslav,5
Domagoj,63
Dominik,34
Donat,4
Dorian,4
Drogan,488
Drogoljub,60
Drogomir,16
Drogoslav,43
Droguczin,49
Drozsen,65
Duszan,127
Duszko,8
Eduard,19
Emil,33
Emmanuel,4
Endre,49
Enjo,83
Erik,27
Ernest,4
Erno,20
Ervin,18
Fabian,5
Ferenc,266
Filyp,140
Franc,22
Francisk,145
Franko,7
Gabor,226
Gabriel,15
Gergej,98
Goran,390
Gordan,46
Grodjimir,6
Gvjezdan,4
Henrik,11
Herman,6
Igorj,176
Ilija,68
Imre,173
Isztvan,333
Ivan,111
Ivo,203
Jadran,16
Jakob,156
Jan,730
Janosz,256
Jaromir,49
Jaroslav,303
Jasmin,13
Jaxim,5
Jonas,8
Jozsef,1000
Julius,12
Kamil,20
Karl,32
Karol,332
Kazimir,6
Kirill,50
Konstantyn,6
Kornel,11
Kosta,12
Kresimir,36
Kristof,36
Kristyan,29
Lajosz,168
Laslo,386
Leo,9
Leon,15
Ljubin,4
Ljuban,29
Ljubomir,114
Ljubosz,19
Lorinc,9
Luka,120
Lukas,46
Maksim,7
Manuel,11
Marcell,23
Marek,104
Marian,174
Marin,77
Mark,429
Marton,65
Martyn,409
Metodyus,30
Miklosz,103
Miladjin,14
Milan,657
Milivoj,4
Miljan,12
Milodrog,125
Milomir,25
Milorad,97
Miloslav,71
Milosz,114
Milovan,48
Miluczin,47
Mirko,157
Miro,23
Miroljub,41
Miroslav,495
Mislav,32
Mixael,49
Mloden,181
Mojmir,4
Nikola,384
Njegovan,5
Norbert,31
Obrad,9
Ognjen,37
Oleg,6
Oskar,8
Otto,12
Ozren,6
Pal,120
Patrik,34
Pavel,544
Peter,1190
Raczimir,15
Radek,101
Raden,5
Radjivoj,18
Radko,4
Radmil,11
Rado,41
Radomil,6
Radomir,50
Radoslav,88
Radovan,77
Radym,47
Rajko,50
Ranko,49
Robert,170
Robin,7
Roland,26
Roman,129
Rosczislav,27
Rudolf,43
Samuel,4
Sandor,167
Sebastyan,12
Silvester,7
Simon,9
Slaven,28
Slavko,84
Slobodan,254
Slodan,6
Smiljan,8
Stanislav,118
Stanko,55
Stefan,58
Stojan,25
Svjeczimir,9
Svjeczislav,18
Svjetlan,4
Svjetoplok,11
Svjetozar,24
Tadej,5
Tamasz,199
Teodor,12
Czihomil,42
Tomasz,255
Tybor,164
Vaclav,147
Valentyn,4
Valter,16
Velibor,25
Velimir,56
Veljko,53
Vesel,5
Veselin,27
Viktor,104
Vilem,9
Vilmosz,36
Vincent,4
Vit,27
Vitezlav,18
Vitomir,26
Vjekoslav,31
Vlajko,7
Vlodan,65
Vlodjimir,483
Vlodjislav,40
Vlodo,71
Vlosczimil,57
Vlosczimir,15
Vlosczislav,7
Vlotko,20
Voislav,79
Vojko,5
Zarislav,9
Zarko,36
Zdjenek,142
Zdjenko,69
Zdjeslav,11
Zdroven,131
Zjelimir,8
Zjeljo,157
Zlotan,8
Zlotybor,6
Zlotko,126
Zoltan,247
Zselimir,11
Zseljo,34
Zsigmond,17
Zsivko,13
Zsivorad,6
