name,frequency,origin,gendered
Adamov,120,patronymic,y
Agostonov,9,patronymic,y
Akoszev,39,patronymic,y
Almoszev,6,patronymic,y
Aloisov,20,patronymic,y
Andelov,14,patronymic,y
Andjelov,19,patronymic,y
Andorov,15,patronymic,y
Andraszev,253,patronymic,y
Antalov,31,patronymic,y
Balazsev,118,patronymic,y
Balnoszi,5,toponymic (noble),n
Balnoszski,22,toponymic (common),y
Bartolov,5,patronymic,y
Beczki,30,toponymic (common),y
Bertalanov,19,patronymic,y
Bjelan,5,nickname,n
Bjelec,7,nickname,n
Bjelov,25,nickname,y
Bjely,11,nickname,y
Blizki,13,nickname,y
Bljelek,5,nickname,n
Bogdanov,39,patronymic,y
Bogoljubov,31,patronymic,y
Bogumilov,25,patronymic,y
Boguslavov,20,patronymic,y
Bojanov,108,patronymic,y
Bojnicz,19,nickname,n
Bojnik,7,nickname,n
Borislavov,58,patronymic,y
Borisov,132,patronymic,y
Borivojev,5,patronymic,y
Borkov,9,patronymic,y
Bozsenov,4,patronymic,y
Bozsidarov,33,patronymic,y
Branimirov,72,patronymic,y
Branislavov,156,patronymic,y
Brankov,230,patronymic,y
Bratislavov,28,patronymic,y
Bronislavov,4,patronymic,y
Budajski,24,toponymic (common),y
Budjimirov,12,patronymic,y
Budjislavov,4,patronymic,y
Budrec,5,nickname,n
Budrek,18,nickname,n
Budrov,29,nickname,y
Budry,23,nickname,y
Buskupov,28,nickname,y
Cigan,15,ethnicity,n
Ciganov,30,ethnicity,y
Czelenici,5,toponymic (noble),n
Czelenicki,10,toponymic (common),y
Czemnec,10,nickname,n
Czemnek,8,nickname,n
Czemnov,25,nickname,y
Czemny,10,nickname,y
Czernec,16,nickname,n
Czernek,29,nickname,n
Czernov,5,nickname,y
Czerny,14,nickname,y
Czeslavov,6,patronymic,y
Czeszek,25,nickname,n
Czex,7,ethnicity,n
Czexov,13,ethnicity,y
Czigraj,5,toponymic (noble),n
Czigranski,15,toponymic (common),y
Czihomilov,42,patronymic,y
Czihomirov,12,patronymic,y
Czistarj,21,nickname,n
Czistec,8,nickname,n
Czistek,11,nickname,n
Czistov,15,nickname,y
Czisty,14,nickname,y
Czrevenec,20,nickname,n
Czrevenek,6,nickname,n
Czrevenov,20,nickname,y
Czreveny,26,nickname,y
Daliborov,34,patronymic,y
Damjanov,12,patronymic,y
Danev,13,patronymic,y
Dankov,11,patronymic,y
Danov,14,patronymic,y
Darkov,190,patronymic,y
Davidov,190,patronymic,y
Davorov,131,patronymic,y
Deneszev,18,patronymic,y
Djejanov,248,patronymic,y
Djelan,5,nickname,n
Djeljec,25,nickname,n
Djordjev,226,patronymic,y
Djulov,135,patronymic,y
Dobrivojev,10,patronymic,y
Dobroslavov,5,patronymic,y
Domagojev,63,patronymic,y
Dominikov,34,patronymic,y
Donatov,4,patronymic,y
Droganov,488,patronymic,y
Drogoljubov,60,patronymic,y
Drogomirov,16,patronymic,y
Drogoslavov,43,patronymic,y
Droguczinov,49,patronymic,y
Drozsenov,65,patronymic,y
Drozsinj,5,toponymic (noble),n
Drozsinski,27,toponymic (common),y
