name,frequency
Adela,9
Adrianna,11
Agata,141
Agnieszka,467
Aldona,19
Aleksandra,280
Alicja,180
Alina,69
Amelia,8
Aneta,57
Anetta,6
Aniela,37
Anita,31
Anna,1086
Antonia,7
Antonina,42
Apolonia,10
Aurelia,6
Barbara,554
Beata,286
Bernadeta,12
Bogumila,39
Bogumiła,39
Boguslawa,24
Bogusława,24
Bozena,129
Bozenna,9
Bożena,126
Bożenna,9
Bronislawa,21
Bronisława,21
Brygida,8
Cecylia,13
Celina,9
Czeslawa,27
Czesława,27
Dagmara,33
Daniela,17
Danuta,274
Daria,21
Dominika,37
Donata,6
Dorota,297
Edyta,75
Eleonora,8
Eliza,9
Elwira,11
Elzbieta,350
Elżbieta,343
Emilia,52
Eugenia,21
Ewa,637
Ewelina,27
Felicja,13
Franciszka,8
Gabriela,51
Genowefa,42
Gertruda,8
Grazyna,149
Grażyna,145
Halina,211
Hanna,153
Helena,166
Henryka,47
Honorata,13
Iga,11
Ilona,30
Irena,206
Irmina,8
Iwona,232
Izabela,129
Izabella,17
Jadwiga,264
Jagoda,12
Janina,217
Joanna,433
Jolanta,234
Jozefa,36
Julia,66
Julita,18
Justyna,71
Józefa,36
Kalina,10
Kamila,36
Karolina,90
Katarzyna,454
Kazimiera,67
Kinga,58
Klara,10
Klaudia,12
Konstancja,8
Krystyna,333
Laura,7
Lena,11
Leokadia,35
Lidia,81
Ligia,6
Liliana,6
Lilla,7
Lucja,26
Lucyna,59
Ludwika,22
Magdalena,341
Maja,22
Malgorzata,532
Maria,1026
Marianna,100
Mariola,58
Marlena,17
Marta,235
Martyna,25
Marysia,8
Marzanna,17
Marzena,94
Marzenna,9
Matylda,11
Małgorzata,522
Melania,8
Michalina,15
Milena,7
Miroslawa,37
Mirosława,37
Monika,219
Nadzieja,8
Natalia,56
Nina,9
Olga,44
Patrycja,37
Paulina,68
Pola,6
Regina,31
Renata,146
Romana,10
Romualda,6
Roza,18
Rozalia,19
Ryszarda,7
Róża,16
Sabina,35
Slawomira,6
Stanislawa,92
Stanisława,91
Stefania,49
Sylwia,63
Sławomira,6
Teodozja,6
Teresa,373
Urszula,181
Violetta,15
Waclawa,7
Wacława,7
Walentyna,13
Waleria,9
Wanda,114
Weronika,39
Wieslawa,54
Wiesława,54
Wiktoria,37
Wioleta,11
Wioletta,25
Wladyslawa,26
Władysława,26
Zdzislawa,21
Zdzisława,21
Zenobia,6
Zofia,346
Zuzanna,45
Zyta,8
Łucja,24
