name,frequency
Adam,522
Adolf,4
Adrian,33
Albert,16
Albin,7
Aleksander,168
Aleksy,4
Alfons,14
Alfred,27
Alojzy,21
Anatol,5
Andrzej,1288
Antoni,267
Antonina,4
Arkadiusz,126
Arkady,5
Arnold,5
Artur,235
Augustyn,7
Bartlomiej,53
Bartosz,73
Bartłomiej,53
Benedykt,19
Beniamin,4
Bernard,45
Blazej,15
Bodgan,6
Bogdan,149
Bogumil,12
Bogumił,10
Boguslaw,101
Bogusław,97
Bohdan,19
Boleslaw,38
Bolesław,38
Borys,6
Bronislaw,60
Bronisław,58
Bruno,4
Brunon,8
Błażej,15
Cezariusz,5
Cezary,112
Czeslaw,102
Czesław,102
Damazy,4
Damian,36
Daniel,71
Dariusz,420
David,7
Dawid,36
Dominik,68
Edmund,43
Edward,158
Edwin,4
Eligiusz,4
Emil,23
Ernest,10
Eryk,12
Eugeniusz,138
Feliks,38
Ferdynand,9
Filip,44
Florian,10
Franciszek,208
Fryderyk,4
Gabriel,21
Gerard,23
Grzegorz,583
Gustaw,9
Henryk,300
Hieronim,14
Hubert,54
Ignacy,39
Igor,24
Ireneusz,91
Iwo,6
Jacek,540
Jakub,177
Jan,1149
Janusz,384
Jarema,4
Jaromir,4
Jaroslaw,277
Jarosław,270
Jedrzej,8
Jeremiasz,5
Jerzy,670
Joachim,6
Joanna,5
John,4
Jozef,470
Julian,32
Juliusz,31
Józef,463
Jędrzej,8
Kacper,17
Kajetan,6
Kamil,83
Karol,157
Katarzyna,6
Kazimierz,341
Klaudiusz,5
Klemens,10
Konrad,92
Konstanty,20
Krystian,21
Krzysztof,909
Ksawery,6
Kuba,6
Lech,86
Lechoslaw,5
Lechosław,5
Leon,42
Leonard,17
Leopold,7
Leslaw,17
Leszek,260
Lesław,17
Lucjan,35
Ludwik,44
Lukasz,165
Maciej,417
Magdalena,7
Maksymilian,21
Marcel,4
Marceli,8
Marcin,396
Marek,839
Maria,42
Marian,369
Mariusz,323
Mateusz,106
Michael,6
Michal,398
Michał,380
Mieczyslaw,144
Mieczysław,143
Mikolaj,42
Mikołaj,41
Milosz,12
Miron,4
Miroslaw,206
Mirosław,201
Miłosz,12
Nikodem,8
Norbert,28
Olaf,5
Olgierd,14
Oskar,13
Patryk,33
Pawel,516
Paweł,492
Piotr,1135
Przemyslaw,119
Przemysław,115
Radoslaw,92
Radosław,85
Rafal,183
Rafał,165
Rajmund,14
Remigiusz,5
Robert,358
Roch,8
Roland,4
Roman,268
Romuald,41
Rudolf,7
Ryszard,378
Sebastian,85
Sergiusz,9
Seweryn,15
Slawomir,192
Stanislaw,665
Stanisław,655
Stefan,193
Sylweriusz,4
Sylwester,56
Szczepan,42
Szymon,85
Sławomir,183
Tadeusz,527
Teodor,5
Teofil,10
Tobiasz,6
Tomasz,753
Tymoteusz,11
Tytus,5
Waclaw,62
Wacław,61
Waldemar,167
Walenty,21
Walerian,11
Wawrzyniec,7
Wieslaw,164
Wiesław,165
Wiktor,56
Wilhelm,5
Wincenty,16
Wit,7
Witold,204
Wladyslaw,187
Wlodzimierz,120
Wojciech,591
Władysław,182
Włodzimierz,118
Zbigniew,495
Zbyszek,4
Zdzislaw,100
Zdzisław,100
Zenon,88
Ziemowit,4
Zygfryd,6
Zygmunt,116
Łukasz,149
