name,frequency
Abramowicz,13
Adamczak,14
Adamczyk,35
Adamiak,6
Adamowicz,9
Ajchler,12
Aleksandrzak,9
Ambroziak,11
Anders,6
Andruszkiewicz,7
Arndt,9
Ast,6
Augustyn,16
Augustyniak,10
Babiarz,11
Babinetz,6
Bachleda-Ksiedzularz,10
Bachleda-Księdzularz,10
Baj,7
Bak,17
Bakun,7
Balazs,7
Balcerowicz,10
Balcerzak,7
Banach,10
Banas,19
Banaszak,8
Banaszek,6
Banaszkiewicz,7
Banaś,19
Baniak,6
Baran,8
Barczyk,6
Bargiel,6
Barszcz,9
Bartosik,12
Bartyla,6
Baszko,7
Bednarczyk,7
Bednarek,13
Bejda,8
Bender,12
Bergier,6
Bernatowicz,9
Bieniek,12
Biernat,20
Bladek,6
Blanik,7
Blaszczak,6
Blaszczyk,20
Bober,6
Bobko,8
Bochenek,15
Bodio,8
Bodnar,7
Bogdan,6
Bogdanowicz,17
Bogus,6
Bogusz,8
Bojko,10
Borek,6
Borowczak,6
Borowiak,9
Borowiec,16
Bosak,6
Bramora,7
Braun,15
Brejza,9
Brodniak,6
Buczak,6
Buda,7
Budnik,9
Bujak,17
Bula,7
Burek,7
Bury,16
Butra,7
Buła,7
Byra,6
Byrt,6
Bąk,17
Błaszczyk,20
Błądek,6
Cebula,9
Charlampowicz,6
Charłampowicz,6
Chmiel,8
Chmielowec,6
Chmielowiec,6
Chodkiewicz,12
Choma,6
Chosciak-Popiel,8
Chościak-Popiel,8
Cichon,11
Cichosz,12
Cichoń,11
Cieslak,23
Cieslik,10
Cieślak,22
Cieślik,9
Cioch,10
Ciosek,8
Cisek,6
Cwik,8
Cycon,6
Cycoń,6
Czaja,16
Czapla,11
Czaputowicz,9
Czarnek,9
Czarnik,6
Czarnobaj,8
Czech,17
Czelej,7
Czerniak,7
Czmur,6
Czubik,6
Czucha,7
Czuma,6
Czyz,8
Czyż,8
Dabrowa,8
Dajczak,10
Daniluk,6
Dec,7
Deptula,12
Deptuła,11
Dera,8
Deskur,14
Despot-Mladanowicz,6
Despot-Mładanowicz,6
Dietl,9
Dlugosz,11
Dolata,9
Donath-Kasiura,8
Dorn,7
Dowhan,11
Drozd,8
Drozdz,12
Drożdż,11
Drzazga,7
Duch,7
Duda,35
Dudek,25
Dulias,6
Dulkiewicz,8
Dunin,7
Dutkiewicz,10
Dworak,7
Dworczyk,8
Dycha,6
Dyduch,6
Dziadzio,8
Dziedzic,17
Dziemdziela,8
Dziuba,20
Dziuk,7
Dziwisz,11
Dąbrowa,8
Długosz,10
Elsner,7
Fedorowicz,15
Ferenc,12
Fiedler,10
Filipczak,7
Flis,6
Florek,6
Foks,6
Fortuna,6
Frackowiak,6
Frankiewicz,8
Frasyniuk,9
Fronczak,6
Frąckowiak,6
Fudali,9
Furgo,6
Gabryjaczyk,6
Gabryjączyk,6
Gajda,8
Galla,8
Gawel,8
Gaweł,8
Gawin,6
Gawlik,24
Gawron,9
Gierada,6
Gil,7
Godson,6
Golabek,6
Golba,13
Golema,7
Golojuch,6
Gonciarz,8
Gorczyca,13
Gorny,8
Gos,10
Gowin,11
Gołojuch,6
Grabarczyk,7
Grabiec,7
Grabos,6
Graboś,6
Grad,14
Granat,7
Grela,7
Gruza,6
Grzegorczyk,11
Grzegorek,7
Grzelak,9
Grzesik,6
Grzeszczak,7
Grzyb,6
Grzymowicz,10
Gut,8
Gut-Mostowa,8
Gut-Mostowy,16
Gwiazda,6
Górny,6
Hajos,6
Hamryszczak,6
Hanajczyk,6
Handzlik,6
Hausner,11
Haydukiewicz,6
Hensel,9
Heydel,20
Hofman,10
Hok,6
Horala,7
Horała,7
Hreniak,6
Huk,6
Idzik,6
Iwan,6
Jagiello,10
Jagiełło,9
Jakubiak,15
Jamroz,8
Jamróz,8
Janas,15
Janczyk,9
Janiak,15
Janik,22
Jankowiak,7
Jarmuziewicz,7
Jaroch,13
Jaros,17
Jarosz,15
Jarota,7
Jaskiewicz,6
Jaskola,6
Jaskowiak,7
Jaskóła,6
Jasser,6
Jawor,6
Jaśkowiak,7
Jedrzejczak,9
Jozwiak,13
Jurcewicz,8
Jurczak,7
Jurkiewicz,6
Jurkowlaniec,7
Juszczak,10
Jóźwiak,8
Jędrzejczak,9
Kaczmarczyk,11
Kaczmarek,41
Kaczor,11
Kalamaga,6
Kalata,6
Kalemba,9
Kaleta,11
Kania,16
Kapica,6
Karapyta,9
Karasiewicz,7
Karon,6
Kasprzak,11
Kasprzyk,13
Kazmierczak,13
Kałamaga,6
Kaźmierczak,11
Kierat,6
Kieres,8
Kilian,12
Kiszczak,8
Klak,8
Klawiter,7
Kleczek,6
Kleina,8
Klepacz,11
Klim,6
Klima,8
Klimczak,15
Klimek,11
Klimowicz,14
Kluz,6
Kmiecik,6
Knosala,7
Kobylarz,11
Kochan,8
