name,frequency
Andrzejewska,9
Balicka,6
Banka,7
Baranowska,9
Bańka,7
Bielecka,10
Bogucka,11
Borkowska,13
Borowska,8
Chmielewska,18
Czarnecka,6
Czerwinska,9
Czerwińska,9
Dabrowska,21
Debska,7
Dobrzynska,6
Dobrzyńska,6
Durka,10
Dutka,15
Dąbrowska,17
Dębska,6
Gadowska,6
Gajewska,12
Gintowt-Dziewaltowska,6
Gintowt-Dziewałtowska,6
Glowacka,7
Golabek-Jezierska,10
Gorska,23
Gosiewska,9
Gołąbek-Jezierska,10
Grabowska,10
Gruszka,10
Górska,19
Jablonska,16
Jabłońska,14
Jackowska,8
Jakubowska,7
Jankowska,21
Janowska,11
Jasinska,8
Jasińska,7
Jaworska,15
Jezierska,7
Kalinowska,8
Kaminska,28
Kamińska,24
Karczewska,8
Karpinska,7
Kepka,6
Kolakowska,6
Komorowska,10
Konopka,20
Kostka,8
Kotowska,10
Kowalska,26
Kozlowska,29
Kozłowska,25
Kołakowska,6
Krajewska,14
Kraska,6
Kucharska,7
Kurtyka,11
Kwasniewska,7
Kwaśniewska,6
Kwiatkowska,20
Kępka,6
Lapinska,9
Lewandowska,18
Lipinska,10
Lipińska,8
Maciejewska,7
Majewska,13
Majka,13
Makowska,11
Malecka,7
Maliszewska,6
Manka,8
Markowska,6
Maslowska,11
Masłowska,10
Matuszewska,8
Małecka,6
Mańka,6
Michalska,8
Milewska,9
Morawiecka,9
Motyczka,6
Myszka,7
Naimska,6
Napieralska,6
Nowacka,6
Nowakowska,11
Nowicka,16
Nowina-Konopka,12
Olszewska,10
Olszowka,7
Olszówka,7
Orlowska,7
Orzechowska,10
Orłowska,6
Ostrowska,20
Palka,7
Pawlowska,17
Pawłowska,15
Pałka,6
Piotrowska,9
Plonka,10
Poznanska,6
Poznańska,6
Płonka,9
Reszka,6
Rozanska,6
Rucinska,7
Rucińska,7
Rudnicka,6
Rutkowska,11
Rybka,8
Ryszka,14
Rzymelka,6
Rzymełka,6
Sadowska,9
Sawicka,12
Siarka,7
Sikorska,6
Sokolowska,11
Sokołowska,9
Sosnowska,11
Sroka,8
Stawiarska,6
Strycharska,7
Suchocka,6
Szalabawka,6
Szałabawka,6
Szczepanska,8
Szczepańska,7
Szczuka,7
Szlachetka,6
Szydlowska,6
Szydłowska,6
Szymanska,24
Szymańska,24
Tarnowska,6
Tomaszewska,12
Wasilewska,7
Wincukiewicz-Gotowiecka,9
Wisniewska,23
Witkowska,13
Wiśniewska,20
Wojciechowska,13
Wolska,8
Wroblewska,14
Wrzesinska,6
Wróblewska,14
Zakrzewska,6
Zaleska,7
Zarzycka,6
Zawadzka,6
Zebrowska,6
Zielinska,21
Zielińska,18
Ziolkowska,16
Ziółkowska,14
Zukowska,6
Zylinska,6
Łapińska,7
Żylińska,6
