name,frequency
Abel,81
Abilio,38
Abraao,32
Abraão,31
Abílio,35
Acacio,38
Acácio,38
Adailton,92
Adair,99
Adalberto,154
Adalto,33
Adao,173
Adauto,74
Adeilson,40
Adelar,46
Adelino,66
Adelmo,52
Adelson,73
Ademar,182
Ademilson,58
Ademir,351
Adenilson,56
Adeílson,35
Adilson,410
Admilson,36
Adolfo,102
Adriano,711
Adão,167
Affonso,67
Afonso,345
Agenor,83
Agnaldo,158
Agostinho,104
Agripino,33
Aguinaldo,85
Ailton,286
Airton,224
Alair,37
Alan,229
Alberto,1331
Albino,58
Alceu,92
Alcides,161
Alcindo,33
Alcione,44
Aldair,50
Aldemir,46
Aldo,119
Alencar,37
Alessandro,298
Alex,429
Alexandre,1241
Alexandro,72
Alexsandro,87
Alfredo,288
Alisson,62
Allan,72
Almir,218
Aloisio,94
Aloísio,88
Altair,113
Altamir,43
Aluisio,55
Aluizio,43
Aluísio,51
Aluízio,37
Alvaro,198
Alysson,33
Amadeu,61
Amarildo,123
Amaro,62
Amauri,86
Amaury,35
Americo,113
Amilton,82
Américo,107
Amílton,62
Ananias,44
Anderson,582
Andre,1107
Andre-Luis,103
Andre-Luiz,144
Andrey,35
André,1071
Angelo,320
Anibal,37
Anisio,37
Anselmo,101
Antenor,65
Antonio,7339
Antonio-Aparecido,31
Antonio-Augusto,41
Antonio-Carlos,468
Antonio-Cesar,32
Antonio-Francisco,57
Antonio-Jose,184
Antonio-Luiz,63
Antonio-Marcos,123
Antonio-Sergio,36
Antônio,6841
Aníbal,34
Anísio,35
Aparecido,1471
Ari,113
Arilson,33
Aristides,60
Arlindo,157
Armando,221
Arnaldo,281
Arno,41
Aroldo,66
Arthur,219
Artur,180
Ary,66
Assis,35
Atila,32
Augusto,1869
Augusto-Cesar,37
Aurelio,276
Aurélio,260
Avelino,52
Bartolomeu,46
Batista,444
Belarmino,39
Benedito,524
Benjamim,31
Benjamin,36
Bento,60
Bernardino,61
Bernardo,249
Bonifacio,31
Bosco,143
Braulio,31
Braz,46
Breno,84
Bruno,698
Bráulio,31
Caetano,38
Caio,177
Camilo,126
Candido,215
Carlito,36
Carlo,45
Carlos,7770
Carlos-Alberto,55
Carlos-Andre,42
Carlos-Antonio,104
Carlos-Cesar,34
Carlos-Jose,58
Cassiano,74
Cassio,122
Celestino,49
Celio,223
Celso,537
Cesar,1584
Cesar-Augusto,55
Cezar,349
Charles,188
Christian,42
Cicero,341
Cid,31
Ciro,51
Claudemir,133
Claudinei,138
Claudio,944
Claudio-Jose,32
Claudiomiro,31
Claudionor,46
Claudir,33
Clayton,96
Cleber,174
Clecio,32
Cleiton,178
Clemente,50
Clementino,41
Cleomar,49
Cleverson,32
Cleyton,31
Clodoaldo,99
Clovis,149
Cláudio,872
Cléber,159
Clécio,32
Clóvis,146
Constantino,35
Cosme,81
Cristian,50
Cristiano,405
Cássio,119
Cândido,200
Célio,216
César,1479
Cézar,301
Cícero,327
Damiao,92
Damião,89
Daniel,887
Danilo,255
Darci,116
Darcy,40
Dario,75
Darlan,38
Davi,165
David,284
Decio,56
Denilson,91
Denis,113
Denílson,78
Diego,432
Dilson,62
Dimas,70
Diogenes,46
Diogo,227
Dionisio,50
Dionísio,46
Dirceu,165
Divino,175
Diógenes,43
Djalma,126
Domingos,507
Donizete,254
Donizeti,109
Donizetti,71
Dorival,57
Douglas,297
Durval,59
Dário,60
Décio,54
Edenilson,31
Eder,178
Ederson,51
Edgar,108
Edgard,36
Edilson,320
Edimar,103
Edimilson,71
Edinaldo,72
Edison,109
Edivaldo,158
Edivan,62
Edmar,144
Edmilson,252
Edmundo,77
Ednaldo,122
Ednei,33
Edson,1008
Eduardo,2072
Edvaldo,223
Edvan,53
Egidio,35
Egídio,32
Elcio,58
Eli,60
Elias,527
Eliel,40
Eliezer,49
Elio,69
Eliseu,75
Eliton,31
Elizeu,80
Eloi,56
Elson,96
Elton,153
Elvis,40
Elói,53
Emanoel,51
Emanuel,127
Emerson,237
Emilio,88
Emmanuel,41
Emílio,82
Enio,89
Eraldo,99
Erasmo,65
Erick,42
Erico,39
Erinaldo,40
Erivaldo,93
Erivan,41
Ernandes,34
Ernani,60
Ernesto,136
Estevam,35
Estevao,35
Euclides,92
Eudes,91
Eugenio,178
Eugênio,166
Eurico,61
Euripedes,60
Eurípedes,57
Eustaquio,82
Eustáquio,77
Evaldo,116
Evandro,374
Evangelista,31
Evaristo,46
Everaldo,183
Everson,40
Everton,136
Ewerton,35
Expedito,55
Ezequiel,103
Fabiano,426
Fabio,999
Fabio-Jose,31
Fabricio,216
Fabrício,212
Fagner,63
Fausto,82
Felipe,676
Felix,58
Fernando,2261
Fernando-Antonio,64
Fernando-Jose,36
Filipe,94
Firmino,42
Flavio,661
Florentino,31
Floriano,37
Florisvaldo,33
Flávio,630
Francinaldo,32
Francisco,5373
Francisco-Antonio,62
Francisco-Jose,100
Frank,38
Franklin,78
Frederico,195
Fábio,953
Félix,51
Gabriel,530
Gean,41
Gelson,74
Genesio,41
Genilson,59
Genival,88
Genivaldo,89
Gentil,42
Genésio,36
George,149
Geovane,53
Geraldo,1239
Gerardo,41
Germano,37
Gerson,281
Gervasio,33
Gervásio,31
Getulio,57
Getúlio,56
Gil,38
Gilberto,634
Gildo,39
Gilmar,476
Gilson,387
Gilvan,120
Giovane,37
Giovani,85
Giovanni,40
Givaldo,58
Givanildo,45
Glauber,43
Glauco,48
Gleison,45
Goncalo,48
Gonzaga,53
Gonçalo,47
Gregorio,58
Gregório,59
Guido,41
Guilherme,615
Gustavo,657
Gutemberg,49
Hamilton,134
Haroldo,123
Heitor,93
Helder,86
Heleno,66
Helio,415
Helton,46
Henrique,2091
Heraldo,31
Herbert,52
Herculano,35
Hermes,48
Herminio,34
Hermínio,32
Hilario,48
Hilton,58
Hilário,46
Homero,43
Horacio,42
Horácio,42
Hudson,50
Hugo,271
Humberto,356
Hélder,66
Hélio,387
Ignacio,32
Ignácio,31
Igor,160
Ildo,33
Ilson,39
Inacio,208
Inácio,203
Iran,67
Irineu,107
Isaac,67
Isac,38
Isaias,94
Isaías,89
Ismael,131
Ismar,31
Israel,129
Italo,60
Itamar,183
Ivair,34
Ivaldo,50
Ivan,378
Ivanildo,87
Ivanir,36
Ivo,167
Izaias,39
Izaías,34
Jacinto,84
Jackson,119
Jaco,32
Jacob,33
Jacques,35
Jacó,31
Jader,32
Jailson,96
Jailton,56
Jaime,258
Jair,398
Jairo,226
James,85
Jamil,43
Jandir,40
Janio,69
Januario,38
Januário,38
Jarbas,79
Jardel,59
Jayme,73
Jaílson,86
Jaílton,50
Jean,265
Jeferson,136
Jefferson,211
Jeova,40
Jeová,36
Jeronimo,97
Jerônimo,91
Jesse,49
Jessé,46
Jesus,115
Joao,4027
Joao-Antonio,56
Joao-Batista,193
Joao-Bosco,65
Joao-Carlos,245
Joao-Francisco,70
Joao-Jose,42
Joao-Luiz,73
Joao-Marcos,32
Joao-Maria,44
Joao-Paulo,228
Joao-Pedro,73
Joao-Victor,34
Joaquim,732
Joel,305
Joelson,53
John,35
Jonas,221
Jonathan,39
Jones,39
Jorge,1389
Jorge-Luis,35
Jose,13651
Jose-Alberto,45
Jose-Antonio,296
Jose-Aparecido,100
Jose-Augusto,112
Jose-Carlos,597
Jose-Claudio,49
Jose-Domingos,31
Jose-Eduardo,90
Jose-Fernando,48
Jose-Francisco,138
Jose-Geraldo,128
Jose-Henrique,47
Jose-Humberto,37
Jose-Luis,70
Jose-Luiz,196
Jose-Marcos,60
Jose-Maria,230
Jose-Mario,41
Jose-Mauricio,37
Jose-Mauro,33
Jose-Nilson,35
Jose-Nilton,56
Jose-Paulo,64
Jose-Pedro,47
Jose-Raimundo,80
Jose-Renato,42
Jose-Ribamar,66
Jose-Ricardo,69
Jose-Roberto,283
Jose-Ronaldo,33
Jose-Wilson,52
Joselito,35
Josemar,63
Josenildo,61
Josias,91
Josiel,31
Josimar,108
Josinaldo,37
Josivaldo,50
Josue,140
Josué,133
José,13206
João,3922
Juan,32
Juarez,177
Juliano,241
Julio,556
Julio-Cesar,235
Julio-Cezar,36
Junio,59
Junior,105
Juraci,49
Juracy,33
Jurandir,82
Juscelino,72
Justino,86
Juvenal,65
Jânio,64
Júlio,515
Júnior,69
Kennedy,44
Kleber,104
Kléber,90
Laercio,115
Laerte,70
Lauri,31
Laurindo,41
Lauro,152
Lazaro,103
Laércio,106
Leandro,789
Leo,47
Leomar,51
Leonardo,755
Leonel,83
Leonidas,40
Leonir,41
Leopoldo,74
Levi,56
Leônidas,37
Lincoln,41
Lindomar,102
Lino,40
Lourenco,39
Lourenço,38
Lourival,118
Luan,53
Lucas,657
Luciano,814
Lucimar,43
Lucio,267
Lucivaldo,33
Luis,1698
Luis-Antonio,58
Luis-Carlos,123
Luis-Fernando,82
Luis-Henrique,42
Luiz,6038
Luiz-Antonio,184
Luiz-Carlos,59
Luiz-Claudio,52
Luís,1491
Lázaro,95
Lúcio,248
Maciel,32
Magela,52
Magno,212
Maicon,86
Manoel,1631
Manuel,186
Marcel,72
Marcelino,66
Marcello,56
Marcelo,1683
Marciano,75
Marcilio,60
Marcio,1113
Marcio-Antonio,41
Marcio-Jose,69
Marco,879
Marco-Antonio,232
Marco-Aurelio,113
Marcondes,41
Marcone,35
Marconi,54
Marcos,2922
Marcos-Andre,31
Marcos-Antonio,299
Marcos-Aurelio,41
Marcos-Jose,42
Marcos-Vinicius,58
Marcus,364
Marcus-Vinicius,97
Marcílio,57
Maria,679
Mariano,80
Marinaldo,39
Marino,33
Mario,732
Mario-Sergio,33
Marivaldo,44
Marlon,82
Mateus,215
Matheus,241
Mauri,63
Mauricio,515
Maurilio,49
Mauro,656
Maurício,486
Maurílio,45
Max,88
Maycon,33
Messias,78
Michael,45
Michel,101
Miguel,649
Milton,424
Misael,33
Moacir,277
Moacyr,49
Moises,190
Moisés,178
Mozart,38
Murilo,175
Márcio,1060
Mário,668
Narciso,45
Natal,51
Natalino,64
Natan,33
Natanael,65
Nazareno,48
Nei,50
Nelio,37
Nelson,577
Neri,33
Nestor,65
Newton,97
