name,frequency
Abreu,30
Aguiar,41
Albino,26
Alexandre,32
Almeida,69
Almeida-Silva,25
Almeida-da-Silva,42
Almeida-de-Oliveira,26
Almeida-de-Souza,21
Almeida-dos-Santos,42
Alves,584
Alves-Barbosa,23
Alves-Batista,22
Alves-Borges,21
Alves-Costa,35
Alves-Ferreira,66
Alves-Filho,31
Alves-Junior,23
Alves-Lima,23
Alves-Machado,27
Alves-Martins,37
Alves-Moreira,36
Alves-Neto,26
Alves-Pereira,146
Alves-Pinto,27
Alves-Ribeiro,45
Alves-Rocha,22
Alves-Rodrigues,33
Alves-Silva,48
Alves-Teixeira,34
Alves-Vieira,33
Alves-da-Costa,60
Alves-da-Rocha,21
Alves-da-Silva,441
Alves-de-Almeida,58
Alves-de-Araujo,39
Alves-de-Araújo,30
Alves-de-Brito,32
Alves-de-Carvalho,37
Alves-de-Castro,24
Alves-de-Freitas,26
Alves-de-Jesus,25
Alves-de-Lima,66
Alves-de-Melo,28
Alves-de-Morais,21
Alves-de-Moura,25
Alves-de-Oliveira,224
Alves-de-Sousa,82
Alves-de-Souza,138
Alves-do-Nascimento,51
Alves-dos-Reis,28
Alves-dos-Santos,286
Amaral,37
Amorim,41
Andrade,80
Andrade-Silva,23
Andrade-da-Silva,23
Andrade-dos-Santos,23
Antonio,31
Antunes,53
Arantes,25
Araujo,165
Araujo-da-Silva,59
Araujo-de-Oliveira,27
Araujo-dos-Santos,42
Araújo,87
Araújo-da-Silva,48
Araújo-de-Oliveira,23
Araújo-dos-Santos,32
Arns,25
Arruda,24
Azevedo,42
Baldissera,24
Bandeira,44
Barbieri,43
Barbosa,443
Barbosa-Filho,30
Barbosa-Rocha,22
Barbosa-Silva,26
Barbosa-da-Silva,139
Barbosa-de-Araujo,21
Barbosa-de-Lima,27
Barbosa-de-Oliveira,37
Barbosa-de-Sousa,32
Barbosa-de-Souza,36
Barbosa-dos-Santos,85
Barboza,29
Barreto,60
Barros,63
Barros-da-Silva,29
Basso,39
Bastos,40
Batista,192
Batista-Pereira,37
Batista-da-Silva,135
Batista-de-Carvalho,22
Batista-de-Oliveira,94
Batista-de-Sousa,26
Batista-de-Souza,54
Batista-dos-Santos,100
Becker,45
Benedito,22
Bento,37
Bento-da-Silva,21
Beraldo,21
Bernardes,38
Bernardi,35
Bernardo,32
Bezerra,125
Bezerra-da-Silva,97
Bezerra-de-Lima,23
Bezerra-dos-Santos,26
Bianchi,22
Bispo-dos-Santos,23
Bittencourt,45
Bohn-Gass,21
Bonfim,28
Borges,173
Borges-da-Silva,41
Borges-de-Oliveira,24
Borges-dos-Santos,30
Botelho,26
Braga,73
Brandao,50
Brandão,32
Braz,28
Brito,42
Brito-da-Silva,21
Bueno,71
Cabral,59
Caetano,69
Caetano-da-Silva,25
Caldeira,23
Camara,27
Camargo,50
Campos,108
Candido,47
Cardoso,233
Cardoso-da-Silva,68
Cardoso-de-Oliveira,28
Cardoso-de-Souza,26
Cardoso-dos-Santos,49
Carlos,38
Carneiro,94
Carneiro-da-Silva,22
Carvalho,124
Carvalho-Silva,26
Carvalho-da-Silva,49
Carvalho-de-Oliveira,29
Carvalho-de-Souza,28
Carvalho-dos-Santos,37
Casagrande,63
Cassol,49
Cavalcante,57
Cavalcante-da-Silva,22
Cavalcanti,26
Cenci,23
Chagas,31
Chaves,67
Claudino,36
Coelho,146
Coelho-da-Silva,28
Coelho-dos-Santos,22
Colombo,45
Cordeiro,119
Cordeiro-da-Silva,26
Correa,128
Correa-da-Silva,31
Correia,62
Correia-da-Silva,37
Corrêa,72
Corrêa-da-Silva,24
Costa,372
Costa-Alves,26
Costa-Filho,31
Costa-Lima,32
Costa-Pereira,24
Costa-Silva,65
Costa-da-Silva,83
Costa-de-Oliveira,32
Costa-dos-Santos,37
Costa-e-Silva,25
Coutinho,39
Cruz,47
Cunha,36
Cury,21
Custodio,28
Cândido,26
Da-Silva,55
Damasceno,38
Daniel,27
Dantas,83
Dantas-da-Silva,30
David,41
De-Oliveira,22
