name,frequency
Adelaide,45
Adelia,9
Adelina,11
Adosinda,7
Adriana,6
Adélia,9
Aida,7
Albertina,16
Alcina,6
Alda,16
Alexandra,223
Alice,46
Amalia,10
Amelia,46
Amália,10
Amélia,48
Ana,950
Ana-Catarina,6
Ana-Cristina,13
Ana-Isabel,11
Ana-Luisa,19
Ana-Margarida,10
Ana-Maria,43
Ana-Patricia,6
Ana-Paula,16
Ana-Rita,8
Ana-Sofia,11
Anabela,70
Andrea,20
Andreia,27
Angela,32
Angela-Maria,10
Angelica,8
Angélica,7
Antonia,42
Antonieta,17
Antónia,40
Armanda,10
Arminda,15
Augusta,56
Aurora,21
Barbara,19
Beatriz,69
Belmira,15
Benedita,37
Benvinda,7
Berta,15
Branca,20
Bárbara,16
Candida,27
Carina,19
Carla,101
Carlota,74
Carmen,12
Carolina,57
Catarina,216
Catarina-Maria,6
Catia,11
Cecilia,28
Cecília,25
Celeste,30
Celia,30
Celia-Cristina,6
Celia-Maria,14
Cidalia,6
Cidália,6
Clara,62
Claudia,73
Claudia-Isabel,7
Claudia-Sofia,11
Clotilde,6
Cláudia,64
Conceicao,29
Conceição,24
Concha,8
Constanca,43
Constanca-Maria,7
Constança,42
Cristiana,10
Cristina,424
Cristina-Maria,6
Custodia,7
Custódia,6
Cátia,11
Cândida,24
Célia,27
Dalila,8
Daniela,23
Delfina,10
Deolinda,15
Diana,27
Dina,10
Dolores,6
Domingas,7
Dora,12
Dulce,22
Edite,11
Eduarda,30
Elia,6
Eliana,6
Elisa,33
Elisabete,35
Elisabeth,8
Elsa,43
Elsa-Maria,6
Elvira,19
Elza,7
Ema,9
Emilia,64
Emília,58
Ermelinda,23
Esmeralda,13
Estela,8
Eugenia,48
Eugenia-Maria,8
Eugénia,48
Eulalia,7
Eulália,6
Eunice,6
Eva,16
Fatima,37
Fernanda,123
Filipa,147
Filomena,61
Florbela,12
Francisca,108
Fátima,24
Gabriela,28
Gisela,7
Graca,28
Graca-Maria,8
Graciete,7
Gracinda,7
Graça,18
Guilhermina,13
Helena,239
Helena-Maria,12
Henriqueta,12
Herminia,14
Hermínia,11
Idalina,13
Ilda,23
Ines,201
Ines-Maria,20
Inês,202
Irene,15
Isabel,700
Isabel-Maria,44
Isaura,6
Isilda,9
Ivone,10
Jesus,6
Joana,223
Joana-Maria,9
Joao,109
Joaquina,17
Jose,126
Josefa,6
Josefina,15
José,123
João,108
Judite,12
Julia,32
Julieta,9
Júlia,28
Lara,8
Laura,59
Laurinda,11
Leonor,181
Lidia,20
Ligia,8
Liliana,19
Lina,10
Lucia,32
Lucilia,13
Lucinda,19
Lucília,12
Luisa,284
Luisa-Maria,22
Lurdes,15
Luísa,179
Lídia,18
Lígia,8
Lúcia,30
Madalena,182
Mafalda,139
Magda,6
Manuel,36
Manuela,165
Mara,8
Marcia,19
Margarida,411
Margarida-Maria,11
Maria,6669
Maria-Alexandra,7
Maria-Amelia,26
Maria-Ana,13
Maria-Angela,8
Maria-Antonia,22
Maria-Benedita,6
Maria-Candida,14
Maria-Cecilia,13
Maria-Clara,7
Maria-Conceicao,9
Maria-Constanca,14
Maria-Cristina,22
Maria-Eduarda,9
Maria-Emilia,38
Maria-Eugenia,24
Maria-Fernanda,11
Maria-Filomena,6
Maria-Francisca,13
Maria-Helena,20
Maria-Ines,62
Maria-Isabel,38
Maria-Joana,11
Maria-Joao,108
Maria-Jose,121
Maria-José,8
Maria-João,6
Maria-Julia,8
Maria-Laura,6
Maria-Leonor,28
Maria-Luisa,101
Maria-Madalena,22
Maria-Manuel,7
Maria-Manuela,20
Maria-Margarida,30
Maria-Paula,7
Maria-Rita,11
Maria-Teresa,83
Maria-Virginia,9
Maria-da-Assuncao,24
Maria-da-Conceicao,103
Maria-da-Conceição,8
Maria-da-Gloria,14
Maria-da-Graca,68
Maria-de-Fatima,84
Maria-de-Jesus,6
Maria-de-Lourdes,8
Maria-de-Lurdes,10
Maria-do-Carmo,34
Maria-do-Ceu,23
Maria-do-Rosario,62
Mariana,195
Marilia,14
Marina,33
Marisa,27
Marlene,14
Marta,191
Marta-Maria,12
Mary,10
María,27
Marília,12
Matilde,73
Merces,6
Miguel,14
Monica,40
Márcia,19
Mónica,39
Natalia,12
Natercia,8
Natália,12
Natércia,8
Noemia,6
Noémia,6
Odete,23
Olga,24
Orlanda,6
Otilia,8
Otília,6
Palmira,16
Patricia,78
Patricia-Maria,7
Patrícia,70
Paula,297
Paula-Cristina,12
Paula-Maria,7
Rafaela,9
Raquel,89
Regina,31
Rita,290
Rita-Maria,11
Rosa,142
Rosa-Maria,8
Rosario,10
Rubina,6
Rute,13
Salome,7
Salomé,7
Sandra,90
Sara,75
Silvia,45
Silvia-Maria,6
Sofia,326
Sonia,46
Sonia-Alexandra,6
Sonia-Cristina,8
Sonia-Maria,8
Susana,121
Susana-Maria,7
Sílvia,35
Sónia,43
Tania,11
Telma,8
Teresa,536
Teresa-Maria,21
Tereza,6
Tânia,10
Vanda,24
Vanessa,15
Vera,91
Vera-Maria,10
Virginia,29
Virgínia,22
Vitoria,13
Vitória,13
Zita,12
da-Assuncao,24
da-Assunção,25
da-Conceicao,149
da-Conceição,151
da-Gloria,15
da-Glória,15
da-Graca,69
da-Graça,67
da-Luz,22
da-Piedade,6
das-Dores,6
de-Fatima,110
de-Fátima,110
de-Jesus,82
de-Lourdes,25
de-Lurdes,57
do-Carmo,125
do-Ceu,28
do-Céu,28
do-Pilar,10
do-Rosario,66
do-Rosário,65
dos-Anjos,13
dos-Prazeres,12
Ângela,27
Élia,6
