name,frequency
Abecasis-Jalles,7
Abreu,8
Abreu-de-Figueiredo-Medeiros,13
Afonso-Pereira,6
Afonso-Rodrigues,6
Alarcao-de-Carvalho-Branco,6
Albergaria-Coelho,7
Albuquerque,13
Alexandre,7
Almada-e-Melo-de-Sousa-Refoios,6
Almeida,18
Alves,38
Alves-Lopes,6
Alves-Moreira,9
Alves-Pereira,7
Alves-Rita,6
Alves-da-Mota-Miranda,14
Alves-da-Silva,14
Alves-de-Carvalho,7
Alves-dos-Santos,6
Amado,8
Amaral-Dias,9
Amaral-de-Sousa,6
Amaro-dos-Santos-Castel-Branco,10
Amat-de-Vasconcellos-Melo-Antunes,6
Anacleto-Louca,7
Andrade,8
Andresen-de-Castro-Henriques,8
Antunes,11
Antunes-de-Almeida,10
Aragao-Seia,6
Aranha-da-Gama-Lobo-Xavier,8
Araujo-Rocha-Saraiva-de-Menezes,6
Archer-Pinto-de-Mesquita,9
Aroso-Peixoto-Rodrigues,10
Augusto,7
Aveiro,6
Azevedo,18
Azevedo-Soares-de-Abreu-Castelo-Branco,13
Bacalhau-Coelho,6
Bacelar-da-Rocha-Paris,6
Baptista,13
Barata,6
Barbosa,15
Barbosa-Menezes-de-Sequeira,10
Barbosa-Samagaio,6
Barbosa-de-Campos-Ferreira,6
Barreiras-Duarte,11
Barreto,10
Barreto-de-Araujo,6
Barros,6
Barrosa-Caupers,6
Barroso-Pinheiro,10
Bastos-Salazar-Leite,6
Batista,18
Battaglia-Ramos,6
Bebiano-e-Moura-da-Costa-Pinheiro,9
Belard-da-Fonseca-Lopes-Raimundo,7
Bello-de-Sousa-Rego,15
Benito-Cerejeira,7
Bensusan-da-Gama-Lobo-Xavier,6
Bento,11
Bicudo-Decq-Mota,6
Bilstein-de-Menezes-Luiz-de-Sequeira,9
Bobone-da-Camara-Pinto-Leite,8
Borges,8
Botelho,11
Botelho-Miguel,6
Botelho-de-Sousa-Cymbron,8
Braga-de-Macedo-de-Castro-Henriques,6
Branco,11
Brandao-Castel-Branco-Borges,12
Brandão-Castel-Branco-Borges,10
Brito-Racoes-Franco-Frazao,6
Bruto-da-Costa,8
Bruto-da-Costa-Machado-da-Costa,6
Burnay-de-Mendonca-de-Sampaio-Nunes,6
Cabral-Feyo-de-Azevedo,7
Cabral-Lynce-Rebelo-de-Andrade,6
Cabral-Metello-de-Almada-e-Melo,7
Cabral-Nunes-Mexia,17
Cabral-da-Camara-Pereira-Ferreira-Roquette,8
Cabral-da-Camara-Vieira-da-Cruz,7
Cabral-da-Câmara-Pereira-Ferreira-Roquette,6
Cabral-de-Abreu-Castelo-Branco,8
Cabral-de-Albuquerque-Corte-Real,8
Cabral-de-Albuquerque-Côrte-Real,7
Cabral-de-Lima-Cymbron,6
Cabral-de-Noronha-e-Menezes,16
Cabrita-Neto,7
Cadaval-Sousa-Santos-Carvalho,8
Caetano,8
Caldeira-Castel-Branco-Cordovil,7
Caldeira-de-Pina-Castelo-Branco-de-Carvalho-Figueira,7
Calixto-Machado-de-Sousa,10
Camacho-Cansado-Carvalho,6
Cansado-de-Carvalho-de-Mattos-e-Silva,6
Cardoso,15
Cardoso-Ribeiro,6
Cardoso-Rodrigues,10
Carneiro-Bento-Soares,6
Carneiro-Pereira,6
Carneiro-de-Portugal-e-Vasconcelos,8
Carreiro-Vasconcelos,6
Carvalho,25
Carvalho-Pinto-de-Sousa,7
Carvalho-Souto-de-Moura,6
Carvalho-da-Silva,6
Carvalho-de-Aguiar-Camara,12
Carvalho-de-Aguiar-Câmara,6
Casanova-de-Almeida,7
Caseiro,6
Casimiro-Farinha,6
Cassola-de-Miranda-Relvas,7
Castel-Branco,25
Castel-Branco-Avelar-Froes,10
Castel-Branco-Borges-Capela,8
Castel-Branco-Goulao,12
Castel-Branco-Goulão,9
Castel-Branco-da-Silveira,21
Castel-Branco-da-Silveira-Coelho-Silva,10
Castel-Branco-da-Silveira-Diogo-Sequeira,8
Castel-Branco-da-Silveira-e-Vieira-Caiado,6
Castel-Branco-do-Amaral-Osorio-Borges,12
Castel-Branco-do-Amaral-Osório-Borges,9
Castelbranco-da-Silveira-de-Sena-Esteves,7
Castelo-Branco,10
Castro,7
Castro-Lopes,13
Cavaco-Silva,8
Cavaco-Silva-de-Sa-Montez,6
Cerqueira,6
Cerqueira-Gomes-Lucena-e-Vale,7
Chagas-Miguel-Judas,8
Chaves-de-Faria-e-Castro,11
Cipriano-Cabrita,6
Claro,7
Coelho,21
Coelho-Mourao-de-Abreu-Peixoto,6
Coelho-Perestrelo-dos-Santos,7
Coelho-da-Costa,6
Cogumbreiro-de-Melo-Garcia,11
Cohen-Poppe-Lopes-Cardoso,6
Cohen-do-Espirito-Santo-Silva,6
Coimbra-Castanheira,7
Colares-Pereira-da-Silveira-Botelho,7
Contreiras-Nobre-Guedes,6
Corca,9
Cordeiro,20
Cordeiro-Crespo-Cabral-Campelo,7
Cordeiro-Falcao-Mena,6
Cordeiro-Ferreira-Roquette,8
Correa-de-Barros-Vaz-Pinto,7
Correia,33
Correia-Gomes,6
Correia-Leitao,7
Correia-Rocha,6
Correia-da-Silva,12
Correia-de-Aguiar-Branco,8
Correia-de-Barros-de-Lancastre,7
Correia-de-Oliveira,11
Corrêa-de-Barros-Vaz-Pinto,7
Corte-Real,8
Corte-Real-Alvarenga-e-Alves-Mateus,13
Corte-Real-Fezas-Vital,6
Corte-Real-de-Brito-e-Abreu-Caldeira,8
Corça,6
Costa,33
Costa-Henriques-Bigotte-Chorao,6
Costa-Maldonado-Gonelha,6
Costa-Ramalho-Castel-Branco-da-Silveira,17
Costa-da-Silva,7
Coutinho-Garrido-Castel-Branco,16
Coutinho-Portela-Cabral-de-Almeida,12
Couto,9
Cracel-Viana,6
Cristas-Machado-da-Graca,7
Cruz,11
Cruz-Supico,6
Cunha,10
Cunha-Horta-e-Costa,24
Cunha-de-Almeida,6
Cunha-e-Silva,8
D'Aguiar-Lucena,7
D'Elvas-Leitao-Ivo-Cruz,7
Dantas,7
Delgado-Tamagnini,12
Dias,25
Dias-Fernandes,6
Dias-Ferreira,12
Dias-Gomes,6
Dias-Pereira,10
Dias-Van-Dunem,8
Dias-Van-Dúnem,6
Dias-de-Ayala-Botto,6
Domingues,17
Doria-Jeremias-Flores-Ribeiro,7
Doria-Monteiro-Gouveia-e-Silva,11
Doria-Nobrega-Theotonio-Pereira,8
Dotti-Santos-do-Amaral,7
Doutel-de-Almeida-de-Antas-de-Barros,8
Duarte,19
Duarte-Ferreira,6
Duarte-Lima,6
Duarte-Lopes,8
Dória-Monteiro-Gouveia-e-Silva,6
Dória-Nóbrega-Theotónio-Pereira,8
Emauz-de-Almeida-Lima,6
Espirito-Santo-Bustorff-Silva,12
Espirito-Santo-Silva-Salgado,7
Espírito-Santo-Bustorff-Silva,9
Espírito-Santo-Silva-Salgado,6
Esteves,15
Faria,9
Farinha-Franco,6
Farmhouse-de-Castro-e-Athayde-de-Carvalhosa,9
Felix-da-Costa-Seabra,9
Fernandes,62
Fernandes-Alves,12
Fernandes-Barbosa,6
Fernandes-Correia,6
Fernandes-Ferreira,6
Fernandes-Homem-de-Lucena,13
Fernandes-Malheiro-de-Magalhaes,10
Fernandes-Martins,10
Fernandes-Pedroso,6
Fernandes-Pereira,15
Fernandes-Pereira-Lopes-Aleixo,7
Fernandes-Pina,6
Fernandes-Rodrigues,12
Fernandes-Viamonte-Figueira-de-Sousa,7
Fernandes-da-Cunha,6
Fernandes-de-Almeida,7
Ferraz-de-Oliveira-Mendonca-Rato,6
Ferreira,85
Ferreira-Amaral,6
Ferreira-Araujo,6
Ferreira-Cabral-de-Barbosa-Campelo-de-Sacadura-Botte,6
Ferreira-Caeiro,6
Ferreira-Caiado,6
Ferreira-Carrilho,8
Ferreira-Correia,9
Ferreira-Gomes,8
Ferreira-Gomes-Barbosa-Fonseca,6
Ferreira-Goncalves,6
Ferreira-Henriques,10
Ferreira-Lopes,9
Ferreira-Machado,13
Ferreira-Malheiro-de-Magalhaes,6
Ferreira-Marques,8
Ferreira-Mendes,11
Ferreira-Morgado,6
Ferreira-Pinto,12
Ferreira-Pinto-Basto,6
Ferreira-da-Costa,6
Ferreira-da-Fonseca,17
Ferreira-da-Silva,13
Ferreira-da-Silva-da-Costa-Freitas,6
Ferreira-de-Oliveira,8
Ferreira-dos-Santos,20
Fidalgo-Martins,6
Figueira,10
Figueira-Menezes-de-Sequeira,8
Figueira-da-Costa,15
Filipe-de-Gouveia-Monteiro,8
Fiuza-Salgado,6
Flores-Ribeiro-Correia,6
Flores-Seabra,6
Fonseca,13
Formosinho-de-Palhares-Falcao,9
Fragoso-Malato,12
Fragoso-Martins-Soares,11
Fragoso-Rebelo-de-Penha-Monteiro,7
Franco-de-Sousa-Ataide-da-Camara,6
Freire-Torres-Alves-Machado,6
Freitas,13
Freitas-Andrade,11
Freitas-Borges-de-Araujo,8
Freitas-de-Moraes-Sarmento-Ramalho,7
Froes-de-Castelo-Branco,7
Furtado,6
Félix-da-Costa-Seabra,8
Gago,6
Gallo-Pedrosa-dos-Santos-Machado,8
Galo-Pedrosa-dos-Santos-Machado,10
Galvao-Mexia-de-Almeida-Fernandes,14
Galvão-Mexia-de-Almeida-Fernandes,7
Gamboa-Lopes-de-Carvalho,11
Gameiro-Rebelo-dos-Santos,19
Gameiro-Rodrigues-Bastos,9
Gamito-Beija-de-Teles-Gomes,6
Garcia-Braga-da-Cruz,16
Garcia-Cordeiro,6
Garcia-Falcao-Machado,12
Garcia-Falcão-Machado,10
Garoupa-Albergaria-Bicudo,19
Gaspar,11
Gaviao-Cudell-Ramos-de-Magalhaes,6
Godinho,9
Gomes,39
Gomes-Canotilho,7
Gomes-Correia,8
Gomes-Marques,8
Gomes-Mendes,6
Gomes-Nunes,6
Gomes-Pereira,6
Gomes-San-Bento-de-Sousa,7
Gomes-da-Costa,7
Gomes-da-Silva,11
Gomes-de-Freitas-Centeno,6
Gomes-de-Menezes,11
Gomes-dos-Reis,6
Goncalves,52
Goncalves-Gil-Perestrello-de-Vasconcellos,8
Goncalves-Pereira,11
Goncalves-Rodrigues,12
Goncalves-Teixeira,6
Goncalves-Vaz-Pato,12
Goncalves-Vieira,6
Goncalves-de-Freitas,10
Gonçalves,30
Gonçalves-Pereira,6
Gonçalves-Rodrigues,6
Gonçalves-Vaz-Pato,6
Gouveia,8
Gouveia-da-Costa,6
Graca-Moura-de-Meireles,7
Graca-Moura-de-Meirelles,8
Granja-Rodrigues-da-Fonseca,6
Graça-Moura-de-Meireles,6
Graça-Moura-de-Meirelles,6
Guedes,11
Guedes-Machado-Antunes-de-Oliveira,9
Guedes-de-Oliveira-Quintas-e-Sousa,6
Guerra,6
Guerra-Tavares,14
Guerreiro,16
Guerreiro-Nunes,8
Guimaraes-Coelho-Lima,6
Gutierrez-Sa-da-Costa,6
Henriques,14
Henriques-Antunes,6
Henzler-Vieira-Branco,7
Holbeche-Tinoco-de-Faria,6
Homem-Leal-de-Faria,12
Horta-Osorio-Cabral,6
Infante-de-la-Cerda-Corte-Real,13
Jardim-Gomes,6
Jordao-Fernandes,6
Jorge,6
Lacerda-Pinto-Basto-Gouveia,6
Lagoa-da-Silva-de-Chaby-Vaz,9
Lagos-do-Amaral-Cabral,6
Leal-de-Faria-D'Aguiar,7
Leao-Ponce-Dentinho,14
Lebre-de-Freitas,7
Ledebur-Wicheln-d'-Antas-de-Campos,9
Leitao-de-Sampaio-Nunes,6
Leite-Almeida-Costa,6
Leite-de-Faria-Vaz-Pinto,6
Lemos-de-Castro-Caldas,7
Leone-Zanatti-Rodrigues,7
Leão-Ponce-Dentinho,7
Lima,9
Lobato-de-Faria-Bordalo-da-Silva,6
Lobo-Antunes,16
Lopes,38
Lopes-Aleixo,7
Lopes-Bairrada,7
Lopes-Fernandes,8
Lopes-Ferreira,10
Lopes-Maia,7
Lopes-Mateus-Fazenda,6
Lopes-Pereira,9
Lopes-Pires,6
Lopes-Rodrigues,8
Lopes-Silva,6
Lopes-de-Oliveira,7
Loureiro,6
Lourenco,9
Lourenço,6
Lourinho-Soares-Machado,6
Lumbrales-de-Sa-Carneiro,7
Lupi-Correa-de-Sampaio,8
Lupi-Correia-de-Sampaio,11
Lynce-de-Faria,7
Macario-do-Nascimento-Clemente,9
Macedo-Ferreira,7
Macedo-Leao-Ferreira-da-Silva,7
Machado,13
Machado-Beirao-Reis,8
Machado-Lemos-Ferreira-Ramos,6
Machado-Maciel-Beleza-Ferraz,9
Machado-Malheiro-de-Magalhaes,6
Machado-Sangreman-Proenca,6
Machado-Souto-de-Moura,7
Machado-da-Costa-Salgado-de-Abreu,7
Magalhaes-do-Amaral,6
Malheiro-Ferreira-da-Silva,20
Marcal-Grilo-Lobato-de-Faria,8
Marques,27
Marques-Guedes-Pinto-Basto,6
Marques-Guedes-dos-Santos,7
Marques-Nunes,6
Marques-Pereira-Seabra,8
Marques-Rosa,15
Marques-Sabido-Costa,7
Marques-da-Costa,7
Marques-da-Cruz-Vieira-da-Cruz,7
Marques-da-Silva,8
Marques-de-Figueiredo,6
Marques-dos-Santos,7
Martinho,9
Martins,55
Martins-Almeida-Leite,9
Martins-Batalha,7
Martins-Ferreira,7
