name,frequency
Agnu,1
Ailino,1
Ailkko,1
Aina,1
Aineli,1
Ainä,1
Airetali,1
Airettu,1
Airiinä,1
Airinä,1
Airjo,1
Airpi,1
Airsti,1
Airva,1
Airvo,1
Alisu,1
Annilino,1
Arjo,1
Arju,1
Astini,1
Astino,1
Astinä,1
Astrinä,1
Aula,1
Aulinä,1
Aunvo,1
Aunvokka,1
Bargi,1
Bari,1
Barjo,1
Berikko,1
Birkka,1
Briisu,1
Carisko,1
Carri,1
Eevi,1
Eiju,1
Eillikko,1
Eino,1
Eleno,1
Eli-Aino,1
Elikko,1
Elinttu,1
Elisti,1
Erjo,1
Erju,1
Hanni,1
Haro,1
Harttu,1
Heidia,1
Heili,1
Heivikko,1
Heliittu,1
Hena,1
Hilkki,1
Ilottu,1
Ingari,1
Inkervo,1
Irjo,1
Irmi,1
Jaarisa,1
Jaarjo,1
Joni,1
Jula,1
Kaanna,1
Kaari,1
Kaarju,1
Kadia,1
Kaei,1
Kaeilisa,1
Kaiju,1
Kaimi,1
Kaimu,1
Kainä,1
Kaisti,1
Kaivi,1
Kari,1
Karidi,1
Karikki,1
Karja,1
Kata,1
Katli,1
Katrittu,1
Katu,1
Kerhi,1
Kersi,1
Kerstino,1
Kirkko,1
Kirkku,1
Kirvo,1
Kirvokko,1
Kria,1
Kriinä,1
Krikko,1
Krinä,1
Krita,1
Kuli,1
Kätli,1
Laimu,1
Laisu,1
Laulista,1
Leerjo,1
Leettu,1
Liikko,1
Liinni,1
Liinä,1
Liistinä,1
Liiu,1
Liivikko,1
Lilinä,1
Lilkko,1
Lina,1
Lino,1
Linä,1
Lottalli,1
Lydi,1
Maanni,1
Maarjo,1
Maarju,1
Madi,1
Madla,1
Maignu,1
Maijatu,1
Maili,1
Maino,1
Mairgi,1
Mairi,1
Mali,1
Malino,1
Malliino,1
Mallinä,1
Malminä,1
Mara,1
Mareta,1
Mariikku,1
Marikka,1
Marikki,1
Marikku,1
Marjatri,1
Markko,1
Maro,1
Maru,1
Matinä,1
Matu,1
Meena,1
Meeni,1
Merikko,1
Merjo,1
Mertino,1
Mervo,1
Miinä,1
Miisu,1
Mikko,1
Milinä,1
Milkka,1
Mina,1
Minä,1
Miriisko,1
Mirkki,1
Mirkko,1
Natu,1
Ninikko,1
Ninä,1
Nittinä,1
Noristi,1
One-Matu,1
Orvo,1
Paertino,1
Paervo,1
Paija,1
Pauha,1
Paura,1
Piinä,1
Pilikko,1
Pirinä,1
Pirkku,1
Pirpi,1
Rakeli,1
Reenikku,1
Reeno,1
Reinä,1
Riidia,1
Riinukki,1
Riinä,1
Ritali,1
Rittu,1
Roni,1
Rutino,1
Ruttu,1
Saanikko,1
Saaru,1
Sagaru,1
Sainä,1
Saistinä,1
Saisu,1
Salinä,1
Sana,1
Saro,1
Satarino,1
Satiisko,1
Sattu,1
Seidi,1
Siginä,1
Signu,1
Siinä,1
Siita,1
Siiu,1
Sili,1
Silino,1
Silinä,1
Silkko,1
Silmi,1
Silvikku,1
Sinarino,1
Sinä,1
Sira,1
Sireta,1
Sirpi,1
Sirstino,1
Sirstinä,1
Sisa,1
Sistinä,1
Soilma,1
Soinda,1
Soino,1
Sola,1
Soni,1
Stinä,1
Susa,1
Syli,1
Taimu,1
Tairinä,1
Tanna,1
Taria,1
Tariinä,1
Tersta,1
Tervo,1
Tiika,1
Tiinu,1
Tiinä,1
Tiisa,1
Tiisko,1
Tiittu,1
Tino,1
Tinä,1
Toinä,1
Tuulinä,1
Tyttu,1
Ulli,1
Ullino,1
Valleno,1
Veeno,1
Vena,1
Veriini,1
Versi,1
Vertti,1
Viinä,1
Vikku,1
Virkki,1
