name,frequency
Aaku,1
Aapelo,1
Aatri,1
Ahtinö,1
Aiviö,1
Aksa,1
Alani,1
Alarkka,1
Alerviö,1
Aleviö,1
Allaviö,1
Allevio,1
Alliviö,1
Alva,1
Alvarko,1
Andemi,1
Anderi,1
Anderti,1
Anterviö,1
Antinö,1
Anttu,1
Arviö,1
Aska,1
Askartu,1
Aukki,1
Auku,1
Carkka,1
Carkku,1
Curi,1
Dava,1
Eembinö,1
Eemu,1
Einö,1
Eljampo,1
Elju,1
Elmuttu,1
Enna,1
Ensi,1
Eristinö,1
Eristo,1
Erkku,1
Erku,1
Eska,1
Felmani,1
Haavi,1
Haka,1
Hanesanu,1
Hani,1
Hannekka,1
Hanu,1
Hari,1
Harkka,1
Hartti,1
Heika,1
Heikko,1
Heinö,1
Heiviö,1
Helma,1
Helmu,1
Heneksa,1
Henna,1
Hillava,1
Ilavi,1
Ilkko,1
Ilkku,1
Ilmu,1
Ismassi,1
Ismu,1
Ivari,1
Jaaka,1
Jaakka,1
Jaakku,1
Jaaku,1
Jaanu,1
Jaavino,1
Jaaviö,1
Jaka,1
Jakka,1
Jaku,1
Jaleva,1
Jalju,1
Jandero,1
Jarikka,1
Joakka,1
Jona,1
Jonu,1
Joonatti,1
Joopero,1
Jouku,1
Juhainö,1
Juhanu,1
Juhari,1
Juku,1
Julaviö,1
Juli,1
Justi,1
Juukka,1
Juukki,1
Juuttu,1
Jyrkka,1
Jyrku,1
Kaaka,1
Kaanarri,1
Kainö,1
Kalo,1
Karelmu,1
Karkka,1
Karttu,1
Kaulo,1
Keinö,1
Kimi,1
Kimo,1
Krika,1
Krikki,1
Krikko,1
Krikku,1
Krisko,1
Kurika,1
Kusto,1
Laulo,1
Launo,1
Launu,1
Laupo,1
Leino,1
Leiviö,1
Lemu,1
Maeino,1
Maino,1
Marekku,1
Mari,1
Marikto,1
Markka,1
Marno,1
Marrika,1
Mataviö,1
Matro,1
Mattino,1
Mattinö,1
Mattu,1
Matu,1
Maupo,1
Maurti,1
Mihha,1
Miho,1
Mihoma,1
Miilju,1
Miimmi,1
Miimo,1
Mikanu,1
Mikka,1
Mikto,1
Nika,1
Nuukka,1
Nuuku,1
Oiviö,1
Oivo,1
Oivokka,1
Olevi,1
Ollarri,1
Ollavo,1
Onno,1
Oska,1
Osma,1
Osmu,1
Osmulo,1
Otanto,1
Otaviö,1
Paaka,1
Paaku,1
Paaviö,1
Paeikka,1
Paino,1
Pattu,1
Patu,1
Paturtti,1
Pekki,1
Peksa,1
Peksakka,1
Peri,1
Petavi,1
Petro,1
Priko,1
Pyristi,1
Päinö,1
Raido,1
Rainatu,1
Rainö,1
Raiva,1
Raiviö,1
Raleviö,1
Ralju,1
Ramu,1
Rauri,1
Reinö,1
Riska,1
Risti,1
Rudo,1
Saka,1
Sakeli,1
Sakka,1
Saturti,1
Saullavi,1
Sauno,1
Seviö,1
Siikka,1
Taanelo,1
Tanni,1
Tanu,1
Tapo,1
Taranu,1
Tarkka,1
Tati,1
Tatinö,1
Tatriko,1
Tauriko,1
Teelianu,1
Tinö,1
Toiva,1
Toivinö,1
Toiviö,1
Touku,1
Tounu,1
Tuoma,1
Tuukki,1
Tuuttu,1
Urma,1
Vaeinö,1
Vainö,1
Veiku,1
Veinö,1
Velmu,1
Viho,1
Vika,1
Vikaeinö,1
Vikka,1
Vikku,1
Viljamu,1
Vilju,1
Villari,1
Villeviö,1
Väina,1
Väiva,1
Väivi,1
Väiviö,1
Walevi,1
Wilju,1
Willisti,1
Üllanu,1
