name,frequency
Ada,6
Adela,13
Adela-Elena,8
Adelina,11
Adina,31
Adina-Elena,6
Adriana,106
Adriana-Diana,6
Adriana-Elena,8
Adriana-Gabriela,6
Adriana-Mihaela,6
Agata-Antonia,6
Aida,6
Alexandra,100
Alexandra-Anca,6
Alexandra-Andreea,8
Alexandra-Iuliana,7
Alexandrina,29
Alexia,17
Alexia-Amalia,8
Alexia-Hristiana,6
Alexia-Maria,13
Alice,12
Alina,94
Alina-Elena,9
Alina-Gabriela,11
Alina-Maria,6
Alina-Mihaela,6
Alina-Simona,6
Amalia,28
Amalia-Stefania,6
Ana,210
Ana-Eveline,6
Ana-Maria,125
Ana-Sofia,6
Anamaria,24
Anastasia,12
Anca,93
Anca-Cristina,8
Anca-Daniela,16
Anca-Diana,8
Anca-Elena,11
Anca-Livia,6
Anca-Maria,8
Ancuta,15
Ancuţa,7
Anda,12
Anda-Elena,6
Andra,19
Andrada,7
Andrea,15
Andreea,92
Andreea-Elena,14
Andreea-Florentina,8
Andreea-Gabriela,6
Andreea-Mihaela,10
Aneta,13
Angela,36
Angelica,19
Anica,15
Anisoara,10
Anişoara,8
Anna,27
Anna-Camelia,6
Anna-Maria,12
Antonela,6
Antonia,9
Ariana,8
Ariana-Maria,6
Aura,11
Aurelia,58
Aureliana,7
Aurica,18
Aurora,26
Aurora-Elena,6
Aurora-Nicoleta,6
Beatrice,16
Beatrice-Silvia,6
Bianca,35
Bianca-Diana,6
Bianca-Miruna,6
Brigitte,6
Camelia,74
Camelia-Aida,6
Camelia-Georgeta,6
Camelia-Maria,6
Carmen,110
Carmen-Camelia,7
Carmen-Dana,6
Carmen-Elena,11
Carmen-Georgeta,6
Carmen-Liliana,6
Carmen-Maria,6
Carmen-Mihaela,9
Catalina,52
Catalina-Silvia,6
Caterina,10
Catinca,12
Catrinel,7
Cecilia,8
Cerasela,9
Cezarina,6
Christel,8
Christiana-Mariana,6
Clara,6
Claudia,56
Claudia-Ioana,7
Claudia-Mihaela,6
Codruta,6
Constanta,25
Constantina,23
Constanţa,21
Constanța,15
Corina,42
Corina-Alexandrina,8
Cornelia,56
Cosmina,8
Crina,10
Cristiana,19
Cristina,216
Cristina-Alexandrina,6
Cristina-Daria,8
Cristina-Ecaterina,6
Cristina-Elena,10
Cristina-Ionela,12
Cristina-Maria,7
Cristina-Mihaela,10
Cristina-Victoria,10
Csilla,20
Cătălina,24
Dana,37
Daniela,138
Daniela-Elena,8
Daniela-Gabriela,6
Daniela-Ileana,6
Daniela-Mihaela,6
Daria,18
Daria-Gabriela,6
Daria-Ioana,8
Dariana-Maria,6
Delia,18
Delia-Didona,9
Denisa,13
Diana,71
Didina,8
Doina,77
Doina-Georgeta,6
Domnica,12
Dorina,35
Dorina-Mihaela,6
Dumitra,12
Ecaterina,35
Edit,6
Edita,9
Edita-Elisabeta,10
Elena,451
Elena-Adriana,6
Elena-Daniela,6
Elena-Gabriela,6
Elena-Melania,6
Elena-Mihaela,11
Elena-Raluca,8
Eleonora,11
Elisabeta,58
Eliza,11
Elvira,14
Ema-Beatrice,8
Emanuela,11
Emanuela-Elena,6
Emilia,49
Emma-Alexandra,8
Eniko,7
Erika,7
Erzsebet,6
Erzsebet-Ilona,6
Eszter,6
Eufrosina,6
Eugenia,52
Eugenia-Carmen,9
Eugenia-Codrina,6
Eva,26
Eva-Georgeta,6
Eva-Maria,6
Evelina,6
Fanica,6
Felicia,20
Filofteia,6
Floare,9
Floarea,38
Florea,6
Florela-Antonela,8
Florentina,42
Florica,44
Florica-Cristina,8
Florica-Otilia,6
Florina,34
Florina-Ramona,8
Francesca,6
Francesca-Elisabeta,6
Gabriela,131
Gabriela-Daniela,6
Gabriela-Dumitrela,6
Gabriela-Maria,8
Gabriela-Otilia,6
Geanina,10
Geanina-Cristina,6
Gela-Olimpia,6
Georgeta,91
Georgeta-Elena,6
Georgeta-Natalia,7
Georgiana,11
Geta,10
Geta-Adina,6
Gherghina,6
Gina,13
Gloria,9
Gratiela,6
Helene-Denisa,6
Ildiko,12
Ileana,70
Ilinca,19
Ilona,14
Ioana,223
Ioana-Cristina,9
Ioana-Madalina,8
Ioana-Maria,14
Ioana-Mihaela,6
Ioana-Mădălina,6
Ioana-Raluca,12
Ioana-Teodora,6
Iona,6
Ionela,35
