name,frequency
Aanitei,6
Abraham,13
Abrudan,7
Acatrinei,15
Achiriloaei,7
Adam,21
Adascalitei,10
Adomnicai,6
Adoreanu-Kraiger,19
Adăscăliței,8
Aelenei,7
Agoston,12
Alb,9
Albert,6
Albota,8
Albotă,6
Albu,28
Alecu,6
Alexa,6
Alexandrescu,20
Alexandru,19
Alexe,17
Altfatter,8
Amarie,20
Amet,13
Amuzan,6
Ana,7
Andreas,7
Andreaş,7
Andreescu,6
Andrei,75
Andreies,7
Andres,6
Andreş,6
Andronache,19
Andronescu,8
Anghel,38
Anghelescu,10
Angheluta,7
Angheluţă,6
Antal,38
Antochi,7
Anton,10
Antonescu,20
Antonie,8
Apostol,13
Apostolache,13
Arafat,6
Arcas,6
Arcaş,6
Ardelean,16
Ardeleanu,16
Arghezi,9
Armeanu,16
Aron,9
Arsu,9
Artagea,10
Artopolescu,12
Atanasiu,18
Atanasoaei,12
Atănăsoaei,8
Aurescu,7
Avram,55
Avramescu,23
Avrămescu,6
Axinia,9
Baba,12
Babiuc,6
Bacala,6
Baciu,31
Badalan,12
Badalau,10
Badanoiu,7
Badea,73
Badescu,24
Badila,7
Badulescu,20
Baicea,10
Baisanu,7
Balaj,8
Balan,50
Balanean,7
Balanescu,25
Balasa,6
Balasa-Sorescu,6
Balascau,9
Balasescu,7
Balasoiu,9
Balazs,7
Balașa,6
Balint,14
Balu,7
Baluta,8
Baluța,7
Ban,9
Bancila,9
Banciu,19
Banescu,10
Bangu,9
Banias,8
Banila,9
Banu,17
Bara,8
Barba,9
Barbu,81
Barbulescu,48
Barcari,13
Barczi,6
Bardan,15
Barladeanu,10
Barna,13
Baz,6
Bazavan,8
Beciu,11
Becsek-Garda,9
Becsenescu,10
Becșenescu,7
Beganu,8
Bejan,10
Belacurencu,8
Belascu,8
Belghiru,8
Belu,12
Bende,9
Benea,8
Benga,7
Berbece,6
Berceanu,12
Berechet,9
Beres,7
Beștea,8
Bibart,7
Bibarț,6
Bica,20
Bichinet,7
Bichineț,6
Bidu,6
Bilcea,12
Bindea,7
Birladeanu,6
Biro,13
Birsan,6
Birta,7
Birtalan,25
Bizadea,10
Blaga,23
Blajut,6
Boaja,7
Boangiu,9
Bobeanu,10
Boboc,19
Bobora,6
Boc,7
Bode,7
Bodea,14
Bodog,6
Bogdan,46
Bogdanici,7
Bogdanov,6
Boiangiu,20
Boldea,13
Boldisor,7
Bologa,8
Bonis,7
Boranescu,9
Borbely,13
Borbély,10
Boricean,9
Boroianu,8
Boros,9
Boroş,9
Boroș,10
Borza,11
Borănescu,7
Boscodeala,10
Bota,19
Botanoiu,12
Botez,11
Botezatu-Enescu,7
Botis,10
Botiș,6
Botnariu,8
Botănoiu,9
Boureanu,7
Bozianu,14
Boşcodeală,6
Bradatan,6
Bradațan,6
Bragaru,10
Brailoiu,12
Branescu,10
Brasoveanu,8
Bratu,7
Braşoveanu,6
Brașoveanu,6
Breahna,9
Breahnă,7
Bretean,6
Brezoi,6
Brezovszky,11
Brădăţan,6
Brăgaru,6
Brăiloiu,8
Brănescu,7
Buciuta,17
Bucur,29
Bucureanu,9
Bud,9
Buda,13
Budai,13
Buga,6
Buhaianu-Obuf,8
Buhăianu-Obuf,7
Buica,6
Buicu,7
Buică,9
Bujor,7
Bulai,9
Bulf,7
Bumbu,9
Bunta,9
Burcu,12
Burdan,15
Burdescu,11
Burlacu,21
Burnete,8
Buse,6
Busu,6
Busuioc,9
Buta,11
