name,frequency
Artem,100
Artemij,100
Aleksandr,84
Maksim,75
Daniil,70
Danila,70
Dmitrij,66
Ivan,63
Kirill,61
Nikita,59
Mihail,57
Egor,56
Matvej,54
Andrej,53
Il'ja,52
Aleksej,51
Roman,50
Sergej,50
Vladislav,49
Jaroslav,48
Timofej,47
Arsenij,47
Denis,46
Vladimir,46
Pavel,45
Gleb,45
Konstantin,44
Bogdan,44
Evgenij,43
Nikolaj,43
Stepan,43
Zahar,42
Timur,42
Mark,42
Semen,41
Fedor,41
Georgij,41
Lev,40
Anton,40
Vadim,40
Igor',40
Ruslan,39
Vjacheslav,39
Grigorij,39
Makar,39
Artur,38
Viktor,38
Stanislav,38
Savelij,38
Oleg,37
David,37
Leonid,37
Petr,37
Jurij,37
Vitalij,37
Miron,36
Vasilij,36
Vsevolod,36
Elisej,36
Nazar,36
Rodion,36
Marat,35
Platon,35
German,35
Ignat,35
Ignatij,35
Svjatoslav,35
Anatolij,35
Tihon,35
Valerij,34
Miroslav,34
Rostislav,34
Boris,34
Filipp,34
Dem'jan,34
Klim,34
Valentin,33
Gennadij,33
Serafim,33
Arkadij,33
Taras,33
Trofim,33
Adam,33
Andron,33
Andronik,32
Apollon,32
Borislav,32
Bronislav,32
Valer'jan,32
Venedikt,32
Veniamin,32
Vseslav,32
Gavriil,32
Gavrila,32
Gerasim,32
Efim,31
Zinovij,31
Innokentij,31
Ippolit,31
Iraklij,31
Isidor,31
Kazimir,31
Kondrat,31
Kornej,31
Kuz'ma,31
Lavr,31
Lavrentij,31
Leontij,31
Luk'jan,30
Modest,30
Mstislav,30
Nestor,30
Nikifor,30
Osip,30
Ostap,30
Ruben,30
Samson,30
Sevast'jan,30
Sil'vestr,30
Spiridon,30
Terentij,30
Fadej,30
Fedot,30
Feliks,29
Foma,29
Eduard,29
Emil',29
Ernest,29
Julian,29
Julij,29
Jakov,29
Jan,29
