name,frequency
Acimovic,7
Adzic,4
Adžić,4
Ageev,4
Ageyev,4
Aleksic,15
Aleksich,11
Aleksić,13
Aligrudic,4
Andelkovic,17
Andjelkovic,8
Andjelkovich,15
Andric,13
Andrich,13
Andrić,12
Antic,16
Antich,17
Antić,15
Anđelković,15
Arezhina,4
Arezina,4
Arežina,4
Arsic,7
Arsich,6
Arsić,7
Avramovic,6
Avramovich,4
Avramović,6
Babic,12
Babich,9
Babić,10
Bacevic,6
Bachevich,6
Backovic,7
Backovich,4
Backović,6
Bajatovic,4
Bajatovich,4
Bajatović,4
Bajic,5
Bajich,4
Bajić,5
Balov,4
Banjac,4
Bankovic,4
Bankovich,4
Banković,4
Banovic,5
Bastaki,19
Batakovic,6
Batakovich,6
Bataković,6
Batic,5
Batich,5
Batić,5
Bednarik,6
Belic,8
Belich,7
Belić,7
Besarabic-Beric,4
Biljic,8
Biljich,8
Biljić,8
Bjelica,5
Blagojevic,11
Blagojevich,8
Blagojević,11
Blazhich,4
Blazic,4
Blažić,4
Bogdanovic,11
Bogdanovich,9
Bogdanović,9
Bogojevic,5
Bogojevich,5
Bogojević,5
Bojic,4
Bojovic,10
Bojovich,7
Bojović,8
Borovcanin,4
Borovchanin,4
Borovčanin,4
Boshkovic,6
Boshkovich,17
Boshnjak,6
Boskovic,19
Bosnjak,6
Bozhich,6
Bozhovich,10
Bozic,7
Bozovic,10
Bošković,10
Bošnjak,6
Božić,7
Božović,10
Bradic,6
Bradich,5
Bradić,5
Brkic,7
Brkich,6
Brkić,5
Brnabic,5
Brnabich,5
Brnabić,5
Broz,12
Bubalo,4
Budimirovic,7
Budimirovich,7
Budimirović,7
Buha,4
Bujas,4
Bulatovic,10
Bulatovich,8
Bulatović,9
Bunford,4
Cabric,4
Canak,7
Chanak,7
Chirich,11
Chomic,5
Chomich,6
Chosich,6
Chovic,6
Chovich,6
Churgus,4
Ciric,12
Cirkovic,4
Comic,6
Conic,4
Conich,4
Conić,4
Cosic,6
Covic,7
Curcic,4
Curgus,4
Cvejic,7
Cvejich,7
Cvejić,7
Cvetanovic,6
Cvetanovich,4
