name,frequency
Ada,15
Adela,144
Adelaida,47
Adelina,34
Adoracion,56
Adoración,52
Adriana,61
Africa,25
Agnes,22
Agnès,20
Agueda,24
Agurtzane,18
Agustina,67
Aida,52
Aina,39
Aina-Maria,12
Ainara,99
Ainhoa,183
Ainoa,21
Aintzane,19
Aitana,12
Aitziber,55
Alaitz,21
Alazne,20
Alba,272
Alba-Maria,17
Alba-María,17
Alejandra,135
Alexandra,56
Alexia,16
Alfonsa,21
Alicia,546
Alicia-Maria,11
Alicia-María,11
Almudena,257
Alícia,13
Amada,14
Amagoia,21
Amaia,135
Amalia,122
Amanda,46
Amaya,93
Amelia,112
Amparo,241
Ana,1069
Ana-Belen,390
Ana-Belén,388
Ana-Carmen,34
Ana-Cristina,95
Ana-Dolores,16
Ana-Esther,13
Ana-Isabel,831
Ana-Jesus,11
Ana-Josefa,11
Ana-Luisa,19
Ana-Maria,1189
Ana-María,1167
Ana-Patricia,13
Ana-Pilar,17
Ana-Rosa,116
Ana-Teresa,24
Ana-Vanesa,31
Ana-Vanessa,18
Ana-Victoria,18
Anabel,52
Anais,12
Anastasia,14
Andrea,163
Ane,49
Ane-Miren,13
Angela,217
Angela-Maria,27
Angeles,203
Angelica,36
Angelina,22
Angels,41
Angélica,33
Anna,495
Anna-Maria,166
Anna-María,66
Antonia,564
Antonia-Maria,47
Antonia-María,41
Antònia,38
Anunciada,11
Araceli,174
Arancha,22
Arantxa,55
Arantza,36
Arantzazu,23
Aranzazu,83
Ariadna,41
Aroa,36
Aránzazu,51
Ascension,72
Ascensión,66
Assumpcio,21
Assumpció,15
Assumpta,21
Asun,13
Asuncion,99
Asunción,70
Aurea,17
Aurelia,40
Aurora,201
Avelina,22
Azahara,34
Azucena,50
Aída,26
Balbina,17
Barbara,85
Basilia,14
Basilisa,11
Beatriu,13
Beatriz,977
Begona,259
Begoña,219
Belen,168
Belinda,26
Belén,128
Benita,21
Berta,93
Bibiana,30
Bienvenida,17
Blanca,217
Blanca-Esther,18
Blanca-Maria,20
Blanca-María,20
Blanca-Nieves,18
Blanca-Rosa,14
Brigida,13
Bàrbara,16
Bárbara,64
Candela,13
Candelaria,29
Candida,30
Caridad,48
Carla,91
Carlota,68
Carme,257
Carmela,15
Carmen,1303
Carmen-Delia,13
Carmen-Dolores,15
Carmen-Gloria,11
Carmen-Luisa,11
Carmen-Maria,102
Carmen-María,102
Carmen-Nieves,11
Carmen-Rosa,28
Carmina,31
Carola,18
Carolina,392
Casilda,31
Catalina,250
Catalina-Maria,18
Catalina-María,17
Caterina,23
Cati,11
Cayetana,18
Cecilia,120
Celestina,11
Celia,180
Charo,14
Cinta,16
Cintia,15
Clara,159
Clara-Isabel,37
Clara-Maria,12
Clara-María,12
Claudia,68
Clementina,21
Clotilde,15
Concepcio,36
Concepcion,388
Concepció,30
Concepción,353
Concha,30
Conchi,13
Consol,20
Consolacion,31
Consolación,25
Constanza,13
Consuelo,221
Conxita,24
Coral,30
Covadonga,34
Cristina,1491
Cristina-Maria,17
Cristina-María,17
Cruz,12
Cándida,26
Cèlia,13
Damaris,11
Daniela,24
Davinia,28
Debora,19
Deborah,14
Delfina,15
Delia,28
Desamparados,14
Desiree,15
Desirée,11
Diana,140
Diana-Maria,11
Diana-María,11
Dionisia,13
Divina,12
Dolores,486
Dolores-Maria,13
Dolores-María,13
Dolors,167
Dunia,13
Débora,15
Edurne,51
Eider,34
Elena,859
Elena-Maria,31
Elena-María,31
Elia,35
Elisa,213
Elisa-Isabel,34
Elisa-Maria,11
Elisa-María,11
Elisabet,208
Elisabeth,85
Elisenda,37
Elixabete,12
Elizabet,11
Elizabeth,30
Eloina,13
Eloisa,48
Eloísa,26
Elsa,37
Elvira,159
Emilia,171
Emiliana,17
Emma,70
Empar,21
Encarna,41
Encarnacion,256
Encarnacion-Maria,19
Encarnación,247
Encarnación-María,19
Eneritz,27
Engracia,19
Enriqueta,28
Erica,26
Erika,34
Esmeralda,61
Esperanca,17
Esperanza,192
Esperanza-Macarena,11
Esperança,16
Estefania,120
Estefanía,115
Estela,88
Ester,238
Esther,578
Estibaliz,70
Estrella,77
Estíbaliz,54
Eugenia,56
Eulalia,95
Eulàlia,28
Eva,561
Eva-Maria,372
Eva-María,365
Evangelina,22
Fabiola,56
Fanny,12
Fatima,91
Faustina,16
Fe,12
Feliciana,17
Felicidad,47
Felicitas,13
Felipa,11
Felisa,87
Fernanda,26
Fidela,18
Filomena,26
Fina,24
Flora,34
Florencia,22
Florentina,29
Francesca,59
Francina,14
Francisca,718
Francisca-Maria,16
Francisca-María,16
Fuensanta,34
Fátima,80
Gabriela,55
Garazi,31
Garbine,20
Garbiñe,18
Gema,266
Gema-Maria,24
Gema-María,24
Gemma,404
Gemma-Maria,19
Gemma-María,19
Genoveva,31
Georgina,69
Gisela,41
Gloria,266
Gloria-Maria,29
Gloria-María,29
Glòria,57
Gracia,30
Graciela,11
Gregoria,39
Griselda,11
Guadalupe,137
Guillermina,12
Guiomar,16
Haizea,19
Helena,65
Henar,13
Herminia,51
Hortensia,43
Iciar,13
Idoia,106
Idoya,40
Imma,54
Immaculada,75
Ines,146
Ines-Maria,33
Ingrid,33
Inma,18
Inmaculada,601
Inmaculada-Concepcion,59
Inmaculada-Concepción,60
Inés,134
Inés-María,33
Iolanda,35
Irantzu,14
Irati,31
Iratxe,57
Irene,419
Iria,24
Iris,20
Irma,14
Irune,23
Isabel,1339
Isabel-Carmen,14
Isabel-Maria,226
Isabel-María,218
Isidora,16
Itxaso,31
Itziar,127
Izaskun,91
Jacinta,16
Jaione,33
Janire,17
Jenifer,35
Jennifer,53
Jesica,16
Jessica,70
