name,frequency
Aaron,24
Abel,250
Abelardo,63
Abilio,29
Abraham,36
Adolfo,323
Adolfo-Manuel,11
Adria,57
Adrian,235
Adriano,19
Adrià,50
Adrián,224
Adur,15
Agapito,52
Agusti,61
Agustin,459
Agustí,58
Agustín,455
Ahmed,13
Aitor,339
Aitzol,23
Alain,27
Albert,655
Alberto,1646
Alberto-Carlos,12
Alberto-Jose,14
Alberto-José,14
Alberto-Manuel,28
Albino,24
Aleix,54
Alejandro,1114
Alejandro-Antonio,12
Alejandro-Jose,12
Alejandro-José,12
Alejandro-Manuel,14
Alejo,26
Alex,85
Alexander,23
Alexandre,78
Alexis,37
Alfons,66
Alfonso,1022
Alfonso-Carlos,36
Alfonso-Javier,16
Alfonso-Jesus,12
Alfonso-Jesús,12
Alfonso-Manuel,16
Alfred,29
Alfredo,668
Alipio,12
Alonso,98
Alvaro,553
Amable,31
Amadeo,49
Amadeu,29
Amado,31
Amador,148
Amalio,28
Amancio,31
Amando,22
Ambrosio,50
Anastasio,64
Ander,60
Andoni,89
Andres,689
Andres-Jesus,12
Andres-Jose,12
Andres-Manuel,11
Andreu,164
Andrés,677
Andrés-Jesús,12
Andrés-José,12
Andrés-Manuel,11
Angel,1595
Angel-Antonio,33
Angel-Fernando,12
Angel-Francisco,12
Angel-Javier,17
Angel-Jesus,16
Angel-Jose,23
Angel-Luis,157
Angel-Manuel,57
Angel-Maria,80
Angel-Miguel,17
Angel-Ramon,15
Anibal,23
Aniceto,30
Anselmo,73
Antolin,26
Antolín,24
Anton,49
Antoni,572
Antoni-Josep,17
Antonino,17
Antonio,5703
Antonio-Alejandro,11
Antonio-Angel,26
Antonio-David,21
Antonio-Enrique,12
Antonio-Fernando,17
Antonio-Francisco,66
Antonio-Javier,92
Antonio-Jesus,146
Antonio-Jesús,144
Antonio-Jose,184
Antonio-José,180
Antonio-Juan,15
Antonio-Luis,95
Antonio-Manuel,163
Antonio-Maria,49
Antonio-María,48
Antonio-Miguel,80
Antonio-Pedro,13
Antonio-Rafael,12
Antonio-Ramon,30
Antonio-Ramón,30
Antonio-Santiago,15
Antonio-Vicente,31
Antonio-Ángel,24
Antón,28
Aníbal,21
Aquilino,47
Arcadio,39
Argimiro,31
Aritz,58
Arkaitz,55
Armando,122
Arnau,61
Arsenio,75
Artemio,21
Artur,24
Arturo,363
Asensio,11
Asier,215
Atanasio,12
Atilano,21
Augusto,23
Aureliano,23
Aurelio,199
Avelino,96
Balbino,31
Baldomero,57
Baltasar,65
Bartolome,82
Bartolomé,78
Bartomeu,75
Basilio,88
Bautista,33
Belarmino,16
Belisario,13
Beltran,11
Benat,34
Benedicto,34
Benet,28
Benigno,77
Benito,250
Benito-Manuel,11
Benjami,11
Benjamin,125
Benjamín,113
Bernabe,44
Bernabé,42
Bernardino,67
Bernardo,223
Bernat,72
Beñat,30
Biel,20
Bienvenido,81
Blai,15
Blas,117
Bonifacio,41
Borja,212
Bosco,14
Brais,14
Braulio,37
Bruno,75
Buenaventura,26
Calixto,15
Camilo,77
Candido,94
Carles,509
Carlos,2683
Carlos-Alberto,70
Carlos-Alfonso,14
Carlos-Antonio,26
Carlos-Enrique,56
Carlos-Francisco,21
Carlos-Ignacio,11
Carlos-Javier,126
Carlos-Jesus,18
Carlos-Jesús,18
Carlos-Jose,25
Carlos-José,25
Carlos-Luis,27
Carlos-Manuel,54
Carlos-Maria,31
Carlos-María,29
Carlos-Miguel,19
Carmelo,238
Casimiro,54
Casto,18
Castor,19
Cayetano,46
Cayo,12
Cecilio,71
Ceferino,40
Celedonio,34
Celestino,115
Celso,49
Cesar,376
Cesar-Augusto,11
Cesareo,42
Cesáreo,39
Christian,76
Cipriano,60
Ciriaco,18
Cirilo,23
Claudi,12
Claudio,78
Clemente,97
Conrado,34
Constancio,20
Constantino,127
Cosme,15
Crescencio,28
Cristian,157
Cristino,23
Cristobal,170
Cristóbal,166
Custodio,11
Cándido,89
César,367
Damaso,13
Damia,22
Damian,49
Damià,19
Damián,46
Dani,12
Daniel,1453
Daniel-Jesus,11
Daniel-Jesús,11
Dario,38
Darío,35
David,2606
Delfin,36
Delfín,31
Demetrio,89
Desiderio,45
Didac,29
Diego,1079
Diego-Antonio,12
Diego-Jesus,16
Diego-Jesús,16
Diego-Jose,20
Diego-José,21
Diego-Manuel,16
Dimas,22
Dionisio,177
Domenec,25
Domingo,541
Domènec,21
Donato,24
Doroteo,22
Dámaso,13
Dídac,20
Edelmiro,16
Edgar,20
Edmundo,19
Edorta,14
Eduard,225
Eduardo,1218
Eduardo-Jose,31
Eduardo-José,31
Eduardo-Manuel,11
Efren,16
Efrén,16
Egoitz,22
Ekain,14
Ekaitz,25
Eladio,106
Eleuterio,44
Elias,67
Eliseo,82
Eloi,29
Eloy,179
Elías,66
Emeterio,21
Emigdio,11
Emili,47
Emiliano,183
Emilio,808
Emilio-Antonio,13
Emilio-Jesus,16
Emilio-Jesús,16
Emilio-Jose,68
Emilio-José,67
Emilio-Manuel,16
Enaut,13
Endika,19
Eneko,72
Enric,273
Enrique,1477
Enrique-Antonio,13
Enrique-Francisco,14
Enrique-Javier,12
Enrique-Jose,25
Enrique-José,25
Enrique-Manuel,25
Epifanio,33
Eric,33
Erik,15
Ernest,53
Ernesto,287
Estanislao,45
Esteban,286
Esteve,100
Eudald,40
Eugeni,15
Eugenio,331
Eulalio,14
Eulogio,48
Eusebi,11
Eusebio,168
Eustaquio,27
Eutimio,21
Evaristo,82
Evelio,30
Evencio,11
Ezequiel,59
Eñaut,11
Fabian,34
Fabio,16
Fabián,33
Faustino,180
Fausto,29
Federico,242
Feliciano,105
Felip,33
Felipe,550
Felix,512
Felix-Angel,12
Fermi,17
Fermin,128
Fermí,15
Fermín,122
Fernando,2502
Fernando-Alberto,12
Fernando-Carlos,12
Fernando-Francisco,11
Fernando-Javier,37
Fernando-Jesus,12
Fernando-Jesús,12
Fernando-Jose,37
Fernando-José,37
Fernando-Luis,22
Fernando-Manuel,25
Fernando-Maria,12
Fernando-María,12
Fernando-Miguel,15
Ferran,200
Ferrán,13
Fidel,180
Florenci,15
Florencio,156
Florentino,127
Fortunato,28
Fran,15
Francesc,579
Francesc-Josep,39
Francesc-Xavier,320
Francisco,4160
Francisco-Alberto,12
Francisco-Antonio,121
Francisco-Carlos,19
Francisco-Daniel,22
Francisco-David,18
Francisco-Enrique,12
Francisco-Javier,3707
Francisco-Jesus,56
Francisco-Jesús,55
Francisco-Jose,626
Francisco-José,620
Francisco-Juan,25
Francisco-Julian,13
Francisco-Julián,13
Francisco-Luis,49
Francisco-Manuel,226
Francisco-Miguel,96
Francisco-Rafael,16
Francisco-Ramon,17
Francisco-Ramón,17
Francisco-Salvador,12
Francisco-Vicente,22
Francisco-Xabier,17
Francisco-de-Asis,36
Francisco-de-Asís,36
Francisco-de-Borja,41
Francisco-de-Paula,32
Frederic,40
Fructuoso,16
Frutos,18
Fulgencio,57
Fèlix,18
Félix,487
Félix-Ángel,12
Gabino,38
Gabriel,565
Gaizka,39
Galo,16
Garikoitz,22
Gaspar,80
Gaudencio,13
Genaro,51
Genis,22
Genís,21
Gerard,204
Gerardo,281
Gerardo-Luis,11
German,171
Germán,164
Gervasio,21
Gil,18
Gilberto,18
Gines,38
Ginés,38
Gonzalo,584
Gonzalo-Javier,12
Gorka,164
Gotzon,21
Graciano,16
Gregori,19
Gregorio,479
Guillem,114
Guillermo,473
Guillermo-Antonio,11
Gumersindo,33
Gustavo,245
Gustavo-Adolfo,42
Guzman,24
Guzmán,23
Haritz,14
Hector,190
Heliodoro,60
Hermenegildo,28
Herminio,64
Higinio,53
Hilario,73
Hipolito,34
Hipólito,34
Honorato,15
Honorio,27
Horacio,28
Hugo,68
Humberto,15
Héctor,171
Iago,29
Ibai,44
Iban,44
Ibon,65
Ibán,24
Ignacio,1015
Ignacio-Javier,37
Ignacio-Jose,22
Ignacio-José,22
Ignacio-Manuel,13
Ignasi,112
Igor,116
Iker,131
Ildefonso,122
Imanol,72
Inaki,251
Indalecio,28
Inigo,194
Inocencio,41
Inocente,13
Ion,36
Iosu,27
Iraitz,12
Isaac,173
Isabelino,13
Isaias,26
Isaías,24
Isidoro,162
Isidre,64
Isidro,259
Ismael,397
Israel,116
Ivan,398
Iván,380
Iñaki,218
Iñigo,107
Jacint,23
Jacinto,192
Jacob,21
Jacobo,85
Jaime,1027
Jaime-Manuel,16
Jairo,25
Jan,11
Jaume,853
Javier,2924
Javier-Antonio,13
Javier-Francisco,14
Javier-Ignacio,22
Javier-Luis,11
Javier-Maria,23
Javier-María,23
Jenaro,25
Jeronimo,75
Jerónimo,74
Jesus,2064
Jesus-Alberto,30
Jesus-Angel,140
Jesus-Antonio,57
Jesus-Carlos,19
Jesus-David,12
Jesus-Fernando,17
Jesus-Francisco,19
Jesus-Ignacio,23
Jesus-Javier,44
Jesus-Jose,12
Jesus-Luis,15
Jesus-Manuel,140
Jesus-Maria,329
Jesus-Miguel,56
Jesus-Ramon,22
Jesus-Salvador,11
Jesus-Vicente,12
Jesús,2029
Jesús-Alberto,29
Jesús-Antonio,58
Jesús-Carlos,18
Jesús-David,12
Jesús-Fernando,16
Jesús-Francisco,19
Jesús-Ignacio,23
Jesús-Javier,44
Jesús-José,12
Jesús-Luis,14
Jesús-Manuel,140
Jesús-María,328
Jesús-Miguel,55
Jesús-Ramón,21
Jesús-Salvador,11
Jesús-Vicente,12
Jesús-Ángel,136
Joan,1524
Joan-Antoni,60
Joan-Baptista,24
Joan-Carles,107
Joan-Enric,11
Joan-Francesc,20
Joan-Ignasi,21
Joan-Josep,76
Joan-Lluis,12
Joan-Lluís,11
Joan-Manel,26
Joan-Manuel,37
Joan-Marc,16
Joan-Maria,39
Joan-Miquel,33
Joan-Ramon,40
Joan-Ramón,12
Joan-Vicent,13
Joaquim,331
Joaquim-Maria,11
Joaquin,696
Joaquin-Antonio,16
Joaquin-Jose,13
Joaquin-Maria,19
Joaquín,666
Joaquín-Antonio,16
Joaquín-José,12
Joaquín-María,19
Joel,46
Jokin,35
Jon,188
Jon-Ander,26
Jon-Andoni,19
Jon-Inaki,12
Jon-Iñaki,13
Jonas,16
Jonatan,85
Jonathan,69
Jonás,15
Jordi,1887
Jorge,1393
Jorge-Antonio,24
Jorge-Carlos,21
Jorge-Javier,18
Jorge-Juan,46
Jorge-Luis,58
Jorge-Manuel,21
Jose,3111
Jose-Agustin,27
Jose-Alberto,146
Jose-Alejandro,24
Jose-Alfonso,30
Jose-Alfredo,11
Jose-Andres,85
Jose-Angel,387
Jose-Antonio,2245
Jose-Arturo,12
Jose-Aurelio,14
Jose-Benito,25
Jose-Blas,12
Jose-Carlos,327
Jose-Damian,16
Jose-Daniel,43
Jose-David,51
Jose-Domingo,39
Jose-Eduardo,27
Jose-Emilio,34
Jose-Enrique,110
Jose-Esteban,19
Jose-Eugenio,16
Jose-Felix,55
Jose-Fernando,71
Jose-Francisco,257
Jose-Gabriel,51
Jose-Gregorio,17
Jose-Guillermo,12
Jose-Ignacio,442
Jose-Jaime,15
Jose-Javier,282
Jose-Jesus,30
Jose-Joaquin,86
Jose-Juan,100
Jose-Julian,29
Jose-Julio,26
Jose-Lorenzo,21
Jose-Luis,2437
Jose-Manuel,1749
Jose-Marcos,11
Jose-Maria,1851
Jose-Mariano,18
Jose-Mario,13
Jose-Martin,19
Jose-María,22
Jose-Miguel,527
Jose-Pablo,29
Jose-Pascual,14
Jose-Pedro,40
Jose-Rafael,35
Jose-Ramon,552
Jose-Raul,18
Jose-Ricardo,40
Jose-Salvador,24
Jose-Santiago,15
Jose-Tomas,40
Jose-Vicente,224
Joseba,157
Joseba-Andoni,11
Joseba-Inaki,13
Joseba-Iñaki,13
Joseba-Mirena,11
Josep,1775
Josep-Anton,17
Josep-Antoni,95
Josep-Carles,13
Josep-Enric,19
Josep-Francesc,21
Josep-Joan,15
Josep-Lluis,92
Josep-Lluís,78
Josep-Manel,42
Josep-Manuel,25
Josep-Maria,733
Josep-María,136
Josep-Miquel,33
Josep-Oriol,29
Josep-Ramon,58
Josep-Ramón,21
Josep-Vicent,31
Josu,108
Josue,25
Josué,24
José,2995
José-Agustín,28
José-Alberto,145
José-Alejandro,24
José-Alfonso,28
José-Alfredo,11
José-Andrés,84
José-Antonio,2226
José-Arturo,11
José-Aurelio,14
José-Benito,25
José-Blas,12
José-Carlos,321
José-Carmelo,11
José-Damián,16
José-Daniel,45
José-David,50
José-Domingo,38
José-Eduardo,27
José-Emilio,33
José-Enrique,107
José-Esteban,19
José-Eugenio,14
José-Fernando,71
José-Francisco,257
José-Félix,54
José-Gabriel,50
José-Gregorio,17
José-Guillermo,11
José-Ignacio,440
José-Jaime,15
José-Javier,282
José-Jesús,30
José-Joaquín,82
José-Juan,95
José-Julio,25
José-Julián,28
José-Lorenzo,21
José-Luis,2335
José-Luís,73
José-Manuel,1717
José-Marcos,11
José-Maria,17
José-Mariano,18
José-Mario,12
José-Martín,19
José-María,1803
José-Miguel,518
José-Pablo,29
José-Pascual,13
José-Pedro,40
José-Rafael,34
José-Ramón,538
José-Raúl,17
José-Ricardo,43
José-Salvador,24
José-Santiago,15
José-Tomás,40
José-Vicente,224
José-Ángel,374
Juan,2610
Juan-Agustin,23
Juan-Agustín,23
Juan-Alberto,68
Juan-Alejandro,11
Juan-Alfonso,29
Juan-Andres,42
Juan-Andrés,41
Juan-Angel,64
Juan-Antonio,1391
Juan-Bautista,176
Juan-Carlos,1874
Juan-Cruz,31
Juan-Daniel,13
Juan-David,13
Juan-Diego,52
Juan-Domingo,14
Juan-Emilio,19
Juan-Enrique,36
Juan-Eugenio,11
Juan-Felipe,21
Juan-Felix,18
Juan-Fernando,45
Juan-Francisco,531
Juan-Félix,18
Juan-Gabriel,31
Juan-Guillermo,12
Juan-Ignacio,241
Juan-Isidro,11
Juan-Javier,26
Juan-Jesus,122
Juan-Jesús,120
Juan-Jose,1101
Juan-José,1088
Juan-Lorenzo,12
Juan-Luis,421
Juan-Manuel,1138
Juan-Marcos,23
Juan-Maria,115
Juan-Martin,14
Juan-Martín,13
Juan-María,114
Juan-Miguel,287
Juan-Pablo,182
Juan-Pedro,196
Juan-Rafael,23
Juan-Ramon,207
Juan-Ramón,202
Juan-Salvador,26
Juan-Tomas,11
Juan-Tomás,11
Juan-Vicente,98
Juan-de-Dios,73
Juan-de-la-Cruz,18
Juan-Ángel,64
Juanjo,25
Julen,76
Juli,43
Julia,24
Julian,513
Julio,760
Julio-Alberto,20
Julio-Antonio,22
Julio-Cesar,77
Julio-César,77
Julio-Jose,20
Julio-José,19
Julio-Manuel,19
Julià,18
Julián,503
Justino,47
Justo,162
Justo-Manuel,12
Karlos,20
Kepa,52
Kevin,12
Koldo,51
Ladislao,19
Lander,26
Laureano,83
Laurentino,31
Lazaro,23
Leandro,52
Leocadio,11
Leonardo,88
Leoncio,44
Leonides,11
Leopoldo,107
Lino,19
Llorenc,53
Llorenç,52
Lluis,364
Lluis-Miquel,11
Lluís,324
Lluís-Miquel,11
Longinos,11
Lorenzo,366
Lucas,103
Luciano,111
Lucinio,12
Lucio,62
Luis,2036
Luis-Alberto,192
Luis-Alfonso,53
Luis-Alfredo,14
Luis-Angel,118
Luis-Antonio,167
Luis-Carlos,122
Luis-Carmelo,12
Luis-Domingo,17
Luis-Eduardo,16
Luis-Enrique,68
Luis-Felipe,56
Luis-Fernando,155
Luis-Francisco,72
Luis-Guillermo,11
Luis-Ignacio,39
Luis-Javier,112
Luis-Jesus,25
Luis-Jesús,25
Luis-Jorge,14
Luis-Jose,29
Luis-José,28
Luis-Juan,12
Luis-Manuel,134
Luis-Maria,126
Luis-Mariano,71
Luis-María,122
Luis-Miguel,513
Luis-Ramon,16
Luis-Ramón,15
Luis-Vicente,28
Luis-Ángel,109
Luís,31
Luís-Miguel,14
Lázaro,23
Macario,12
Magi,17
Magí,14
Manel,177
Manolo,14
Manu,11
Manuel,4959
Manuel-Alberto,34
Manuel-Alejandro,31
Manuel-Andres,12
Manuel-Andrés,12
Manuel-Angel,89
Manuel-Antonio,97
Manuel-Carlos,24
Manuel-Eduardo,11
Manuel-Enrique,22
Manuel-Fernando,15
Manuel-Francisco,53
Manuel-Ignacio,18
Manuel-Javier,24
Manuel-Jesus,112
Manuel-Jesús,112
Manuel-Jose,77
Manuel-José,77
Manuel-Lorenzo,14
Manuel-Luis,28
Manuel-Maria,42
Manuel-María,41
Manuel-Miguel,16
Manuel-Ramon,18
Manuel-Ramón,18
Manuel-Salvador,12
Manuel-Vicente,25
Manuel-Ángel,88
Marc,494
Marcal,11
Marcel,61
Marceliano,16
Marcelino,236
Marcelo,69
Marcial,83
Marciano,21
Marco,25
Marco-Antonio,109
Marcos,548
Marcos-Antonio,41
Maria,35
Mariano,659
Marino,72
Mario,562
Mario-Antonio,13
Marius,15
Marià,15
Marti,104
Martin,211
Martí,101
Martín,203
Marçal,11
María,14
Mateo,88
Mateu,37
Matias,75
Matías,79
Mauricio,41
Mauro,20
Maximiano,16
Maximiliano,53
Maximino,64
Maximo,78
Melchor,38
Miguel,2127
Miguel-Angel,1729
Miguel-Antonio,38
Miguel-Francisco,27
Miguel-Javier,17
Miguel-Jesus,11
Miguel-Jesús,11
Miguel-Jose,23
Miguel-José,23
Miguel-Luis,13
Miguel-Manuel,13
Miguel-Maria,15
Miguel-María,15
Miguel-Ángel,1696
Mikel,280
Miquel,490
Miquel-Angel,65
Miquel-Àngel,48
Modesto,114
Moises,113
Moisés,106
Màrius,12
Máximo,77
Nacho,34
Narcis,70
Narciso,84
Narcís,66
Natalio,15
Nazario,15
Nelson,15
Nemesio,23
Nestor,31
Nicanor,31
Nicasio,32
Nicolas,179
Nicolás,176
Nicomedes,13
Nil,17
Noe,11
Noel,11
Norberto,52
Noé,11
Néstor,28
Octavi,13
Octavio,73
Odilo,14
Oier,49
Olegario,24
Oliver,27
Omar,35
Onofre,22
Orestes,11
Oriol,155
Orlando,21
Oscar,723
Oscar-Luis,23
Oscar-Manuel,14
Oskar,16
Oswaldo,17
Ovidio,37
Pablo,1281
Pablo-Antonio,30
Pablo-Javier,14
Pablo-Jesus,13
Pablo-Jesús,13
Pablo-Jose,29
Pablo-José,30
Pablo-Luis,26
Pablo-Manuel,19
Pablo-Miguel,11
Paco,60
Pascual,198
Patricio,56
Patrocinio,11
Patxi,55
Patxi-Xabier,15
Pau,192
