name,frequency
Abril-Martorell-Hernandez,12
Abril-Martorell-Hernández,12
Aguirre-Gil-de-Biedma,11
Aguirre-Zamorano,14
Alonso,11
Alonso-Alonso,66
Alonso-Alvarez,22
Alonso-Fernandez,30
Alonso-Fernández,28
Alonso-Garcia,40
Alonso-García,40
Alonso-Gonzalez,28
Alonso-González,27
Alonso-Lopez,17
Alonso-López,17
Alonso-Martin,13
Alonso-Martinez,20
Alonso-Martín,12
Alonso-Martínez,20
Alonso-Perez,27
Alonso-Pérez,26
Alonso-Rodriguez,30
Alonso-Rodríguez,28
Alonso-Rubio,11
Alonso-Ruiz,18
Alonso-Sanchez,22
Alonso-Sánchez,21
Alonso-Álvarez,22
Alvarez-Alonso,14
Alvarez-Alvarez,56
Alvarez-Diaz,11
Alvarez-Fernandez,59
Alvarez-Garcia,55
Alvarez-Gomez,19
Alvarez-Gonzalez,55
Alvarez-Lopez,29
Alvarez-Martinez,26
Alvarez-Perez,26
Alvarez-Rodriguez,44
Alvarez-Sanchez,18
Alvarez-Suarez,11
Andres-Garcia,12
Andrés-García,12
Arias-Fernandez,12
Arias-Fernández,12
Armada-Martinez-Campos,14
Armada-Martínez-Campos,14
Arroyo-Garcia,13
Arroyo-García,13
Benito-Garcia,12
Benito-García,12
Blanco-Blanco,15
Blanco-Fernandez,21
Blanco-Fernández,20
Blanco-Garcia,20
Blanco-García,20
Blanco-Gonzalez,24
Blanco-González,23
Blanco-Lopez,12
Blanco-López,12
Blanco-Martinez,13
Blanco-Martínez,13
Blanco-Perez,13
Blanco-Pérez,13
Blanco-Rodriguez,22
Blanco-Rodríguez,21
Blanco-Sanchez,15
Blanco-Sánchez,15
Boceta-Ostos,13
Botella-Serrano,18
Bretones,23
Calvo-Calvo,13
Calvo-Garcia,20
Calvo-García,20
Calvo-Rodriguez,14
Calvo-Rodríguez,14
Campos-Anso-Ron,12
Campos-Ansó-Ron,12
Cano-Garcia,12
Cano-García,12
Cano-Perez,11
Carabante-Muntada,11
Caravaca-de-Juan,18
Carrasco-Garcia,12
Carrasco-García,12
Casado-Garcia,21
Casado-García,20
Casado-Gonzalez,12
Casado-González,12
Castro-Fernandez,14
Castro-Fernández,14
Castro-Garcia,22
Castro-García,22
Castro-Gonzalez,13
Castro-González,12
Castro-Rodriguez,13
Castro-Rodríguez,13
Castro-Sanchez,11
Chaves-Gonzalez,12
Cifuentes-Cuencas,13
Crespo-Crespo,12
Crespo-Garcia,11
Crespo-García,11
Cuenca-Anaya,14
Delgado-Delgado,13
Delgado-Garcia,19
Delgado-García,18
Delgado-Gonzalez,11
Delgado-González,11
Delgado-Ruiz,11
Delgado-Sanchez,12
Delgado-Sánchez,11
Diaz-Alonso,11
Diaz-Alvarez,15
Diaz-Diaz,46
Diaz-Fernandez,38
Diaz-Garcia,51
Diaz-Gomez,15
Diaz-Gonzalez,27
Diaz-Hernandez,24
Diaz-Jimenez,16
Diaz-Lopez,31
Diaz-Martin,15
Diaz-Martinez,20
Diaz-Moreno,12
Diaz-Perez,23
Diaz-Rodriguez,37
Diaz-Romero,11
Diaz-Ruiz,11
Diaz-Sanchez,33
Diez-Fernandez,14
Diez-Garcia,19
Diez-Gonzalez,14
Diez-Hochleitner-Rodriguez,14
Dominguez-Dominguez,21
Dominguez-Garcia,26
Dominguez-Gonzalez,25
Dominguez-Martin,17
Dominguez-Martinez,13
Dominguez-Perez,14
Dominguez-Rodriguez,18
Dominguez-Sanchez,24
Domínguez-Domínguez,21
Domínguez-García,26
Domínguez-González,25
Domínguez-Martín,17
Domínguez-Martínez,13
Domínguez-Pérez,13
Domínguez-Rodríguez,18
Domínguez-Sánchez,24
Díaz-Díaz,44
Díaz-Fernández,38
Díaz-García,49
Díaz-González,27
Díaz-Gómez,14
Díaz-Hernández,23
Díaz-Jiménez,16
Díaz-López,29
Díaz-Martín,15
Díaz-Martínez,19
Díaz-Moreno,12
Díaz-Pérez,22
Díaz-Rodríguez,37
Díaz-Ruiz,11
