name,frequency
Aasa,87
Aase,11
Adela,6
Adele,8
Agnes,38
Agneta,84
Agneta-Emelie,6
Aina,13
Alexandra,25
Alfhild,6
Alice,32
Alma,15
Alva,6
Amalia,9
Amanda,29
Amelia,7
Ana-Maria,6
Andrea,18
Anette,39
Angela,7
Angelika,8
Anita,78
Ann,68
Ann-Britt,14
Ann-Cathrin,6
Ann-Cathrine,9
Ann-Charlott,21
Ann-Charlotte,21
Ann-Christin,38
Ann-Christine,28
Ann-Katrin,12
Ann-Kristin,20
Ann-Louise,30
Ann-Margret,7
Ann-Mari,16
Ann-Marie,67
Ann-Sofi,15
Ann-Sofi-Elisabet,6
Ann-Sofie,27
Anna,604
Anna-Belle,10
Anna-Birgitta,8
Anna-Britta,11
Anna-Caren,12
Anna-Carin,8
Anna-Carina,6
Anna-Christina,8
Anna-Greta,19
Anna-Helena,9
Anna-Karin,53
Anna-Karolina,6
Anna-Kerstin,8
Anna-Kristina,19
Anna-Lena,28
Anna-Lisa,17
Anna-Margareta,6
Anna-Maria,15
Anna-Marie,14
Anna-Marielle,6
Anna-Stina,6
Anne,57
Anne-Li,12
Anne-Marie,43
Anne-Sofie,9
Anneli,24
Annelie,20
Annette,17
Annica,17
Annie,7
Annika,94
Asa,95
Astri,8
Astrid,44
Astrid-Marianne,8
Astrid-Merike,6
Barbro,78
Beata,8
Beatrice,9
Berit,34
Birgit,39
Birgitta,287
Birgitte,6
Bodil,6
Brita,34
Britt,53
Britt-Inger,10
Britt-Mari,8
Britt-Marie,37
Britta,27
Camilla,44
Carin,32
Carina,90
Carola,8
Carolina,17
Caroline,66
Catarina,16
Catharina,46
Catherine,16
Cathrine,6
Cecilia,171
Cecilie,6
Charlotta,52
Charlotta-Elisabet,6
Charlotte,58
Charlotte-Wanda-Maria,6
Chatarina,9
Christel,7
Christina,180
Christine,13
Clara,19
Clara-Elisabeth,6
Constance,11
Dagmar,20
Dagny,7
Desiree,11
Doris,18
Ebba,54
Edith,7
Eivor,14
Eleonor,7
Eleonora,8
Eleonore,6
Elin,61
Elinor,12
Elisabet,187
Elisabeth,326
Elizabeth,13
Ella,17
Ellen,38
Ellenor,6
Ellinor,7
Elly,6
Elsa,81
Else-Marie,6
Elsie,8
Elsvig,7
Elvira,6
Emelie,14
Emilia,17
Emma,70
Erica,22
Erika,27
Erna,8
Ester,20
Ethel,11
Eva,422
Eva-Britt,12
Eva-Kajsa,6
Eva-Karin,14
Eva-Lena,19
Eva-Lena-Margareta,6
Eva-Margareta,7
Evelina,7
Evy,6
Ewa,37
Fanny,16
Felicia,10
Filippa,17
Fredrika,16
Frida,20
Gabriella,13
Gerd,44
Gerda,9
Gertrud,7
Greta,33
Gudrun,35
Gun,58
Gun-Britt,10
Gunborg,9
Gunhild,16
Gunilla,109
Gunnel,43
Gunvor,14
Hanna,80
Hannah,12
Haorong-Elisabeth,11
Harriet,20
Hedda,6
Hedvig,12
Helen,60
Helena,144
Helene,46
Helén,12
Henny,6
Hilda,8
Hilde,11
Hildur,7
Hillevi,12
Hulda,7
Ida,47
Ing-Margareth,6
Ing-Mari-Kristina,6
Inga,62
Inga-Bodil,6
Inga-Britt,12
Inga-Lill,51
Ingalill,8
Ingeborg,54
Ingegaerd,8
Ingegard,11
Ingegerd,47
Ingegärd,9
Ingela,20
Inger,108
Ingrid,219
Ingrid-Maria,6
Irene,34
Irene-Elisabet,8
Iris,10
Irma,12
Iréne,6
Isabel,12
Isabella,10
Jane,7
Jeanette,20
Jennie,6
Jenny,54
Jenny-Katarina,6
Jessica,28
Joanna,7
Johanna,115
Josefin,16
Josefina,8
Josefine,18
Josephine,7
Julia,28
Kajsa,25
Kajsa-Lena-Regina,6
Karin,383
Karin-Birgita,6
Karin-Elisabeth,6
Karin-Maria,9
Karolina,19
Katarina,118
Kate-Marie,6
Katharina,10
Katrin,12
Kersti,8
Kerstin,172
Kid,6
Klara,24
Kristin,14
Kristina,231
Kristina-Maria,11
Laila,9
Lea,16
Lefcothea-Marina,10
Lena,207
Lil,6
Lilian,16
Lillemor,14
Lillie-Johanna,6
Lilly,10
Lina,18
Linda,54
Linn,11
Linnea,83
Linnéa,37
Lisa,53
Lisbet,6
Lisbeth,39
Lise-Lotte,7
Liselott,8
Liss,6
Liv,9
Lotta,16
Louise,86
Louwerina-Maria,6
Love-Lis-Juliusdotter,6
Lovisa,30
Lowina,8
Lydia,8
Madeleine,41
Maerta,40
Magdalena,32
Maine,6
Maj,19
Maj-Britt,20
Maja,27
Malin,86
Margareta,348
Margaretha,40
Margit,26
Margit-Gunhild,6
Mari,8
Maria,558
Maria-Birgitta,7
Maria-Elisabet,20
Maria-Elisabeth,10
Maria-Kristina,9
Maria-Ulrika,7
Marianne,161
Marie,173
Marie-Anne,8
Marie-Charlotte,7
Marie-Louise,67
Marielle,6
Marika,19
Marina,8
Marion,7
Marita,21
Maritha,7
Marjo-Riitta,6
Marlene,7
Marta,46
Martina,19
Mary,14
Mathilda,9
Matilda,39
Maud,21
Maud-Elisabeth,6
May,13
Mia,18
Mikaela,9
Moa,6
Molly,6
Mona,23
Monica,63
Monika,18
Myy,6
Märta,38
Nancy,7
Nanna,6
Natacha,7
Nathalie,11
Nina,21
Nora,11
Norma,6
Olivia,12
Orvokki,9
Paula,10
Paulin,9
Paulina,14
Pernilla,24
Petra,24
Pia,37
Py-Lotte,7
Py-Lotte-Elisabeth,6
Qori-Tika,6
Ragnhild,6
Rakel,7
Rebecca,10
Rebecka,19
Roberta,7
Rose-Marie,28
Rose-Mary,6
Rut,37
Ruth,28
Sabina,9
Sabine-Maria-Laurine,6
Sally,7
Sandra,24
Sanna,7
Sanna-Mari,6
Sara,91
Sara-Lena,6
Sarah,13
Signe,53
Sigrid,13
Siri,19
Siv,39
Sofia,156
Sofie,12
Solveig,27
Sonia,7
Sonja,21
Sophia-Marie-Claire,6
Sophie,15
Stella,8
Stephanie-Ottora-Eveline,6
Stina,30
Susanna,27
Susanne,67
Suzanne,17
Svea,11
Sylvia,8
Taina,6
Tanja,6
Therese,35
Tina,6
Tone,6
Tove,15
Ulla,93
Ulla-Britt,25
Ulrica,14
Ulrica-Ann-Louise,8
Ulrika,93
Ulrika-Mari-Ann,6
Vanja,7
Vera,6
Veronica,19
Veronika,7
Victoria,31
Viktoria,47
Viola,17
Viola-Helen,6
Viveca,7
Viveka,17
Wictoria,7
Ylva,34
Yvonne,37
Zackie-Birgitta,6
Åsa,83
