name,frequency
Aake,76
Adam,30
Adolf,6
Adrian,7
Ake,78
Albert,13
Albin,12
Alex,13
Alexander,63
Alf,26
Alfred,9
Ali,9
Allan,26
Anders,439
Andre,7
Andreas,75
Andres,6
Anton,40
Arne,80
Arthur,12
Arthur-Paul,6
Artur,8
Arvid,28
August,20
Axel,132
Bengt,212
Benjamin,11
Berndt,6
Bernhard,10
Bernt,13
Bert,8
Bertil,67
Birger,11
Bjoern,93
Bjorn,95
Björn,89
Bo,136
Boerje,21
Borje,23
Bror,17
Börje,18
Calle,12
Carl,302
Carl-Adam,7
Carl-Axel,19
Carl-Erik,14
Carl-Fredric,7
Carl-Fredrik,15
Carl-Gustaf,19
Carl-Gustav,8
Carl-Henrik,6
Carl-Johan,62
Carl-Magnus,7
Carl-Olof,15
Carl-Oscar,6
Carl-Otto-Johannes,6
Carl-Viggo,6
Christer,107
Christian,41
Christoffer,17
Christoph,6
Christopher,9
Claes,81
Claes-Goeran,10
Claes-Goran,10
Claes-Göran,9
Clas,12
Conny,6
Curt,14
Curt-Arne,6
Dag,18
Dan,34
Daniel,95
David,107
Dennis,19
Edvard,15
Edvin,12
Edward,11
Einar,18
Elias,14
Emanuel,21
Emil,36
Eric,63
Erik,432
Erik-Anders,11
Erik-Gunnar,10
Erik-Johan,12
Erik-Magnus,7
Erland,19
Erling,16
Ernst,12
Eskil,12
Evert,15
Fabian,7
Felix,10
Filip,32
Folke,40
Frank,12
Fredric,6
Fredrik,167
Gabriel,14
Georg,16
Gerhard,14
Gillis,6
Goeran,99
Goesta,31
Goete,7
Goran,102
Gosta,31
Gote,7
Gunnar,189
Gunnar-Anders,6
Gustaf,101
Gustaf-Reinhold,6
Gustav,111
Göran,69
Gösta,30
Göte,6
Haakan,97
Hakan,105
Hampus,10
Hans,257
Hans-Christian,7
Hans-Erik,12
Hans-Gunnar,8
Hans-Reinhold,6
Harald,31
Harry,17
Helge,17
Henning,11
Henric,11
Henrik,114
Henry,16
Herbert,9
Herman,20
Hilding,8
Hjalmar,14
Holger,12
Horst,7
Hrafninn-Gunnar-Vilhelm,6
Hugo,52
Håkan,70
Inge,13
Ingemar,86
Ingvar,62
Ivan,9
Ivar,33
Jacob,33
Jakob,33
James,6
Jan,274
Jan-Aake,11
Jan-Agne,11
Jan-Ake,11
Jan-Anders,10
Jan-Eric,8
Jan-Erik,28
Jan-Evert,6
Jan-Gunnar,6
Jan-Ingvar,6
Jan-Mikael,6
Jan-Olof,13
Jan-Olov,9
Jan-Ove,6
Jan-Åke,11
Jarl,6
Jean-Christophe,6
Jens,34
Jerker,6
Jesper,38
Jimmy,10
Joachim,18
Joakim,35
Joel,21
Joergen,42
Johan,325
Johan-Anders,6
Johan-Erik,7
Johan-Fredrik,6
Johan-Magnus,6
Johannes,43
John,89
John-Christer,6
John-Olof,11
Johnny,11
Jon,27
Jonas,142
Jonatan,18
Jonathan,12
Jorgen,42
Josef,7
Jörgen,25
Kai,12
Kaj,13
Kalle,9
Karl,252
Karl-Axel,11
Karl-Erik,28
Karl-Gunnar,15
Karl-Heinz,6
Karl-Johan,9
Karl-Olof,6
Karl-Oskar,6
Kenneth,18
Kent,32
Kenth,8
Kerem,6
Kjell,73
Klas,30
Knut,19
Krister,23
Kristian,13
Kristofer,9
Kristoffer,12
Kurt,36
Larry,6
Lars,455
Lars-Aake,12
Lars-Ake,12
Lars-Anders,6
Lars-Arne,6
Lars-Eric,8
Lars-Erik,32
Lars-Goeran,8
Lars-Goran,11
Lars-Gunnar,12
Lars-Göran,9
Lars-Julius,6
Lars-Olof,12
Lars-Otto,6
Lars-Ove,6
Lars-Åke,12
Leif,92
Lennart,182
Leo,6
Linus,19
Lorentz,6
Love,16
Ludvig,26
Ludvig-Ernst-George,6
Ludwig,15
Lukas,17
Maarten,13
Magnus,148
Marcus,20
Markus,22
Marten,14
Martin,134
Mathias,10
Mats,153
Mattias,68
Max,22
Maximilian,8
Melker,6
Michael,46
Mikael,160
Mulli,6
Mårten,10
Nicklas,12
Niclas,32
Niklas,40
Nils,259
Nils-August,7
Nils-Erik,15
Nils-Olof,7
Ola,67
Ole,7
Oliver,8
Olle,48
Olof,201
Olof-Gunnar,6
Olov,53
Omar,9
Oscar,57
Oskar,43
Otto,29
Otto-Carl-Niclas,6
Otto-Peter,6
Ove,23
Paer,17
Par,19
Patrick,13
Patrik,50
Paul,17
Peder,11
Per,372
Per-Arne,21
Per-Erik,39
Per-Magnus,8
Per-Ola,6
Per-Olof,39
Per-Urban,6
Peter,184
Petter,19
Philip,16
Pierre,9
Pontus,30
Pär,18
Ragnar,21
Raimo,6
Ralph,7
Rasmus,17
Reinhold,20
Richard,28
Rickard,35
Rikard,12
Robert,62
Robin,8
Roger,43
Roland,50
Rolf,88
Rune,35
Samuel,21
Sebastian,19
Sigfrid,9
Sigurd,16
Sigvard,12
Simon,31
Soeren,21
Soren,21
Staffan,43
Stefan,128
Sten,53
Stephan,7
Stig,70
Sture,24
Sune,8
Svante,27
Sven,215
Sven-Aake,6
Sven-Ake,6
Sven-Eric,6
Sven-Erik,28
Sven-Olof,15
Sven-Olov,6
Sven-Reinhold,6
Sven-Åke,6
Sverker,12
Sören,16
Tage,11
Ted,8
Teodor,7
Theodor,16
Thomas,85
Tim,9
Tobias,28
Tom,13
Tomas,53
Tommy,48
Tony,15
Torbjoern,29
Torbjorn,29
Torbjörn,21
Tord,16
Tore,21
Torgny,10
Torkel,10
Torsten,28
Ture,15
Ulf,127
Ulf-Peter,7
Ulf-Reinhold,6
Ulrik,14
Uno,18
Urban,28
Valdemar,12
Victor,23
Viktor,39
Vilhelm,18
Vincent,7
Waldemar,8
Walter,6
Wilhelm,44
William,32
Yngve,27
Åke,66
