name,frequency
Aaberg,24
Aadahl,7
Aagren,13
Aahlund,17
Aakerman,6
Aakesson,32
Aangstroem,10
Aaslund,8
Aastroem,6
Abele,6
Abelson,7
Aberg,25
Abrahamsson,8
Acketoft,6
Adahl,7
Aengmo,6
Agren,13
Ahlberg,8
Ahlfont,7
Ahlin,6
Ahlqvist,6
Ahlund,17
Ahnlid,9
Akerman,6
Akesson,32
Aldestam,7
Alexandersson,9
Alfredsson,12
Alfvag,6
Almgren,8
Alnebratt,9
Altera,6
Alteraa,6
Althin,11
Andersen,6
Anderson,7
Andersson,188
Andre,10
Andreasson,11
Andren,21
André,8
Andrén,16
Angelin,10
Angmo,6
Angstrom,12
Anneling,6
Arnholm,7
Arosenius,17
Artin,7
Arvedahl,8
Arvidsson,6
Ask,6
Askersjo,7
Askersjoe,6
Aslund,8
Asp,8
Asplund,15
Astrom,7
Aurelius,9
Axberger,8
Axelsson,17
Axen,10
Axén,6
Backlund,11
Backman,21
Backstrom,24
Baeckman,9
Baeckstroem,21
Baekkevold,6
Bardh,7
Baron,6
Baudin,6
Beck-Friis,7
Beckman,9
Beiming,19
Belfrage,18
Bengtsson,52
Benzler,8
Berg,28
Berggren,14
Bergheden,8
Berglind,8
Berglund,15
Bergman,16
Bergquist,15
Bergqvist,6
Bergstroem,28
Bergstrom,28
Bergström,20
Bernadotte,18
Berndtson,6
Bernhardsson,15
Bill,6
Billinger,7
Bjoerck,16
Bjoerk,11
Bjoerklund,30
Bjoerkman,7
Bjoerkmo,7
Bjoerlund,6
Bjorck,16
Bjork,11
Bjorklund,30
Bjorkman,7
Bjorkmo,7
Bjorlund,6
Bjuhr,6
Björck,14
Björk,8
Björklund,23
Blomberg,12
Blomkvist,11
Blomqvist,8
Blomstrand,12
Bodstroem,13
Bodstrom,13
Bodström,12
Boehlin,7
Boerjesson,7
Bohlin,12
Bohman,9
Bonde,16
Bonnier,11
Borg,21
Borgeke,8
Borgstroem,15
Borgstrom,15
Borgström,11
Borjesson,7
Born,8
Braennstroem,10
Brandin,8
Brannstrom,10
Bredberg,9
Brennerfelt,8
Broden,9
Brodin,8
Brodén,6
Broemster,8
Broman,8
Bromster,8
Bruce,8
Brundin,14
Brunegaard,11
Brunegard,11
Brunegård,8
Brännström,8
Brömster,7
Bucht,34
Burman,7
Buskhe,8
Buzaglo-Olofsgaard,6
Buzaglo-Olofsgard,6
Bylund,15
Bystroem,10
Bystrom,10
Byström,8
Bäckman,7
Bäckström,17
Callenholm,7
Carlberg,8
Carlgren,7
Carlson,15
Carlsson,82
Ceciliason-Thingwall,6
Cederschioeld,11
Cederschiold,11
Cederschiöld,8
Christiansson,17
Dahl,9
Dahlback,7
Dahlbaeck,7
Dahlberg,7
Dahlbäck,6
Dahlgren,6
Dahlin,8
Dahlstroem,6
Dahlstrom,6
Daleus,6
Dalevi,9
Damberg,15
Danielsson,35
Dingizian,7
Douglas,22
Eckerdal,19
Eclund,6
Edin,11
Edlund,10
Edstroem,10
Edstrom,10
Edsvik,7
Egardt,10
Egerhag,10
Egervaern,8
Egervarn,10
Egervärn,8
