name,frequency
A-Ngun,6
Achara,9
Aim-On,7
Aim-Orn,16
Alisa,17
Amara,10
Amorn,7
Amornrat,10
Ampai,6
Amphai,13
Amphon,12
Amporn,33
Anchalee,27
Anchali,10
Angkana,19
Angkhana,10
Anong,34
Anya,7
Aphinya,8
Aphiradi,7
Apinya,12
Apiradee,8
Aporn,6
Aranya,16
Araya,13
Aree,26
Arisa,6
Ariya,7
Arun,7
Arunee,31
Aruni,8
Atchana,6
Atchara,32
Bang-On,12
Bang-Orn,27
Banyen,6
Benja,12
Benjamas,11
Benjawan,17
Boonmee,7
Boonsri,10
Bunmee,7
Bunruan,8
Bunruen,7
Bunsri,10
Buppha,8
Busaba,8
Bussaba,6
Butsaba,9
Catherine,10
Chada,8
Chalao,6
Chaliao,18
Chaluay,7
Chamaiporn,7
Chamnian,10
Chan,12
Chanida,7
Chanita,7
Chanpen,6
Chanphen,10
Chantana,13
Chanthana,11
Chanthra,6
Chanya,10
Charoen,6
Charuwan,11
Chatkaew,9
Chaveevan,6
Chawee,6
Chaweewan,10
Chawiwan,13
Chayada,6
Chinda,8
Chintana,28
Chiraphon,17
Chiraporn,6
Chirawan,11
Chittra,13
Chongrak,6
Chonthicha,6
Chuan,8
Chuanphit,6
Chuanpis,8
Chuanpit,8
Chuen,10
Chuensuk,6
Chuleeporn,10
Chun,6
Churairat,7
Churee,6
Chusri,12
Chuthamat,6
Chutharat,7
Chutima,29
Daeng,11
Daranee,15
Darin,6
Darunee,16
Duangchai,9
Duangjai,16
Duangkamol,8
Duangkhae,6
Duangphon,9
Duangporn,28
Duangrat,6
Duangta,9
Em-Orn,8
Eng,11
Hatairat,7
Hong,7
Huai,7
Inthira,10
Intira,6
Jamnian,6
Jan,7
Janchai,6
Janjira,8
Janpen,9
Janya,12
Jariya,9
Jaruwan,20
Jenny,6
Jinda,15
Jintana,35
Jiraphon,8
Jiraporn,36
Jirawan,15
Jittra,12
Jongjit,10
Jurairat,7
Juree,8
Jureerat,6
Jutaporn,6
Juthamas,12
Jutharat,8
Juthathip,6
Kaew,6
Kalaya,17
Kallaya,18
Kamolwan,7
Kanchana,41
Kanda,14
Kanitta,6
Kanittha,13
Kanjana,32
Kanlaya,14
Kannika,25
Kannikar,9
Kanokporn,10
Kanokwan,16
Kanya,20
Kanyaka,6
Kanyarat,13
Karuna,6
Kasama,11
Kasamon,9
Kasem,6
Kaset,7
Kee,6
Kesinee,6
Kesorn,8
Kham,9
Khanittha,9
Khomkhai,6
Kingkarn,7
Kittima,9
Kittiya,11
Kobkaew,6
Kobkul,16
Kobkun,6
Komkai,7
Koranit,6
Kritsana,6
Kulwaree,6
Kunwari,8
Kwanchanok,7
La-Ong,8
La-Or,14
Ladawan,8
Ladda,15
Laddawan,24
Lakkana,11
Lalida,8
Lalita,8
Lamai,37
Lamchuan,6
Lapat-On,6
Lawan,6
Lek,29
Linda,6
Luan,9
Mai,11
Malai,14
Malee,25
Mali,42
Malika,6
Malinee,17
Malini,6
Maliwan,9
Mallika,18
Mananya,9
Manee,20
Maneerat,13
Manirat,6
Mantana,10
Manthana,9
Mariam,6
Marisa,13
Mayura,9
Mayuree,13
Montha,16
Monthira,7
Mookda,8
Mui,6
Mukda,19
Naiyana,16
Nalinee,6
Namthip,10
Nangnoi,7
Nantana,10
Nantawan,7
Nanthana,11
Nanthawan,9
Nantiya,6
Naowarat,6
Napa,10
Napaporn,14
Napha,11
Naraporn,7
Naree,7
Narisa,7
Narissara,10
Naritsara,7
Naruemol,10
Naruemon,16
Narumol,8
Narumon,11
Nataya,6
Natcha,18
Natnicha,8
Nattakarn,7
Nattaporn,6
Nattaya,9
Nattha,12
Natthakan,8
Natthamon,6
Natthaphon,8
Natthaya,6
Natthida,9
Nawaporn,8
Nawarat,9
Nicha,9
Nichaphat,6
