name,frequency
Abbas,10
Abdul,8
Abdulbaki,8
Abdulkadir,65
Abdulkerim,22
Abdullah,259
Abdulsamet,6
Abdurrahim,7
Abdurrahman,97
Abdülkadir,42
Abdülkerim,9
Abidin,21
Adem,78
Adil,43
Adnan,128
Agah,9
Ahmed,15
Ahmet,1169
Akif,77
Akin,21
Akın,17
Alaaddin,19
Alaattin,36
Alaeddin,8
Alaettin,8
Ali,1184
Alican,10
Alim,10
Alp,41
Alparslan,30
Alpaslan,27
Alpay,6
Alper,42
Alperen,12
Altan,9
Anil,9
Anıl,11
Aram,9
Aras,9
Arda,24
Arif,66
Arslan,27
Asim,26
Aslan,41
Asım,21
Ata,15
Atakan,9
Atay,10
Atif,9
Atila,10
Atilla,69
Avni,52
Ayberk,6
Aydin,46
Aydın,41
Ayhan,74
Aykut,38
Aytac,8
Aytach,6
Aytaç,7
Aytekin,12
Aytun,6
Azad,6
Aziz,47
Azmi,16
Bahaddin,6
Bahadir,24
Bahadır,18
Bahattin,33
Bahri,21
Baki,18
Baran,21
Barbaros,9
Baris,38
Barish,23
Barış,31
Basri,32
Battal,11
Batuhan,7
Bayram,49
Bedii,8
Bedirhan,16
Bedrettin,11
Bedri,12
Behcet,7
Bekir,101
Berat,8
Berk,22
Berke,11
Besim,6
Besir,11
Beytullah,6
Beşir,9
Bilal,61
Bilge,9
Bilgin,6
Binali,7
Birol,29
Bora,31
Bozkurt,11
Bugra,8
Bulent,81
Bunyamin,9
Burak,107
Burhan,69
Burhanettin,16
Bülent,64
Bünyamin,8
Cafer,32
Cagatay,9
Cagri,12
Cahit,53
Can,116
Caner,9
Cavit,16
Celal,81
Celalettin,21
Celil,13
Cem,75
Cemal,110
Cemalettin,21
Cemil,76
Cenap,14
Cengiz,89
Cenk,22
Cetin,29
Cevat,24
Cevdet,38
Ceyhun,10
Chagatay,6
Chagri,8
Chetin,17
Christos,6
Cihad,7
Cihan,39
Cihangir,8
Cihat,21
Coskun,17
Coşkun,12
Cuma,17
Cumali,12
Cumhur,23
Cuneyt,21
Cüneyt,17
Davut,37
Demir,13
Deniz,48
Dervis,7
Dervish,7
Derviş,6
Derya,10
Devlet,7
Devrim,11
Dimitrios,7
Dogan,36
Doruk,7
Doğan,33
Durali,7
Duran,20
Durdu,7
Durmus,23
Durmush,14
Durmuş,21
Dursun,49
Ebubekir,15
Edip,26
Efe,25
Ege,10
Egemen,13
Ejder,16
Ekrem,67
Emin,177
Emir,51
Emrah,21
Emre,139
Emrullah,19
Ender,13
Enes,60
Engin,76
Enis,15
Ensar,8
Enver,49
Ercan,53
Ercument,8
Ercüment,8
Erdal,82
Erdem,37
Erdogan,31
Erdoğan,23
Eren,19
Ergin,12
Ergun,26
Ergün,16
Erhan,48
Erkam,6
Erkan,84
Erkin,6
Erkut,7
Erol,90
Ersan,8
Ersin,35
Ersoy,6
Ertan,32
Ertugrul,31
Ertuğrul,26
Esat,21
Eshref,7
Esref,14
Etem,14
Ethem,22
Evren,14
Eymen,6
Eyup,51
Eyyup,6
Eyüp,41
Eşref,14
Fadil,6
Fahrettin,56
Fahri,33
Faik,24
Faruk,195
Fatih,275
Fazil,9
Fazli,11
Fazlı,7
Fazıl,8
Fehmi,57
Ferhat,36
Feridun,27
Ferit,26
Fethi,26
Fethullah,8
Feti,7
Fetullah,6
Fevzi,57
Feyzi,24
Feyzullah,14
Fikret,78
Fikri,26
Firat,15
Fuat,68
Furkan,62
Fırat,10
Galip,17
Gani,10
Garegin,6
Garip,6
Gazi,19
Gokhan,44
Gokmen,7
Goksel,6
Gultekin,6
Gungor,7
Gurcan,8
Gurkan,12
Gursel,9
Gökhan,38
Gültekin,6
Güngör,6
Gürcan,6
Gürkan,9
Gürsel,8
Habib,16
Habip,10
Haci,105
Hacı,72
Hadi,12
Hakan,188
Hakki,64
Hakkı,59
Haldun,11
Halid,8
Halil,252
Halim,21
Halis,28
Halit,57
Haluk,53
Hamdi,69
Hamit,28
Hamza,42
Han,9
Hanefi,10
Hanifi,7
Harun,39
Hasan,578
Hashim,8
Hasim,16
Hayati,20
Haydar,57
Hayrettin,33
Hayri,28
Hayrullah,19
Hazim,8
Haşim,15
Hidayet,18
Hikmet,73
Hilmi,73
Hulusi,24
Hursit,7
Hurşit,8
Husamettin,11
Huseyin,357
Husnu,39
Hüsamettin,9
Hüseyin,299
Hüsnü,27
Ibrahim,314
Idris,22
Ihsan,107
Ilhami,19
Ilhan,42
Ilker,31
Ilyas,25
Inan,6
Irfan,45
Isa,25
Ishak,12
Isik,7
Iskender,6
Ismail,250
Ismet,47
Izzet,28
Izzettin,10
Kaan,50
Kadir,102
Kadri,19
Kagan,9
Kahraman,9
Kamer,8
Kamil,83
Kamuran,14
Kasim,18
Kasım,16
Kaya,38
Kayhan,12
Kazim,38
Kazım,28
Kağan,8
Kemal,270
Kemalettin,25
Kenan,60
Kerem,59
Kerim,35
Koksal,9
Koray,26
Korhan,10
Korkut,9
Kubilay,10
Kursad,8
Kursat,16
Kurshat,9
Kutlu,8
Kutsal,6
Köksal,7
Kürşad,6
Kürşat,15
Latif,14
Levent,77
Lokman,15
Lutfi,38
Lutfu,30
Lutfullah,7
Lütfi,31
Lütfü,19
Macit,8
Mahir,27
Mahmud,7
Mahmut,221
Maksut,7
Malik,8
Mansur,6
Mazhar,10
Mazlum,6
Mecit,15
Mehdi,7
Mehmed,14
Mehmet,2100
Melih,40
Memduh,16
Memet,31
Mert,47
Mesut,71
Mete,25
Metehan,9
Metin,199
Mevlut,36
Mevlüt,31
Mikail,8
Mikdat,8
Mithat,18
Muammer,52
Mucahit,27
Mufit,9
Muhammed,193
Muhammet,170
Muharrem,79
Muhittin,24
Muhsin,25
Muhtar,9
Mumtaz,9
Munir,10
Murad,10
Murat,382
Murtaza,10
Musa,93
Muslum,13
Mustafa,1156
Mutlu,18
Muzaffer,79
Mücahit,15
Müfit,6
Mümtaz,8
Münir,9
Müslüm,11
Naci,38
Nadir,23
Nafiz,8
Nail,8
Naim,8
Namik,22
Namık,19
Nazif,19
Nazim,21
Nazmi,24
Nazım,14
Nebi,9
Necati,66
Necdet,42
Necip,31
Necmeddin,6
Necmettin,35
Necmi,15
Nedim,38
Nejat,22
Nejdet,8
Neset,6
Nevzat,53
Nezir,14
Nihat,80
Niyazi,45
Nizamettin,6
Nuh,9
Numan,24
Nurettin,64
Nuri,107
Nurullah,28
Nusret,23
Oguz,45
Oguzhan,25
Okan,22
Okay,6
Okkes,6
Oktay,37
Olcay,7
Omer,284
Onan,6
Onder,17
Onur,56
Orhan,174
Osman,426
Ozan,17
Ozcan,24
Ozer,11
Ozgur,50
Ozkan,14
Oğuz,41
Oğuzhan,24
Pasa,6
Paşa,6
Polat,7
Rafet,10
Ragip,11
Ragıp,9
Rahmi,39
Raif,13
Ramazan,97
Ramis,6
Ramiz,12
Rashit,6
Rasih,9
Rasim,35
Rasit,11
Rauf,12
Raşit,11
Recai,10
Recep,113
Refik,14
Reha,7
Remzi,57
Resat,12
Reshat,6
Resit,6
Resul,12
Reşat,11
Ridvan,17
Rifat,44
Riza,86
Ruhi,13
Rustem,11
Rustu,10
Rüstem,9
Rüştü,9
Rıdvan,14
Rıfat,23
Rıza,63
Saadettin,9
Sabahattin,22
Saban,25
Sabir,6
Sabit,6
Sabri,81
Sacit,9
Sadettin,23
Sadi,20
Sadik,30
Sadullah,6
Sadık,27
Safa,10
Saffet,19
Sahin,24
Said,29
Saim,15
Sait,73
Sakir,13
Salih,175
Salim,48
Samet,20
Sami,83
Samil,11
Sarp,11
Savas,12
Savash,6
Savaş,12
Sebahattin,21
Seckin,7
Sedat,67
Sefa,15
Sefer,26
Sefik,9
Selahaddin,7
Selahattin,76
Selami,25
Selchuk,21
Selcuk,36
Selim,123
Selman,18
Selçuk,34
Semih,42
Semsettin,14
Sencer,6
Sener,7
Senol,15
Serafettin,16
Serdal,10
Serdar,89
Seref,18
Serhan,10
Serhat,25
Serif,17
Serkan,55
Servet,27
Sevket,27
Sevki,16
Seyfettin,13
Seyfi,13
Seyfullah,10
Seyhmus,9
Seyit,34
Sezai,27
Sezer,11
Sezgin,7
Seçkin,6
Shaban,14
Shahin,16
Shakir,8
Shamil,8
Shefik,6
Shemsettin,9
Shenol,9
Sherafettin,9
Sheref,12
Sherif,9
Shevket,15
Shevki,11
Shukru,30
Sina,8
Sinan,107
Sinasi,8
Sirri,11
Sitki,14
Soner,12
Suat,59
Suha,14
Sukru,46
Suleyman,129
Sultan,6
Suphi,12
Sureyya,11
Süha,8
Süleyman,105
Süreyya,9
Sırrı,9
Sıtkı,10
Tacettin,7
Taha,47
Tahir,46
Tahsin,43
Talat,21
Talha,34
Talip,28
Tamer,31
Taner,39
Tanju,15
Tarik,14
Tarkan,11
Tarık,12
Tayfun,13
Tayfur,9
Taylan,16
Tayyar,9
Tayyip,14
Tekin,14
Temel,24
Teoman,15
Tevfik,45
Timur,8
Tolga,45
Toprak,8
Tufan,19
Tugrul,21
Tuna,17
Tunc,7
Tuncay,30
Tuncer,21
Tunch,6
Tunç,7
Turan,79
Turgay,27
Turgut,56
Turhan,36
Turker,9
Tuğrul,16
Türker,9
Ufuk,50
Ugur,79
Ulas,9
Ulash,6
Ulaş,7
Ulvi,6
Umit,42
Umut,32
Unal,22
Utkan,7
Utku,8
Uğur,66
Vahap,6
Vahdettin,11
Vahit,19
Vasfi,7
Vedat,40
Vehbi,26
Veli,38
Veysal,7
Veysel,32
Veysi,13
Volkan,50
Vural,12
Yahya,36
Yakup,71
Yalchin,12
Yalcin,22
Yalçın,21
Yasar,65
Yashar,40
Yasin,50
Yasir,17
Yavuz,83
Yaşar,59
Yekta,7
Yener,11
Yetkin,6
Yigit,21
Yildiray,6
Yildirim,25
Yilmaz,68
Yiğit,16
Yucel,24
Yuksel,37
Yunus,67
Yurdal,6
Yusuf,299
Yücel,20
Yüksel,33
Yıldırım,15
Yılmaz,47
Zafer,68
Zahid,11
Zahit,8
Zekai,14
Zekeriya,36
Zeki,117
Zeynel,20
Zihni,15
Ziver,6
Ziya,110
Zubeyir,7
Zuhtu,7
Zulfu,8
Zühtü,7
Zülfü,6
Çağatay,9
Çağrı,10
Çetin,28
Ökkeş,6
Ömer,230
Önder,15
Özcan,20
Özer,6
Özgür,37
Özkan,11
Ümit,37
Ünal,18
İbrahim,243
İdris,18
İhsan,92
İlhami,15
İlhan,35
İlker,20
İlyas,19
İnan,6
İrfan,37
İsa,20
İshak,9
İskender,6
İsmail,213
İsmet,41
İzzet,23
İzzettin,6
Şaban,23
Şahin,21
Şakir,14
Şamil,11
Şefik,9
Şemsettin,14
Şener,7
Şenol,15
Şerafettin,17
Şeref,16
Şerif,16
Şevket,26
Şevki,15
Şeyhmus,6
Şinasi,7
Şükrü,44
