name,frequency
Abdulaziz,12
Abdulla,20
Abdumumin,13
Abdurahim,18
Abdurakhim,17
Abdurashid,31
Abdurasul,12
Abdusalom,11
Abdushukur,16
Abduvokhid,13
Abror,15
Achilbai,15
Achilbay,14
Adham,15
Adkham,14
Ahmad,21
Aibek,20
Akbar,15
Akhmad,22
Akmal,46
Alisher,300
Anvar,76
Asror,15
Avaz,19
Avazbek,17
Aybek,20
Azamat,46
Azim,19
Aziz,43
Azizbek,12
Bahadir,15
Bahadyr,11
Bahodir,97
Bahodirjon,13
Bahodirzhon,14
Bahodyr,17
Bahrom,48
Bahromjon,17
Bahromzhon,17
Bahtiar,17
Bahtier,72
Bahtiiar,25
Bahtiyar,33
Bahtiyor,63
Bakhadir,15
Bakhadyr,11
Bakhodir,103
Bakhodirjon,13
Bakhodirzhon,14
Bakhodyr,19
Bakhrom,44
Bakhromjon,16
Bakhromzhon,16
Bakhtiar,17
Bakhtier,90
Bakhtiiar,24
Bakhtiyar,33
Bakhtiyer,18
Bakhtiyor,86
Batir,19
Batyr,19
Behzod,22
Bekhzod,26
Bekzod,30
Bobir,15
Botir,52
Botirjon,11
Botirzhon,11
Chori,12
Davron,20
Dilmurod,35
Dilshod,53
Djahangir,12
Djahongir,17
Djakhangir,12
Djakhongir,17
Djamshid,21
Donier,37
Doniyor,39
Dzhahangir,12
Dzhahongir,17
Dzhakhongir,14
Dzhamshid,21
Eler,12
Elyor,12
Ergash,22
Erkin,113
Fahriddin,13
Faizulla,18
Fakhriddin,15
Fanis,12
Farhad,11
Farhod,49
Farkhad,12
Farkhod,48
Farmon,12
Farruh,17
Farrukh,20
Fayzulla,18
Firdavs,11
Fozil,11
Furkat,44
Gairat,23
Gairatdin,12
Gayrat,26
Gayratdin,12
Halilillo,16
Hasan,13
Hayrulla,17
Hurshid,18
Ibragim,16
Ibrohim,33
Ibrokhim,31
Ilhom,54
Ilhomjon,28
Ilhomzhon,26
Ilkhom,60
Ilkhomjon,28
Ilkhomzhon,25
Islom,15
Ismail,16
Iunusali,14
Iusufbai,12
Iusufbay,12
Jahangir,12
Jahongir,45
Jakhangir,12
Jakhongir,48
Jamol,25
Jamshid,71
Kahramon,39
Kakhramon,43
Kamil,13
Kamoliddin,16
Khabibulla,11
Khalilillo,15
Khasan,15
Khayrulla,17
Khurshid,16
Kobiljon,12
Kobilzhon,12
Komil,14
Komiljon,19
Komilzhon,17
Laziz,13
Mahmud,21
Mahmudjon,17
Mahmudzhon,21
Mahmujon,12
Makhmud,20
Makhmudjon,17
Makhmudzhon,21
Makhmujon,12
Mansur,12
Marat,31
Mir-Akbar,13
Mirakbar,12
Muhammad,20
Muhiddin,14
Muhtor,16
Mukhammad,20
Mukhiddin,15
Mukhitdin,15
Mukhtor,17
Murod,21
Musa,12
Muzaffar,25
Muzraf,41
Nabi,12
Najmiddin,16
Nazhmiddin,14
Nodir,67
Nodirbek,31
Nodirjon,26
Nodirzhon,27
Nuriddin,14
Nurullo,11
Obidjon-Ugli,13
Obidzhon-Ugli,13
Obijon-Ugli,13
Odil,41
Odiljon,24
Odilzhon,24
Oibek,69
Olim,40
Olimjon,30
Olimzhon,31
Omonullo,12
Ortikboi-Ugli,12
Ortikboy-Ugli,12
Otabek,48
Otkir,15
Oybek,67
Ozodbek,12
Radik,12
Rahat,12
Rahimjon,11
Rahimzhon,11
Rakhat,11
Rakhimjon,12
Rakhimzhon,11
Rashid,15
Ravshan,36
Ravshanbek,18
Ruslan,34
Rustam,140
Rustem,22
Saidikram,46
Saidkamol,28
Sanjar,16
Sanzhar,14
Sardor,40
Sardorbek,13
Sarvar,32
Sharof,14
Shavkat,75
Sherzod,135
Sherzodhon,12
Sherzodkhon,11
Shuhrat,149
Shukhrat,153
Shukurullo,12
Sirojiddin,11
Sirozhiddin,11
Sobir,25
Suhrob,12
Sukhrob,14
Tahir,15
Takhir,13
Tavakkal,13
Tavakkalbek,15
Temur,12
Timur,37
Tohir,18
Tokhir,17
Tulkin,23
Tura,12
Turabjon,12
Turabzhon,12
Turobjon,13
Turobzhon,12
Uktam,33
Ulmas,15
Ulugbek,154
Umar,16
Umid,14
Umidjon,18
Umidzhon,19
Umijon,17
Usman,21
Utkir,31
Yunusali,14
Yusufbai,12
Yusufbay,12
Zafar,52
Zafarjon,12
Zafarzhon,12
Zainiddin,25
Zayniddin,25
Zhahongir,34
Zhakhongir,35
Zhamol,17
Zhamshid,58
Ziedilla,12
Ziyedilla,12
Ziyodilla,12
Zokirjon,11
