name,frequency
Abdullaeva,17
Abdullayeva,17
Abduvalieva,6
Ahmedova,11
Aitjanova,13
Aitzhanova,12
Akbarova,8
Akhmedova,12
Alimova,12
Aytjanova,13
Aytzhanova,13
Bakaeva,6
Bakayeva,7
Baratova,6
Borisova,8
Danilova,6
Davletova,8
Erniazova,6
Erniiazova,6
Erniyazova,6
Farmanova,6
Ganieva,6
Ganiyeva,7
Gulamova,6
Hakimova,6
Hasanova,6
Ianbarisova,24
Ibragimova,8
Imomova,10
Inamova,8
Ismailova,31
Iunusova,9
Kadirova,13
Karimova,13
Khakimova,8
Khasanova,6
Koshaeva,8
Koshayeva,8
Kurbonova,14
Niazova,6
Niiazova,6
Niyazova,7
Omonova,10
Rahimova,8
Rakhimova,8
Rashidova,7
Reshetova,6
Rustamova,8
Sidikova,6
Temirhanova,6
Temirkhanova,6
Turgunova,6
Umarova,16
Yanbarisova,24
Yerniazova,6
Yerniiazova,6
Yerniyazova,6
Yuldasheva,7
Yunusova,8
Zakirova,7
