name,frequency
Ai,7
An,40
Anh,267
Ba,7
Bay,6
Be,9
Bich,35
Binh,35
Bé,7
Bình,31
Bích,31
Cam,20
Chanh,13
Chau,28
Chi,52
Chinh,19
Chung,21
Châu,26
Cuc,27
Cúc,26
Cầm,6
Cẩm,7
Dan,14
Danh,6
Dao,27
Di,6
Diem,10
Dien,6
Diep,11
Dieu,7
Dinh,8
Diễm,9
Diệp,8
Diệu,6
Doan,8
Dong,6
Duc,8
Dung,138
Duong,16
Duyen,14
Duyên,11
Dương,13
Em,10
Gai,7
Giang,54
Giao,8
Ha,130
Hai,31
Hang,84
Hanh,66
Hao,12
Hau,8
Hien,74
Hieu,7
Hiền,61
Hoa,167
Hoai,10
Hoan,20
Hoang,22
Hong,90
Hoài,10
Hoàng,17
Hue,40
Huong,190
Huyen,47
Huynh,6
Huyền,41
Huệ,32
Hà,113
Hòa,24
Hương,145
Hường,23
Hạnh,64
Hải,29
Hảo,9
Hậu,7
Hằng,77
Hồng,89
Kha,8
Khanh,39
Khoa,6
Khánh,14
Kieu,22
Kim,99
Kiều,18
Lai,9
Lam,22
Lan,186
Lanh,8
Le,45
Lich,6
Lien,60
Lieu,10
Linh,97
Liên,56
Liễu,8
Loan,118
Loc,6
Loi,10
Luong,6
Luu,7
Luyen,9
Luyến,7
Ly,49
Lê,10
Lý,8
Lệ,28
Lịch,6
Lộc,6
Lợi,7
Mai,172
Man,6
May,11
Me,10
Minh,175
Mo,9
Mui,9
Muoi,9
My,36
Mười,6
Mỷ,6
Mỹ,18
Nam,13
Nga,196
Ngan,32
Nghi,6
Nghia,7
Ngoan,12
Ngoc,114
Nguyen,23
Nguyet,39
Nguyên,9
Nguyệt,37
Ngân,29
Ngọc,107
Nham,6
Nhan,20
Nhi,23
Nhu,15
Nhung,75
Nhàn,9
Như,11
Ninh,15
Oanh,96
Phi,14
Phong,7
Phuc,13
Phung,15
Phuong,150
Phúc,13
Phương,109
Phượng,32
Phụng,12
Quan,8
Quang,9
Que,7
Quy,8
Quyen,13
Quynh,21
Quyên,12
Quân,6
Quế,7
Quỳnh,18
Sang,10
Sen,12
Sinh,8
Son,12
Song,6
Sua,7
Suong,8
Sơn,6
Sương,8
Tam,45
Tan,8
Thai,10
Tham,13
Thang,9
Thanh,293
Thao,68
Thi,1822
Thi-Anh,28
Thi-Bach,15
Thi-Bao,6
Thi-Be,9
Thi-Bich,72
Thi-Cam,11
Thi-Diem,12
Thi-Dieu,7
Thi-Ha,8
Thi-Hai,18
Thi-Hoa,8
Thi-Hoang,16
Thi-Hong,94
Thi-Huong,15
Thi-Huyen,10
Thi-Kieu,16
Thi-Kim,187
Thi-Lan,17
Thi-Le,15
Thi-Mai,25
Thi-Minh,71
Thi-Mong,6
Thi-My,50
Thi-Ngoc,121
Thi-Nhu,10
Thi-Phuong,50
Thi-Quynh,8
Thi-Thanh,142
Thi-Thu,173
Thi-Thuy,63
Thi-To,8
Thi-Tuyet,36
Thi-Van,12
Thi-Viet,9
Thi-Xuan,29
Thi-Yen,7
Thien,7
Thinh,14
Tho,9
Thoa,43
Thom,11
Thu,226
Thuan,9
Thuc,6
Thuong,13
Thuy,215
Thuý,9
Thuận,7
Thuỷ,15
Thành,14
Thái,10
Thùy,22
Thúy,64
Thơm,10
Thư,14
Thương,10
Thảo,60
Thắm,11
Thắng,6
Thị,1589
Thị-Anh,7
Thị-Bé,7
Thị-Bích,68
Thị-Bạch,15
Thị-Cẩm,10
Thị-Diễm,12
Thị-Diệu,7
Thị-Hoàng,16
Thị-Huyền,10
Thị-Hà,7
Thị-Hương,15
Thị-Hải,16
Thị-Hồng,88
Thị-Kim,181
Thị-Kiều,15
Thị-Lan,16
Thị-Lệ,13
Thị-Mai,25
Thị-Minh,68
Thị-Mộng,6
Thị-Mỹ,46
Thị-Ngọc,109
Thị-Như,10
Thị-Phương,48
Thị-Quỳnh,8
Thị-Thanh,131
Thị-Thu,166
Thị-Thùy,16
Thị-Thúy,32
Thị-Thủy,6
Thị-Tuyết,31
Thị-Tố,7
Thị-Việt,9
Thị-Vân,12
Thị-Xuân,25
Thị-Yến,6
Thị-Ánh,19
Thịnh,10
Thủy,83
Tien,23
Tinh,8
Tiên,9
Tiến,8
Toan,10
Tra,6
Tram,19
Tran,19
Trang,126
Trinh,39
Truc,14
Trung,8
Truong,9
Trà,6
Trâm,17
Trân,6
Trúc,10
Trường,6
Tu,30
Tuyen,17
Tuyet,55
Tuyến,9
Tuyết,50
Tuyền,7
Tâm,38
Tú,18
Uyen,11
Uyên,10
Van,114
Vi,10
Viet,14
Vinh,17
Việt,11
Vui,8
Vy,27
Vân,99
Xinh,6
Xuan,34
Xuyen,6
Xuân,33
Y,8
Yen,66
Yên,6
Yến,58
Ái,7
Ánh,27
Đan,7
Đào,21
Đức,6
