name,frequency
A,29
Abe,6
Agari,8
An,9
Au,9
Bach,11
Ban,6
Be,20
Bui,560
Bàn,6
Bùi,508
Bạch,11
Bế,18
Cam,15
Can,6
Cao,248
Cat,8
Chang,15
Chau,82
Chu,148
Chung,16
Châu,38
Cu,19
Cut,6
Cát,8
Cù,9
Cầm,9
Dam,44
Dang,397
Danh,40
Dao,195
Dau,20
Diep,13
Dieu,17
Dinh,294
Diệp,10
Do,464
Doan,169
Dong,35
Doãn,8
Du,14
Dung,8
Duong,277
Dương,252
Giang,120
Giàng,88
Ha,204
Hang,18
Ho,258
Hoa,14
Hoang,637
Hong,16
Honjo,10
Hoàng,576
Hua,24
Hung,9
Huynh,301
Huỳnh,277
Hà,184
Hạng,9
Hồ,204
Hồng,9
Hờ,12
Hứa,21
Juan,8
K,7
Kha,21
Khong,7
Khuat,11
Khuc,6
Khuong,6
Khuất,11
Khà,8
Khúc,6
Khương,6
Khổng,6
Kieu,19
Kim,27
Kiều,18
La,45
Lai,43
Lam,87
Lang,8
Lanh,6
Lau,34
Le,1569
Lin,6
Linh,9
Lo,94
Loc,7
Long,8
Lu,42
Luc,12
Luong,172
Luu,96
Ly,166
Lâm,72
Lã,9
Lê,1454
Lò,67
Lô,13
Lù,12
Lý,99
Lăng,7
Lư,7
Lưu,86
Lương,133
Lường,25
Lại,39
Lầu,27
Lộc,6
Lục,9
Lữ,16
Ma,54
Mac,14
Mai,295
Man,6
Mong,7
Moong,19
Mua,42
Mã,9
Mùa,40
Mạc,14
Nagata,7
Nakazono,6
Nam,8
Nay,11
Ngai,6
Nghiem,29
Nghiêm,26
Ngo,347
Nguven,13
Nguyen,5858
Nguyễn,5387
Ngô,317
Ninh,18
Nong,52
Nông,50
Oki,7
Pham,1244
Phan,795
Phang,7
Phi,11
Phung,99
Phuong,18
Phàng,6
Phí,7
Phùng,92
Phương,15
Phạm,1137
Quach,36
Quan,9
Quang,37
Quàng,15
Quách,35
Ro,7
Ruan,10
Rơ,7
Sasaki,7
Shibata,8
Son,17
Song,38
Sung,70
Sùng,49
Sơn,16
Sồng,32
Ta,99
Takase,8
Tan,14
Tang,25
Tao,10
Thach,27
Thai,63
Than,13
Thang,7
Thanh,9
Thao,38
Thi,7
Thich,15
Thieu,6
Thào,25
Thái,53
Thân,11
Thích,11
Thạch,25
To,67
Ton,16
Tong,34
Tram,6
Tran,1890
Trang,52
Trieu,69
Trinh,175
Triệu,60
Truong,333
Tráng,28
Trương,302
Trần,1721
Trịnh,164
Tu,24
Tuan,7
Tòng,8
Tô,56
Tôn,14
Tăng,19
Tạ,90
Tẩn,9
Tống,26
Từ,13
U,6
Va,9
Van,33
Vang,61
Vi,105
Vo,374
Vu,636
Vuong,57
Vy,24
Và,8
Vàng,53
Võ,331
Văn,20
Vũ,539
Vương,55
Vừ,27
Xong,7
Xồng,7
Y,52
Ya,6
Âu,7
Đinh,258
Điểu,10
Đoàn,142
Đàm,42
Đào,177
Đậu,18
Đặng,360
Đồng,27
Đỗ,429
