name,frequency,place_type,place_category
Aapsta,1,river,stream
Abachagdara,1,mountain,elevation
Abakhvamtsa,1,populated place,populated place
Abanagdara,1,mountain,elevation
Abardra,1,mountain,elevation
Abats,1,mountain,elevation
Abatsy,1,mountain,elevation
Abgarkhuk,1,populated place,populated place
Abgarkhuk,1,hill,elevation
Abgauyera,1,populated place,populated place
Abgavera,1,populated place,populated place
Abgigdara,1,populated place,populated place
Abiehikva,1,river,stream
Ablukhvara,1,populated place,populated place
Abzhaaptra,1,populated place,populated place
Abzhaq’va,1,populated place,populated place
Ach’ak’va,1,populated place,populated place
Achadara,1,ridge,elevated area
Achadara,1,pass,depression
Achamkhara,1,ridge,elevated area
Achandara,1,populated place,populated place
Acharkete,1,populated place,populated place
Achavchar,1,pass,depression
Achbikhvdara,1,ridge,elevated area
Achibakh,1,mountain,elevation
Achibakh,1,mountains,elevated area
Achigvara,1,populated place,populated place
Achimezmakh,1,mountain,elevation
Achirkha,1,populated place,populated place
Achk’ats’a,1,populated place,populated place
Achmarda,1,mountain,elevation
Achmarda,1,ridge,elevated area
Achovchar,1,pass,depression
Adagua,1,mountain,elevation
Adange,1,river,stream
Adange,1,pass,depression
Aduada,1,mountain,elevation
Aduada-Adzish,1,lake,basin
Aduada-Adzysh,1,lake,basin
Aduyeda-Adzysh,1,lake,basin
Adzapsh,1,mountain,elevation
Adzgara,1,populated place,populated place
Adzghapsha,1,populated place,populated place
Adzhakhu,1,populated place,populated place
Adzhazhv,1,populated place,populated place
Adzhkhakhara,1,populated place,populated place
Adzhra,1,populated place,populated place
Adzhra,1,mountain,elevation
Adzibzhara,2,populated place,populated place
Adzigezh,1,populated place,populated place
Adzkhapsha,1,populated place,populated place
Adzlagara,1,populated place,populated place
Adzmakh,1,lake,basin
Adzubzha,1,populated place,populated place
Adzuru,1,river,stream
Adzusta,1,populated place,populated place
Adzvibzha,1,populated place,populated place
Adzydu,1,river,stream
Adzykva,1,river,stream
Adzykvara,1,river,stream
Adzyubzha,1,populated place,populated place
Afyushra-Khu,1,populated place,populated place
Agadara,1,pass,depression
Agbarkhuk,1,populated place,populated place
Agdara,1,populated place,populated place
Agepsta,1,river,stream
Aghmosavleti Gumist’a,1,river,stream
Aghmosavleti Gumista,1,river,stream
Aghurapsta,1,populated place,populated place
Aguaa,1,populated place,populated place
Agubedia,1,populated place,populated place
Agudzera,1,river,stream
Agudzery,1,populated place,populated place
Agura-Aresh’,1,river,stream
Aguribza,1,river,stream
Aguripsta,1,populated place,populated place
Agvakhvarakvara,1,river,stream
Agvavera,2,populated place,populated place
Aibga,2,populated place,populated place
Aimara,1,populated place,populated place
Aisrra,1,ridge,elevated area
Aït Lachleb,1,populated place,populated place
Ajkhakhara,1,populated place,populated place
Ajra,1,populated place,populated place
Ak’alamra,1,populated place,populated place
Ak’armara,1,populated place,populated place
Ak’udrokha,1,river,stream
Akapa,1,populated place,populated place
Akariya,1,river,stream
Akarmara,1,mountain,elevation
Akh-Babshira,1,hill,elevation
Akh-Bapshira,1,hill,elevation
Akhakhcha,1,mountain,elevation
Akhakulara,1,mountain,elevation
Akharuta,1,river,stream
Akhbyuk,1,mountain,elevation
Akheu,1,river,stream
Akhey,1,river,stream
Akhiblara,1,mountain,elevation
Akhiblara,1,ridge,elevated area
Akhipo,1,river,stream
Akhipo,1,mountain,elevation
Akhits,1,river,stream
Akhivaa,2,populated place,populated place
Akhsyrkhva,1,mountain,elevation
Akhsyrkhva,1,mountains,elevated area
Akhuaa,1,populated place,populated place
Akhuadzha,1,populated place,populated place
Akhupach,1,mountain,elevation
Akhuts,1,populated place,populated place
Akhuts’a,1,populated place,populated place
Akhutsa,1,populated place,populated place
Akhvadzha,1,populated place,populated place
Akhvakhu,1,ridge,elevated area
Akhyvaa,4,populated place,populated place
Akib,1,mountain,elevation
Akiba,3,mountain,elevation
Akiba,1,mountains,elevated area
Akibo,1,mountain,elevation
Akidra,1,populated place,populated place
Akuarchapan,1,populated place,populated place
Akuaskyamtsa,1,populated place,populated place
Akudrokha,1,river,stream
Akugra,1,mountain,elevation
Akvacha,1,populated place,populated place
Akvara,1,populated place,populated place
Akvara-Taba,1,river,stream
Akvarash,2,populated place,populated place
Akvarchapan,1,populated place,populated place
Akvarikva,1,river,stream
Akvarkva,1,river,stream
Akvaske,1,populated place,populated place
Akydra,1,populated place,populated place
Alahashkhu,1,populated place,populated place
Alakhadzy,1,populated place,populated place
Alakhtsiekva,1,mountain,elevation
Alapank’vara,1,populated place,populated place
Algyt,1,populated place,populated place
Alkopsta,1,river,stream
Alra,1,populated place,populated place
Ambara,1,mountain,elevation
Ambarikhuts’a,1,populated place,populated place
Amlar,1,mountain,elevation
Amlara,1,mountain,elevation
Amparaa,1,populated place,populated place
Amtkel,1,populated place,populated place
Amtkel,1,mountain,elevation
Amtkel,1,mountains,elevated area
Amtkel,1,lake,basin
Amtkel,1,pass,depression
Amtkhel,1,populated place,populated place
Amzara,2,populated place,populated place
Amzhulyara,1,mountain,elevation
Anakhomsta,1,river,stream
Anara,1,ridge,elevated area
Anchkha,1,mountain,elevation
Anchkha,1,pass,depression
Anchkho,1,mountain,elevation
Anchkho,1,pass,depression
Androu,1,populated place,populated place
Ankhashtuk,1,populated place,populated place
Ankhva,1,populated place,populated place
Anna,1,lake,basin
Antsykhara,1,river,stream
Anuaarkhu,1,populated place,populated place
Anukhva,1,populated place,populated place
Anykhapaara,1,mountain,elevation
Aosyrkhva,1,populated place,populated place
Apiancha,1,mountain,elevation
Apianda,1,mountain,elevation
