place_category,beginning
basin,Adu
depression,Ach
depression,Chamash
elevated area,Ach
elevated area,Akh
elevated area,Ash
elevation,Akh
elevation,Khi
elevation,Aba
elevation,Chi
elevation,Beb
elevation,Ach
elevation,Akib
elevation,Gumi
elevation,Shkhap
populated place,Ach
populated place,Bag
populated place,Dzh
populated place,Khu
populated place,Azh
populated place,Agu
populated place,Chi
populated place,Tsk
populated place,Ch’
populated place,Gva
populated place,Che
populated place,Ala
populated place,Ata
populated place,Arg
populated place,Gag
populated place,Gup
populated place,Och
populated place,Ts’
populated place,Khab
populated place,Adzh
populated place,Aras
populated place,Shua
populated place,Mami
populated place,Mugu
populated place,Abga
populated place,Nakh
populated place,Zhir
populated place,Akvar
populated place,Akhuts
stream,Bes
stream,Kho
stream,Akh
stream,Khi
stream,Cha
stream,Mar
stream,Agu
stream,Dzy
stream,Mts
stream,Tsi
stream,Skh
stream,Adzy
stream,Atse
stream,Gumi
stream,Gali
stream,Myus
stream,Shou
stream,Akvar
stream,Dzhan
stream,Lashi
