place_category,ending
depression,kha
elevated area,khu
elevated area,iba
elevated area,hara
elevated area,shkha
elevation,hra
elevation,khu
elevation,sha
elevation,zga
elevation,hta
elevation,akh
elevation,cha
elevation,khva
elevation,pach
elevation,skha
elevation,shka
elevation,lara
elevation,khara
elevation,pshira
elevation,ishkha
populated place,kha
populated place,sta
populated place,ava
populated place,dra
populated place,t’a
populated place,kva
populated place,rta
populated place,nta
populated place,huk
populated place,ida
populated place,ada
populated place,ish
populated place,luk
populated place,lou
populated place,aya
populated place,dzha
populated place,dara
populated place,mara
populated place,acha
populated place,alta
populated place,shta
populated place,ruta
populated place,itsa
populated place,bina
populated place,hira
populated place,kvara
populated place,ripsh
populated place,arche
populated place,zhara
populated place,avera
populated place,ubzha
populated place,rkhua
populated place,yrkhva
populated place,irkhva
populated place,aarkhu
populated place,k’vara
populated place,khvara
populated place,khuts’a
populated place,khakhara
stream,kha
stream,ysh
stream,zha
stream,rta
stream,pse
stream,cha
stream,hta
stream,aga
stream,zga
stream,ora
stream,ish
stream,ach
stream,t’a
stream,psta
stream,hara
stream,ikva
stream,amba
stream,uara
stream,geta
stream,mista
stream,ripsh
stream,harka
stream,ikvara
stream,akvara
stream,ripsha
stream,k’vara
stream,shkvara
