name,frequency,place_type,place_category
Abaran,1,river,stream
Abasalich,1,spring,stream
Abasatsmak,1,rock,elevation
Abrahami,2,spring,stream
Ach’ik,1,populated place,populated place
Ach’k’i P’os,1,spring,stream
Achanan,1,river,stream
Acharkut,1,populated place,populated place
Achkhlu,1,populated place,populated place
Achpach,1,populated place,populated place
Adama,1,spring,stream
Adamkhan,1,populated place,populated place
Adzetun,1,populated place,populated place
AdZhilu,1,populated place,populated place
Agarak,8,populated place,populated place
Agarakaglukh,1,mountain,elevation
Agarakajur,1,river,stream
Agavnatun,1,populated place,populated place
Agbuga,1,river,stream
Agdzhigain,1,mountain,elevation
Ağexuş,1,populated place,populated place
Aghajanyani,1,populated place,populated place
Aghak’ar,1,river,stream
Aghandzuget,1,river,stream
Aghavnak’ar,1,rock,elevation
Aghberik’,1,river,stream
Aghbraver,1,populated place,populated place
Aghbyurner,3,spring,stream
Aghbyurov,1,mountain,elevation
Aghdzvan,2,populated place,populated place
Aghelich,1,populated place,populated place
Aghiaghbyur,2,spring,stream
Aghijur,3,spring,stream
Aghin,1,populated place,populated place
Aghk’ar,1,hill,elevation
Aghot’ak’ar,1,mountain,elevation
Aghot’ak’ari,1,mountains,elevated area
Aghot’asar,1,mountain,elevation
Aghot’its’,1,spring,stream
Aghstafa,1,river,stream
Aghstev,2,river,stream
Aghudi,1,populated place,populated place
Aghvesasar,1,mountain,elevation
Agmagan,1,mountain,elevation
Agoyi,1,spring,stream
Agvani,1,populated place,populated place
Ajajur,1,mountain,elevation
Ajakon,1,populated place,populated place
Ajaraj,1,populated place,populated place
Ajaran,1,populated place,populated place
Akhkikhli,1,populated place,populated place
Akhkikhlu,1,populated place,populated place
Akhlat’yan,1,populated place,populated place
Akhuryan Kayaranin Kits’,1,populated place,populated place
Akna,1,lake,basin
Aknaglukh,1,spring,stream
Aknajur,1,river,stream
Aknalich,1,populated place,populated place
Akner,3,populated place,populated place
Aknut,1,spring,stream
Al Lich,1,lake,basin
Alagez Peak,1,mountain,elevation
Alagyoz Lerrnagagat’,1,mountain,elevation
Alatala,1,populated place,populated place
Alavar,1,populated place,populated place
