name,place_category,frequency
Abaran,stream,1
Abasalich,stream,1
Abasatsmak,elevation,1
Abrahami,stream,2
Achanan,stream,1
Acharkut,populated place,1
Achin,populated place,1
Achkhlu,populated place,1
Achpach,populated place,1
Ach’ik,populated place,1
Ach’k’i P’os,stream,1
Adama,stream,1
Adamkhan,populated place,1
Adzetun,populated place,1
Adzhilu,populated place,1
Agarak,populated place,8
Agarakaglukh,elevation,1
Agarakajur,stream,1
Agavnatun,populated place,1
Agbuga,stream,1
Agdzhigain,elevation,1
Aghajanyani,populated place,1
Aghak’ar,stream,1
Aghandzuget,stream,1
Aghavnak’ar,elevation,1
Aghberik’,stream,1
Aghbraver,populated place,1
Aghbyurov,elevation,1
Aghdzvan,populated place,2
Aghelich,populated place,1
Aghiaghbyur,stream,2
Aghijur,stream,3
Aghin,populated place,2
Aghk’ar,elevation,1
Aghot’ak’ar,elevation,1
Aghot’ak’ari,elevated area,1
Aghot’asar,elevation,1
Aghot’its’,stream,1
Aghstafa,stream,1
Aghstev,stream,2
Aghudi,populated place,1
Aghvesasar,elevation,1
Agmagan,elevation,1
Agoyi,stream,1
Agvani,populated place,1
Ajajur,elevation,1
Ajakon,populated place,1
Ajaraj,populated place,1
Ajaran,populated place,1
Akhkikhli,populated place,1
Akhkikhlu,populated place,1
Akhlat’yan,populated place,1
Akhuryan Kayaranin Kits’,populated place,1
Akna,basin,1
Aknaglukh,stream,1
Aknajur,stream,1
Aknalich,populated place,1
Akner,populated place,3
Aknut,stream,1
Al,basin,1
Alagez Peak,elevation,1
Alagyoz,elevation,1
Alatala,populated place,1
Alavar,populated place,1
Alaverdi,populated place,1
Aldzor,stream,1
Aldzori,stream,1
Alibek,elevation,1
Alishan,populated place,1
Alsar,elevation,1
Amarran,populated place,1
Amarranots’i,stream,1
Amarrich,elevation,2
Amarrnots’i,stream,2
Amasia,populated place,2
Amasiya,populated place,2
Amberdasar,elevation,1
Amodzh,populated place,1
Amrots’,populated place,1
Amul,populated place,1
And,populated place,1
Andraniki,populated place,1
Andzavaghbyur,stream,2
Andzavajur,stream,3
Andzavak’ar,elevation,1
Angghajur,stream,1
Ankank’,stream,1
Ankavan,populated place,1
Antak,basin,1
Antarrashen,populated place,1
Antarri Tak,basin,1
Antarrut,elevation,1
Apanayi Drunk’,elevated area,1
Aparan Verin,populated place,1
Apastan,elevation,1
Apaven,populated place,1
Apuni,populated place,1
Arabkiri,populated place,1
Aragats,elevation,1
Aragats,populated place,4
Aragatsotn,populated place,2
Araget,stream,2
Aragyugh,populated place,1
Arak’s,populated place,3
Aramazd,elevation,1
Aramusidik,elevation,1
Arapar,elevation,1
Arates,populated place,1
Arayi,stream,1
Archis,populated place,1
Ardar Davit’,populated place,1
Ardech’,populated place,1
Ardenyats’,elevation,1
Ardıcsuyu,stream,1
Are,populated place,1
Areni,populated place,2
Arev,elevation,1
Arevak’ar,elevation,1
Arevashat,populated place,1
Arevelyan Sevani,elevated area,1
Argavand,populated place,3
Argvik,populated place,1
Arin,populated place,1
Arindzih,populated place,1
Arjadzori,elevated area,1
Arjaghbyur,stream,2
Arjanots’,elevated area,1
Arjeri,elevation,1
Arji,elevation,1
Arjovit,populated place,1
Arjuti,elevated area,1
Ark’ayanist,stream,1
Ark’ayits’,populated place,1
Armaviri,elevation,1
Armenaki,stream,3
Armin,basin,1
Armok’,populated place,1
Armutlu,populated place,2
Arosaget,stream,1
Arpavar,populated place,2
Arp’eni,populated place,1
Arp’i,stream,2
Arp’ilerr,elevation,1
Arrak’elots’,populated place,1
Arrap’ii,populated place,1
Arrvaglkhi,stream,1
Arryutsaver,populated place,1
Arshaki,stream,2
Artagers,populated place,1
