place_category,ending
basin,oyi
basin,eri
basin,alich
elevated area,ari
elevated area,ats’
elevation,oyi
elevation,tar
elevation,arr
elevation,ats
elevation,nk’
elevation,ik’
elevation,egh
elevation,aki
elevation,ap’
elevation,ver
elevation,ats’
elevation,isar
elevation,akan
elevation,lanj
elevation,ablur
elevation,aberd
elevation,hasar
elevation,tasar
elevation,nots’
elevation, Mets
elevation,rasar
elevation,vasar
elevation,ants’
elevation,t’asar
elevation,aglukh
elevation,anasar
elevation,vak’ar
elevation,rak’ar
populated place,yan
populated place,ari
populated place,han
populated place,rlu
populated place,kut
populated place,alu
populated place,hut
populated place,oyi
populated place,tan
populated place,hin
populated place,uni
populated place,ner
populated place,var
populated place,and
populated place,rin
populated place,lar
populated place,pat
populated place,akh
populated place,ukh
populated place,tak
populated place,ik’
populated place,ash
populated place,rut
populated place,ian
populated place,eri
populated place,nik
populated place,k’i
populated place,nli
populated place,kan
populated place,zlu
populated place,ank
populated place,bak
populated place,eni
populated place,it’
populated place,rak
populated place,ali
populated place,’ik
populated place,aver
populated place,k’ar
populated place,asar
populated place,asht
populated place,jani
populated place,ovit
populated place,eghi
populated place,anlu
populated place,aran
populated place,tavan
populated place,ategh
populated place,akhlu
populated place,kavan
populated place,ashat
populated place,gyugh
populated place,akert
populated place,ents’
populated place,natun
populated place,aberd
populated place,nots’
populated place,rashen
populated place,avank’
populated place,kadzor
populated place,ats’at
populated place,aghbyur
populated place,akhpyur
stream,ner
stream,uti
stream,iki
stream,akn
stream,shi
stream,k’i
stream,rri
stream,p’i
stream,ik’
stream,ghi
stream,neri
stream,loyi
stream,haki
stream,rayi
stream,goyi
stream,vani
stream,royi
stream,lkhi
stream,ants’
stream,kajur
stream,dzori
stream,k’ari
stream,idzor
stream,rajur
stream,raget
stream,’adzor
stream,akunk’
stream,knajur
stream,nots’i
stream,taghbyur
stream,naghbyur
stream,zaghbyur
stream,rrch’yrr
stream,haghbyur
stream,vaghbyur
stream,rraghbyur
stream,tsaghbyur
