place_category,separate_beginning,frequency
basin,<NONE>,52
elevated area,<NONE>,22
elevation,<NONE>,273
stream,<NONE>,431
populated place,<NONE>,567
elevation,Arami,2
stream,Dzori,2
populated place,Hin,5
elevation,Karmir,4
stream,Karmir,4
populated place,Karmir,3
stream,Khach’i,2
populated place,Khach’i,3
stream,K’ari,3
populated place,Mets,3
elevation,Mets,9
stream,Mets,2
populated place,Nerkin,5
populated place,Nerk’evi,2
populated place,Nerk’in,3
populated place,Nor,12
populated place,P’ok’r,5
elevation,P’ok’r,3
populated place,Srbi,2
populated place,Surb,5
populated place,T’ukh,16
elevation,Uch,2
populated place,Verin,10
