place_category,separate_ending,frequency
basin,<NONE>,52
populated place,<NONE>,567
stream,<NONE>,431
elevated area,<NONE>,22
elevation,<NONE>,273
stream,Aghbyur,3
stream,Aghbyurner,2
stream,Arru,3
stream,Arti,2
stream,Ch’rrik,3
elevation,Dar,3
populated place,Dzhrashen,2
stream,Dzori,4
stream,Glukh,2
populated place,Gomer,2
populated place,Gyugh,2
stream,Jur,4
populated place,Khach’,5
elevation,Khut’,3
populated place,Kyank’,3
elevation,K’ar,9
elevation,K’arablur,2
stream,K’ari,4
populated place,Lanj,2
elevation,Lanj,2
elevation,Lerr,22
elevation,Lerrnagagat’,7
depression,Lerrnants’k’,2
elevated area,Lerrnashght’a,11
elevated area,Lerrner,2
basin,Lich,6
populated place,Mant’ash,2
populated place,Manuk,16
populated place,Mazra,2
stream,Nav,2
elevation,Sar,9
populated place,Sargis,3
stream,Srbi,2
populated place,Surb,5
stream,Taki,3
elevation,Tapalyar,2
populated place,Tsarr,3
populated place,Vank’,2
populated place,Vran,3
