place_category,beginning
elevated area,Tal
elevation,Can
elevation,Daş
elevation,Gül
elevation,Qır
elevation,Kəl
elevation,Kəm
elevation,Göy
elevation,Tək
elevation,Sul
elevation,Keç
elevation,Kir
elevation,Ağa
elevation,Qara
elevation,Qala
elevation,Dəvə
elevation,Qata
elevation,Dəli
elevation,Qurd
elevation,Sarı
elevation,Baba
elevation,Qızıl
elevation,Böyük
elevation,Kömür
populated place,Mir
populated place,Sar
populated place,Pir
populated place,Bur
populated place,Gam
populated place,Daş
populated place,Xan
populated place,Bil
populated place,Dəl
populated place,Shi
populated place,Dag
populated place,Agd
populated place,Sho
populated place,Sor
populated place,Sey
populated place,Das
populated place,Ala
populated place,Ata
populated place,Sal
populated place,Gir
populated place,Yem
populated place,Sel
populated place,Kas
populated place,Mus
populated place,Şah
populated place,Yen
populated place,Mor
populated place,Kel
populated place,Sər
populated place,She
populated place,Gha
populated place,Aga
populated place,Göy
populated place,Bab
populated place,Gül
populated place,Dyu
populated place,Kya
populated place,Dzha
populated place,Kyur
populated place,Char
populated place,Qara
populated place,Gyun
populated place,Mura
populated place,Qala
populated place,Shak
populated place,Kola
populated place,Tyul
populated place,Gend
populated place,Mash
populated place,Kala
populated place,Arab
populated place,Bada
populated place,Alya
populated place,Bala
populated place,Dzho
populated place,Moll
populated place,Karak
populated place,Keshk
populated place,Khana
populated place,Gadzhy
populated place,Gadzhi
populated place,Lyalya
stream,Sha
stream,Cha
stream,Gil
stream,Qur
stream,Ara
stream,Tur
stream,Kur
stream,Akh
stream,Daş
stream,Gur
stream,Ali
stream,Ala
stream,Qoş
stream,Çay
stream,Şor
stream,Kyu
stream,Lək
stream,Bar
stream,Ağs
stream,Bol
stream,Shi
stream,Sey
stream,Sər
stream,Bal
stream,Kəl
stream,Qara
stream,Dzha
stream,Kara
stream,Pirs
stream,Khal
stream,Muru
stream,Geran
stream,Buzlu
