name,place_category,frequency
 Shakhnazarli,populated place,1
Abil Chala,basin,1
Achera,stream,1
Acıdərəsu,stream,2
Acıqan,elevation,1
Acıçay Tudar,stream,1
Adamöldürən,stream,1
Adigozalbegly,populated place,1
Adinabāzār,stream,1
Adsız Burun,convex shoreline,1
Adurçay,stream,1
Adzhisu,stream,2
Adzhkhur,populated place,1
Aga,stream,1
Aga Mamedly,populated place,1
Agaragimoba,populated place,1
Agarkh,populated place,1
Agbashlar,populated place,1
Agdaban,populated place,1
Agdabanchay,stream,1
Agdasch,populated place,1
Agderechay,stream,1
Agdzhakend,populated place,4
Agdzhakovakh,populated place,1
Aghbis,elevation,1
Aghch’ay,stream,1
Aghdaban,populated place,1
Aglykchay,stream,1
Agoglanchay,stream,1
Agsu,stream,1
Ahohçay,stream,1
Aja Kabul,populated place,1
Akdere,populated place,1
Akera,stream,1
Akhbulakchay,stream,1
Akhdzha Kashun,stream,1
Akhmedly,stream,1
Akhtachy Karabudzhak,populated place,1
Akhyndzhachay,stream,1
Akkend,populated place,1
Akssidara,stream,1
Akulis,populated place,1
Akulischay,stream,1
Akuşapeştə,populated place,1
Ala Bekly,populated place,1
Alagëzmazra,populated place,1
Alasha,stream,1
Alazalin,populated place,1
Alazani,stream,1
Alazan’,stream,1
Aldzhigan,stream,1
Alidzhanchay,stream,2
Alidzhiganchay,stream,1
Alindzhachay,stream,1
Alishanly,populated place,1
Alisher,populated place,1
Alkhanly,populated place,1
Alkhasly,populated place,1
Allychay,stream,1
Almaband,elevation,1
Almalıdağ,elevation,2
Alpan,populated place,1
Alpaşa,elevation,1
Altıağac,elevation,1
Alyakcha,stream,1
Alyak’chi,populated place,1
Alyat Pristan’,populated place,1
Alyaz,populated place,1
Amirabdzhan,populated place,1
Anabadgədik,elevation,1
Anbarçay,stream,1
Andamich,populated place,1
Aquşa,stream,2
Arab Kubali,populated place,1
Arabkadim,populated place,1
Arabkaradagly,populated place,1
Aragchay,stream,1
Aral Pervyy,populated place,1
Aran,stream,1
Aranzəmin,populated place,1
Araxes,stream,1
Araz,stream,1
Archevan’,populated place,1
Ardağ,elevated area,1
Armudlu,elevation,1
Arpadağları,elevated area,2
Arpaçay,populated place,1
Arrak’el,populated place,1
Arsar,elevated area,1
Arshaly,populated place,1
Arvərazçay,stream,1
Arygdam,populated place,1
Arğalı,stream,1
Arıqlısuyu,stream,1
Arıqçay,stream,1
Aschurly,populated place,1
Ash Kushchu,populated place,1
Ashurli,populated place,1
Askipara,stream,1
Asmaçay,stream,1
Astara,stream,1
Astarachay,stream,1
Atabəy,populated place,1
Atakhal,populated place,1
Atakishily,populated place,1
Ataqqutçay,stream,1
Atdağ,elevation,1
Avaran,populated place,1
Avaranqışlaq,populated place,1
Avaxılçay,stream,1
Avunchay,stream,1
Avush,populated place,1
Avşar,populated place,1
Axarbaxar,elevation,1
Axaxdərə,populated place,1
Axınca,stream,1
Aydynbulag,populated place,1
Aydıngün,populated place,1
Aydınlarçay,stream,1
Aygek,populated place,1
Ayybazar,populated place,1
Ayyply,populated place,1
Ayçınqıllı,depression,1
Ayıçınqıl,elevation,1
Ayıçınqıllı,depression,1
Aza,populated place,1
Azgəlindağ,elevation,1
Azokh,populated place,2
Ağ Burun,elevation,1
Ağacyeri,elevation,1
Ağalı,populated place,1
Ağasovqat,elevation,1
Ağası,elevation,1
Ağbaba,elevation,1
Ağbulaq,stream,8
Ağcaqaya,elevation,1
Ağcayazı,elevation,1
Ağdaş,elevation,2
Ağduzdağ,elevation,1
Ağgöl,basin,1
Ağkeşçay,stream,1
Ağköynək,populated place,1
Ağlıqçay,stream,1
Ağqayaçay,stream,1
Ağstafa,stream,1
Ağsu,stream,2
Ağsuçay,stream,1
Ağtəpə,elevation,1
Ağzıbirçala,basin,1
Ağçuxurçay,stream,1
Ağçınqıldağ,elevation,1
Baba,stream,1
Baba Sanan,elevation,1
Babachay,stream,1
Babadağ,depression,1
Babakücə,elevation,1
Babaqar,elevation,1
Babashlar,populated place,1
Babekskiy,populated place,1
Babək,populated place,1
Badachay,stream,1
