place_category,ending
basin,göl
basin,nohur
elevated area,dağ
elevated area,aya
elevation,daş
elevation,ncə
elevation,yal
elevation,anı
elevation,sər
elevation,qar
elevation,xan
elevation,urd
elevation,baş
elevation,alı
elevation,ldağ
elevation,adağ
elevation,aran
elevation,rdağ
elevation,band
elevation,mdağ
elevation,zdağ
elevation,kdağ
elevation,şdağ
elevation,ədağ
elevation,arlı
elevation,andağ
elevation,əbaşı
elevation,gədik
elevation,lıdağ
elevation,ınqaya
elevation,qalası
elevation,əlidağ
elevation,lutəpə
elevation,antəpə
populated place,lər
populated place,han
populated place,yly
populated place,əli
populated place,nli
populated place,bad
populated place,rly
populated place,chi
populated place,lan
populated place,ala
populated place,ali
populated place,man
populated place,ady
populated place,tly
populated place,zli
populated place,rik
populated place,ily
populated place,eri
populated place,ukh
populated place,lli
populated place,ush
populated place,yuk
populated place,gov
populated place,agh
populated place,ach
populated place,rat
populated place,ara
populated place,çay
populated place,ary
populated place,yat
populated place,kli
populated place,agi
populated place,sar
populated place,llu
populated place,ili
populated place,lyar
populated place,kənd
populated place,dere
populated place,binə
populated place,ally
populated place,khly
populated place,koba
populated place,aran
populated place,alar
populated place,ırlı
populated place,irli
populated place,hlar
populated place,dərə
populated place,agly
populated place,azar
populated place,edli
populated place,ğalı
populated place,doba
populated place,haly
populated place,bina
populated place,vend
populated place,apat
populated place,nlar
populated place,noba
populated place,bəyli
populated place,sanly
populated place,manly
populated place,ikend
populated place,gyakh
populated place,manlı
populated place,khanly
populated place,alylar
populated place,qışlaq
populated place,hbeyli
populated place,kyshlak
stream,ara
stream,hun
stream,ran
stream,ykh
stream,era
stream,gin
stream,yar
stream,rsu
stream,lan
stream,ryu
stream,dərə
stream,dçay
stream,tçay
stream,şçay
stream,qobu
stream,dzha
stream,xçay
stream,üçay
stream,dere
stream,yçay
stream,ajur
stream,udar
stream,arçay
stream,uchay
stream,lıçay
stream,urçay
stream,ərçay
stream,ch’ay
stream,hchay
stream,əkçay
stream,çiçay
stream,irçay
stream,urmaz
stream,umçay
stream,isçay
stream,aqçay
stream,anchay
stream,lichay
stream,archay
stream,alchay
stream,ybulaq
stream,uruçay
stream,əliçay
stream,dançay
stream,araçay
stream,abulaq
stream,lıqçay
stream,lychay
stream,urchay
stream,yançay
stream,rbulaq
stream,l’chay
stream,ukchay
stream,gilçay
stream,dərəçay
stream,arachay
stream,alachay
stream,ndzhachay
