name,frequency,place_type,place_category
Abadiano,1,populated place,populated place
Abadiano Celayeta,1,populated place,populated place
Abalcisqueta,1,populated place,populated place
Abechuco,1,populated place,populated place
Abecia,1,populated place,populated place
Aberásturi,1,populated place,populated place
Abornícano,1,populated place,populated place
Abra de Bilbao,1,bay,concave shoreline
Acorda,2,populated place,populated place
Adana,1,populated place,populated place
Aduna,1,populated place,populated place
Aeta,1,populated place,populated place
Agarre,1,populated place,populated place
Aguinaga,3,populated place,populated place
Ahedo,1,populated place,populated place
Aitlluitz,1,peak,elevation
Aitzarte,1,populated place,populated place
Aitze,1,populated place,populated place
Aitzgorri,1,peak,elevation
Aizarna,1,populated place,populated place
Aizarnazábal,1,populated place,populated place
Aizpe-goicoechea,1,populated place,populated place
Aizpurucho,1,populated place,populated place
Alácano,1,populated place,populated place
Alaizo,1,populated place,populated place
Albéniz,1,populated place,populated place
Albiz,1,populated place,populated place
Albiztur,1,populated place,populated place
Albóniga,1,populated place,populated place
Alcedo,1,populated place,populated place
Alcibar,2,populated place,populated place
Alda,1,populated place,populated place
Aldaba,1,populated place,populated place
Aldaba-chiqui,1,populated place,populated place
Aldaca,1,populated place,populated place
Aldape,1,populated place,populated place
Aldeacueva,1,populated place,populated place
Alecha,1,populated place,populated place
Alegría,2,populated place,populated place
Alegría de Oria,1,populated place,populated place
Alén,1,populated place,populated place
Algorta,1,populated place,populated place
Ali,1,populated place,populated place
Allende,1,populated place,populated place
Allona,1,populated place,populated place
Aloria,1,populated place,populated place
Alsusta,1,populated place,populated place
Altamira,1,populated place,populated place
Alto de Bitigarra,1,peak,elevation
Alto de Yermanda,1,hill,elevation
Alzagate,1,populated place,populated place
Alzo,1,populated place,populated place
Alzo de Arriba,1,populated place,populated place
Alzusta,1,populated place,populated place
Amárita,1,populated place,populated place
Amasa,1,populated place,populated place
Amavizcar,1,populated place,populated place
Amboto,1,ridge,elevated area
Amez,1,populated place,populated place
Amézola,1,populated place,populated place
Amézqueta,1,populated place,populated place
Amorebiela,1,populated place,populated place
Amorebieta,1,populated place,populated place
Amorevieta,1,populated place,populated place
Anaca,1,populated place,populated place
Anda,1,populated place,populated place
Andagoya,1,populated place,populated place
Andicona,1,populated place,populated place
Andicona-Elizondo,1,populated place,populated place
Andoain,1,populated place,populated place
Andoín,1,populated place,populated place
Andollu,1,populated place,populated place
Andracas,1,populated place,populated place
Andrada María de Meñacabarrena,1,populated place,populated place
Andramari,1,populated place,populated place
Andutz,1,peak,elevation
Anduz,1,peak,elevation
Añés,1,populated place,populated place
Anguiozar,1,populated place,populated place
Anorga,1,populated place,populated place
Añorga-Lugariz,1,populated place,populated place
Anteparaluceta,1,populated place,populated place
Antezana,1,populated place,populated place
Antezana de Álava,1,populated place,populated place
Antezana de la Ribera,1,populated place,populated place
Antías,1,populated place,populated place
Añua,1,populated place,populated place
Anuncibay,1,populated place,populated place
Anzuola,1,populated place,populated place
Aozaraza,1,populated place,populated place
Aozo,1,populated place,populated place
Apérregui,1,populated place,populated place
Apózaga,1,populated place,populated place
Aprícano,1,populated place,populated place
Arabuste,1,populated place,populated place
Aracaldo,1,populated place,populated place
Arama,1,populated place,populated place
Arana,2,populated place,populated place
Aranguren,2,populated place,populated place
Aránzazu Celaya,1,populated place,populated place
Araoz,1,populated place,populated place
Aratz-Machinventa,1,populated place,populated place
Araya,1,populated place,populated place
Arbácegui,1,populated place,populated place
Arbaiza,1,populated place,populated place
Arbóliz,1,populated place,populated place
Arbulo,1,populated place,populated place
Arcarazo,1,populated place,populated place
Arcaule,1,populated place,populated place
Arcaute,1,populated place,populated place
Arcaya,1,populated place,populated place
Arce,1,populated place,populated place
Arceniega,1,populated place,populated place
Arciniega,1,populated place,populated place
Arcocha,2,populated place,populated place
Arditurre,1,populated place,populated place
Arechalde,1,populated place,populated place
Arechavaleta,2,populated place,populated place
Areitio,1,populated place,populated place
Aréjola,1,populated place,populated place
Arenaza,1,populated place,populated place
Aresti,1,populated place,populated place
Areta,1,populated place,populated place
Argandoña,1,populated place,populated place
Aríñez,1,populated place,populated place
Aritzalde,1,populated place,populated place
Arizgoiti,1,populated place,populated place
Arlucea,1,populated place,populated place
Armentia,1,populated place,populated place
Arminza,1,populated place,populated place
Arosteguieta,1,populated place,populated place
Arraibi,1,populated place,populated place
Arrázola,1,populated place,populated place
Arriaga,2,populated place,populated place
Arriarán,1,populated place,populated place
Arrielas,1,populated place,populated place
Arrieta,1,populated place,populated place
Arrietas,1,populated place,populated place
Arrigorriaga,1,populated place,populated place
Arrigunaga,1,populated place,populated place
Arriquibar,1,populated place,populated place
Arriquivar,1,populated place,populated place
Arrízala,1,populated place,populated place
Arrona,1,populated place,populated place
Arronátegui,1,populated place,populated place
Arrondoa,1,populated place,populated place
Arróyabe,1,populated place,populated place
Arta,1,populated place,populated place
Artaza,1,populated place,populated place
Artecalle,1,populated place,populated place
Articas,1,populated place,populated place
Artigas,1,populated place,populated place
Artiturri,1,populated place,populated place
Arzalde,1,populated place,populated place
Arzuaga,1,populated place,populated place
Arzubiaga,1,populated place,populated place
Ascarza,1,populated place,populated place
Aspárrena,1,populated place,populated place
Aspuru,1,populated place,populated place
Asteasu,1,populated place,populated place
Astelarra,1,populated place,populated place
Asterrica,1,populated place,populated place
Astigarraga,1,populated place,populated place
Astigarreta,1,populated place,populated place
Astóviza,1,populated place,populated place
Astrabudúa,1,populated place,populated place
Astúlez,1,populated place,populated place
Ataun,1,populated place,populated place
Atauri,1,populated place,populated place
Audícana,1,populated place,populated place
Aulestia,1,populated place,populated place
Auzochiquia,1,populated place,populated place
Avellaneda,1,populated place,populated place
Avellaneda-Sopuerta,1,populated place,populated place
Axpe,1,populated place,populated place
Axpe de Busturia,1,populated place,populated place
Aya,2,populated place,populated place
Ayarza,1,populated place,populated place
Ayazaza,1,populated place,populated place
Azáceta,1,populated place,populated place
Azcaray,1,populated place,populated place
Azcoaga,1,populated place,populated place
Azpeitia,1,populated place,populated place
Azquizu,1,populated place,populated place
Aztiria,1,populated place,populated place
Bachícabo,1,populated place,populated place
Baguio,1,populated place,populated place
Baliarrain,1,populated place,populated place
Bancha del E,1,bank,underwater elevation
Bancha del W,1,bank,underwater elevation
Baquio,1,populated place,populated place
Baracaldo,1,populated place,populated place
Barambio,1,populated place,populated place
Bareño,1,populated place,populated place
Barinaga,1,populated place,populated place
Baroja,1,populated place,populated place
Barrencalle,1,populated place,populated place
Barreneches,1,populated place,populated place
Barrio,1,populated place,populated place
Barriobusto,1,populated place,populated place
Barroeta,1,populated place,populated place
Barrón,1,populated place,populated place
Basabe,1,populated place,populated place
Basauri,1,populated place,populated place
Basecheas,1,populated place,populated place
Basechetas,1,populated place,populated place
Basigo de Baguio,1,populated place,populated place
Basozábal,2,populated place,populated place
Beasain,1,populated place,populated place
Beci,1,populated place,populated place
Bedarona,1,populated place,populated place
Bedoña,1,populated place,populated place
Behobia,1,populated place,populated place
Behovia,1,populated place,populated place
Beirotza,1,populated place,populated place
Belandia,1,populated place,populated place
Belarrinaga,1,populated place,populated place
Belaunza,1,populated place,populated place
Belunza,1,populated place,populated place
Bengoeche,1,populated place,populated place
Bengoeche-Aperribay,1,populated place,populated place
Beótegui,1,populated place,populated place
Berango,1,populated place,populated place
Berantevilla,1,populated place,populated place
Beráscola,1,populated place,populated place
Beraza,1,populated place,populated place
Berganzo,1,populated place,populated place
Bergüenda,1,populated place,populated place
Bermeo,1,populated place,populated place
Berna,1,populated place,populated place
Bernagoilía,1,populated place,populated place
Bernagoitia,1,populated place,populated place
