name,place_category,frequency
Abadiano,populated place,1
Abadiano Celayeta,populated place,1
Abajo,populated place,1
Abalcisqueta,populated place,1
Abechuco,populated place,1
Abecia,populated place,1
Aberásturi,populated place,1
Abornícano,populated place,1
Abra de,concave shoreline,1
Acorda,populated place,2
Adana,populated place,1
Adarra,elevation,1
Aduna,populated place,1
Aeta,populated place,1
Agarre,populated place,1
Aguinaga,populated place,3
Agustín,populated place,1
Ahedo,populated place,1
Aitlluitz,elevation,1
Aitzarte,populated place,1
Aitze,populated place,1
Aitzgorri,elevation,1
Aizarna,populated place,1
Aizarnazábal,populated place,1
Aizlandi,convex shoreline,1
Aizpe-goicoechea,populated place,1
Aizpurucho,populated place,1
Aiztandi,convex shoreline,1
Aketx,island,1
Alaizo,populated place,1
Albiz,populated place,1
Albiztur,populated place,1
Albéniz,populated place,1
Albóniga,populated place,1
Alcedo,populated place,1
Alcibar,populated place,2
Alcolea,convex shoreline,1
Alda,populated place,1
Aldaba,populated place,1
Aldaba-chiqui,populated place,1
Aldaca,populated place,1
Aldape,populated place,1
Aldeacueva,populated place,1
Aldura,elevation,1
Alecha,populated place,1
Alegría,populated place,2
Alegría de,populated place,1
Algorta,populated place,1
Ali,populated place,1
Allende,populated place,1
Allona,populated place,1
Aloria,populated place,1
Alsusta,populated place,1
Altamira,populated place,1
Alzagate,populated place,1
Alzo,populated place,1
Alzo de,populated place,1
Alzusta,populated place,1
Alácano,populated place,1
Alén,populated place,1
Amasa,populated place,1
Amavizcar,populated place,1
Amboto,elevated area,1
Amez,populated place,1
Amorebiela,populated place,1
Amorebieta,populated place,1
Amorebieta,stream,1
Amorevieta,populated place,1
Amute,stream,1
Amárita,populated place,1
Amézola,populated place,1
Amézqueta,populated place,1
Ana,populated place,1
Ana de Bolueta,populated place,1
Anaca,populated place,1
Anda,populated place,1
Andagoya,populated place,1
Andicona,populated place,1
Andicona-Elizondo,populated place,1
Andoain,populated place,1
Andollu,populated place,1
Andoín,populated place,1
Andracas,populated place,1
Andrada María de Meñacabarrena,populated place,1
Andramari,populated place,1
Andrés,populated place,2
Andrés de Echebarria,populated place,1
Andutz,elevation,1
Anduz,elevation,1
Anguiozar,populated place,1
Anorga,populated place,1
Anteparaluceta,populated place,1
Antezana,populated place,1
Antías,populated place,1
Anuncibay,populated place,1
Anzuola,populated place,1
Aozaraza,populated place,1
Aozo,populated place,1
Aprícano,populated place,1
Apérregui,populated place,1
Apózaga,populated place,1
Aqueche,island,1
Arabuste,populated place,1
Aracaldo,populated place,1
Arama,populated place,1
Arana,populated place,2
Arando Chico,convex shoreline,1
Arando Grande,convex shoreline,1
Aranguren,populated place,2
Araoz,populated place,1
Aratz-Machinventa,populated place,1
Araxes,stream,1
Araya,populated place,1
Arbaiza,populated place,1
Arboleda,populated place,1
Arbulo,populated place,1
Arbácegui,populated place,1
Arbóliz,populated place,1
Arcarazo,populated place,1
Arcaule,populated place,1
Arcaute,populated place,1
Arcaya,populated place,1
Arce,populated place,1
Arceniega,populated place,1
Arceniega,stream,1
Arciniega,populated place,1
Arciniega,stream,1
Arcocha,populated place,2
Arditurre,populated place,1
Arechalde,populated place,1
Arechavaleta,populated place,2
Areitio,populated place,1
Arena,populated place,1
Arenas,populated place,1
Arenaza,populated place,1
Aresti,populated place,1
Areta,populated place,1
Argandoña,populated place,1
Aritzalde,populated place,1
Arizgoiti,populated place,1
Arlucea,populated place,1
Armentia,populated place,1
Arminza,populated place,1
Arosteguieta,populated place,1
Arraibi,populated place,1
Arrausia,stream,1
Arriaga,populated place,2
Arriarán,populated place,1
Arriba,populated place,1
Arrielas,populated place,1
Arrieta,populated place,1
Arrietas,populated place,1
Arrigorriaga,populated place,1
Arrigunaga,populated place,1
Arrilabán,convex shoreline,1
Arriquibar,populated place,1
Arriquivar,populated place,1
Arrona,populated place,1
Arrondoa,populated place,1
Arronátegui,populated place,1
Arrázola,populated place,1
Arrízala,populated place,1
Arróyabe,populated place,1
Arta,populated place,1
Artaza,populated place,1
Artecalle,populated place,1
Artibay,stream,1
Articas,populated place,1
Artigas,populated place,1
Artiturri,populated place,1
Arzalde,populated place,1
Arzuaga,populated place,1
Arzubiaga,populated place,1
Aránzazu Celaya,populated place,1
Aréjola,populated place,1
Aríñez,populated place,1
Asaldita,elevation,1
Ascarza,populated place,1
Aspuru,populated place,1
Aspárrena,populated place,1
Asteasu,populated place,1
Astelarra,populated place,1
Asterrica,populated place,1
Astigarraga,populated place,1
Astigarreta,populated place,1
Astrabudúa,populated place,1
Astóviza,populated place,1
Astúlez,populated place,1
Asúa,stream,1
Ataun,populated place,1
Atauri,populated place,1
Audícana,populated place,1
Aulestia,populated place,1
Auzochiquia,populated place,1
Avellaneda,populated place,1
Avellaneda-Sopuerta,populated place,1
Axpe,populated place,1
Axpe de Busturia,populated place,1
Aya,populated place,2
Ayarza,populated place,1
Ayazaza,populated place,1
Azcaray,populated place,1
Azcoaga,populated place,1
Azcoinavieta,elevation,1
Azcárate,elevation,1
Azpeitia,populated place,1
Azquizu,populated place,1
Aztiria,populated place,1
Azáceta,populated place,1
Añorga-Lugariz,populated place,1
Añua,populated place,1
Añés,populated place,1
Bachícabo,populated place,1
Baguio,populated place,1
Baliarrain,populated place,1
Baquio,populated place,1
Baracaldo,populated place,1
Barambio,populated place,1
Barbadún,stream,1
Bareño,populated place,1
Barinaga,populated place,1
Baroja,populated place,1
Barrencalle,populated place,1
Barreneches,populated place,1
Barrietas Altas,populated place,1
Barrietas Bajas,populated place,1
Barrio,populated place,1
Barriobusto,populated place,1
Barroeta,populated place,1
Barrón,populated place,1
Basabe,populated place,1
Basauri,populated place,1
Basecheas,populated place,1
Basechetas,populated place,1
Basigo de Baguio,populated place,1
Basozábal,populated place,2
Bayas,stream,1
Beasain,populated place,1
Beci,populated place,1
Bedarona,populated place,1
Bedoña,populated place,1
Behobia,populated place,1
Behovia,populated place,1
Beirotza,populated place,1
Belandia,populated place,1
Belarrinaga,populated place,1
Belaunza,populated place,1
Belunza,populated place,1
Bengoeche,populated place,1
Bengoeche-Aperribay,populated place,1
Berango,populated place,1
Berantevilla,populated place,1
Beraza,populated place,1
Berganzo,populated place,1
Bergüenda,populated place,1
Bermeo,populated place,1
Berna,populated place,1
Bernagoilía,populated place,1
Bernagoitia,populated place,1
Bernales,populated place,1
Bernedo,populated place,1
Berreño,populated place,1
Berriatúa,populated place,1
Berrio,populated place,1
Berriozabal,populated place,1
Berriozabal-Arabios,populated place,1
Berrobi,populated place,1
Berrojas,populated place,1
Berrosteguieta,populated place,1
Berunza,populated place,1
Beráscola,populated place,1
Betoño,populated place,1
Beótegui,populated place,1
Bilbao Bay,concave shoreline,1
Bilboa,populated place,1
Billela,populated place,1
Biscaya,populated place,1
Bizcardo,populated place,1
Biáñez,populated place,1
Bollar,populated place,1
Bollaín,populated place,1
Bolueta,populated place,1
Bolíbar,populated place,1
Bolívar,populated place,2
Bolúmburu,populated place,1
Botiolas,populated place,1
Boyas,stream,1
Bríncola,populated place,1
Bujanda,populated place,1
Burbustu,populated place,1
