place_category,ending
concave shoreline,Murguita
concave shoreline,Murguitz
concave shoreline,guita
concave shoreline,guitz
concave shoreline,ita
concave shoreline,itz
concave shoreline,rguita
concave shoreline,rguitz
concave shoreline,uita
concave shoreline,uitz
concave shoreline,urguita
concave shoreline,urguitz
convex shoreline,Aizlandi
convex shoreline,Aiztandi
convex shoreline,Alcolea
convex shoreline,Arrilabán
convex shoreline,Galea
convex shoreline,Higuer
convex shoreline,Isarría
convex shoreline,Iteico
convex shoreline,Izustarri
convex shoreline,Lucero
convex shoreline,Matxixako
convex shoreline,Mayor
convex shoreline,Negro
convex shoreline,Ogoño
convex shoreline,Orgullo
convex shoreline,Santa
convex shoreline,Turrilla
convex shoreline,Urgull
convex shoreline,Villano
convex shoreline,abán
convex shoreline,achichaco
convex shoreline,aco
convex shoreline,aiteburu
convex shoreline,ako
convex shoreline,alea
convex shoreline,andi
convex shoreline,ano
convex shoreline,anta
convex shoreline,arri
convex shoreline,arría
convex shoreline,atxixako
convex shoreline,aundieta
convex shoreline,ayor
convex shoreline,buru
convex shoreline,bán
convex shoreline,cero
convex shoreline,chaco
convex shoreline,charri
convex shoreline,chichaco
convex shoreline,colea
convex shoreline,cozulua
convex shoreline,dieta
convex shoreline,eburu
convex shoreline,egro
convex shoreline,eico
convex shoreline,encharri
convex shoreline,ero
convex shoreline,eta
convex shoreline,goño
convex shoreline,gro
convex shoreline,guer
convex shoreline,gull
convex shoreline,gullo
convex shoreline,haco
convex shoreline,harri
convex shoreline,hichaco
convex shoreline,iaundieta
convex shoreline,ichaco
convex shoreline,ico
convex shoreline,ieta
convex shoreline,iguer
convex shoreline,ilabán
convex shoreline,illa
convex shoreline,illano
convex shoreline,iteburu
convex shoreline,ixako
convex shoreline,izlandi
convex shoreline,iztandi
convex shoreline,labán
convex shoreline,landi
convex shoreline,lano
convex shoreline,lcolea
convex shoreline,lea
convex shoreline,lencharri
convex shoreline,lla
convex shoreline,llano
convex shoreline,llo
convex shoreline,lua
convex shoreline,ncharri
convex shoreline,ndi
convex shoreline,ndieta
convex shoreline,nocozulua
convex shoreline,nta
convex shoreline,ocozulua
convex shoreline,olea
convex shoreline,ozulua
convex shoreline,oño
convex shoreline,raiteburu
convex shoreline,rgull
convex shoreline,rgullo
convex shoreline,rilabán
convex shoreline,rilla
convex shoreline,rri
convex shoreline,rrilabán
convex shoreline,rrilla
convex shoreline,rría
convex shoreline,ría
convex shoreline,sarría
convex shoreline,starri
convex shoreline,tandi
convex shoreline,tarri
convex shoreline,teburu
convex shoreline,teico
convex shoreline,txixako
convex shoreline,ucero
convex shoreline,uer
convex shoreline,ull
convex shoreline,ullo
convex shoreline,ulua
convex shoreline,undieta
convex shoreline,urrilla
convex shoreline,uru
convex shoreline,ustarri
convex shoreline,xako
convex shoreline,xixako
convex shoreline,yor
convex shoreline,zlandi
convex shoreline,ztandi
convex shoreline,zulua
convex shoreline,zustarri
elevated area,Amboto
elevated area,Jaizkivel
elevated area,Jata
elevated area,Oiz
elevated area,Portilla
elevated area,Salvada
elevated area,Sollube
elevated area,Uzturre
elevated area,ada
elevated area,agochueta
elevated area,aizkivel
elevated area,aizquibel
elevated area,aizquivel
elevated area,alvada
elevated area,ata
elevated area,bel
elevated area,boto
elevated area,chueta
elevated area,eta
elevated area,gochueta
elevated area,hueta
elevated area,ibel
elevated area,illa
elevated area,ivel
elevated area,izkivel
elevated area,izquibel
elevated area,izquivel
elevated area,kivel
elevated area,lla
elevated area,llube
elevated area,lube
elevated area,lvada
elevated area,mboto
elevated area,ochueta
elevated area,ollube
elevated area,ortilla
elevated area,oto
elevated area,quibel
elevated area,quivel
elevated area,rre
elevated area,rtilla
elevated area,tilla
elevated area,turre
elevated area,ube
elevated area,ueta
elevated area,uibel
elevated area,uivel
elevated area,urre
elevated area,vada
elevated area,vel
elevated area,zkivel
elevated area,zquibel
elevated area,zquivel
elevated area,zturre
elevation,Adarra
elevation,Aitlluitz
elevation,Aitzgorri
elevation,Aldura
elevation,Andutz
elevation,Anduz
elevation,Asaldita
elevation,Azcárate
elevation,Charticum
elevation,Charticun
elevation,Chindoqui
elevation,Frío
elevation,Galarrey
elevation,Gazuma
elevation,Igueldo
elevation,Iqueldo
elevation,Izarraitz
elevation,Mescu
elevation,Onyi
elevation,Oqueta
elevation,Pagoeta
elevation,Tablada
elevation,Ulía
elevation,Urdaburu
elevation,ablada
elevation,aburu
elevation,ada
elevation,agoeta
elevation,aitz
elevation,alarrey
elevation,aldita
elevation,arra
elevation,arraitz
elevation,arrey
elevation,arri
elevation,arrunarri
elevation,articum
elevation,articun
elevation,ate
elevation,avieta
elevation,azuma
elevation,blada
elevation,buru
elevation,chichola
elevation,chola
elevation,cogorta
elevation,cum
elevation,cun
elevation,cárate
elevation,daburu
elevation,darra
elevation,dita
elevation,doqui
elevation,dura
elevation,dutz
elevation,duz
elevation,ecogorta
elevation,eldo
elevation,escu
elevation,eta
elevation,goeta
elevation,gorri
elevation,gorta
elevation,gueldo
elevation,harticum
elevation,harticun
elevation,hichola
elevation,hindoqui
elevation,hola
elevation,ichichola
elevation,ichola
elevation,icum
elevation,icun
elevation,ieta
elevation,inavieta
elevation,indoqui
elevation,ita
elevation,itlluitz
elevation,itz
elevation,itzgorri
elevation,lada
elevation,larrey
elevation,ldita
elevation,ldo
elevation,ldura
elevation,lluitz
elevation,luitz
elevation,lía
elevation,narri
elevation,navieta
elevation,ndoqui
elevation,ndutz
elevation,nduz
elevation,necogorta
elevation,nyi
elevation,oeta
elevation,ogorta
elevation,oinavieta
elevation,ola
elevation,oqui
elevation,orri
elevation,orta
elevation,queldo
elevation,queta
elevation,qui
elevation,raitz
elevation,rate
elevation,rdaburu
elevation,rey
elevation,rra
elevation,rraitz
elevation,rrey
elevation,rri
elevation,rrunarri
elevation,rta
elevation,rticum
elevation,rticun
elevation,runarri
elevation,río
elevation,saldita
elevation,scu
elevation,ticum
elevation,ticun
elevation,tlluitz
elevation,tzgorri
elevation,ueldo
elevation,ueta
elevation,uitz
elevation,uma
elevation,unarri
elevation,ura
elevation,uru
elevation,utz
