name,place_category,frequency
Almoster,stream,1
Alto de la,elevation,1
Ampurdán,area,2
Anguera,stream,1
Arabell,stream,1
Arija,stream,1
Arneda,stream,1
Arnera,stream,1
Aumenara,elevation,1
Aurati,elevated area,1
Averno,stream,1
Badalona,shoreline,1
Baget,stream,1
Bagur,convex shoreline,1
Balartias,stream,1
Ballena,elevation,1
Banco de Santa Susana,underwater elevation,1
Barra,elevation,1
Bañolas,basin,1
Bellfort,stream,1
Benau,stream,1
Besòs,stream,1
Besóns,elevation,1
Besós,stream,1
Blanca,island,1
Bobiná,elevation,1
Boella,stream,1
Boix,stream,1
Bona,concave shoreline,1
Boquera,convex shoreline,1
Boumort,elevation,1
Brazo del Sur,stream,1
Brisa,elevated area,1
Brugent,stream,2
Bruna,elevation,1
Buen del Collar,elevation,1
Caballera,elevated area,1
Caballé,elevation,1
Cabo,stream,1
Cadí,elevation,1
Cairot,stream,1
Caldas,stream,1
Calders,stream,1
Caleta de,concave shoreline,1
Calvo,elevation,1
Cambell,area,1
Canaleta,stream,1
Canaletas,stream,1
Canoves,stream,1
Cap de Terme,stream,1
Cap-Ras,convex shoreline,1
Carbonera,elevated area,1
Carbonero,elevation,2
Caro,elevation,1
Carreu,stream,1
Casibrós,elevation,1
Castelbó,stream,1
Castella,elevation,1
Castellana,elevation,1
Castellar,elevation,1
Castellet,stream,1
Castellá,island,1
Castelló,elevation,1
Cañones,convex shoreline,1
Cerras de la Piedad,elevated area,1
Chalanera,stream,1
Ciurana,stream,1
Ció,stream,1
Clavaguera,island,1
Clot de,depression,1
Clot d’en,stream,1
Collet de,depression,1
Conca,concave shoreline,1
Conellas,convex shoreline,1
Congost,stream,1
Contraig,basin,1
Cordillera de Pilás,elevated area,1
Corp,stream,1
Corrunco,elevation,1
Cortiella,stream,1
Corullons,elevation,1
Coscollet,elevation,1
Coscollosa,elevation,1
Coscullosa,elevation,1
Creus,convex shoreline,1
Cónica,elevated area,1
Daró,stream,1
El,elevated area,1
Eloy,elevation,1
Encalladora,island,1
Encamá,elevation,1
Encosa,elevation,1
Era,elevation,1
Esblada,stream,2
Estangento,basin,1
Falconera,convex shoreline,1
Falcó,convex shoreline,1
Falcó,elevation,1
Falcón,elevation,1
Fallada de Malpás,elevation,1
Farfaña,stream,1
Ferrosa,convex shoreline,1
Figuera,concave shoreline,1
Flamicell,stream,1
Flamisell,stream,1
Fluviá,stream,1
Foix,stream,2
Forcanada,elevation,1
Francolí,stream,1
Frescau,basin,1
Fresser,stream,1
Fudaró,stream,1
Garbet,concave shoreline,1
Garós,elevation,1
Gayá,stream,1
Gelada,depression,1
Gelada,elevation,1
Geroni,elevation,1
Gerónimo,elevation,1
Ges,stream,1
Gibert,stream,1
Ginestra,convex shoreline,1
Gisbert,elevated area,1
Glorieta,stream,1
Gorda,convex shoreline,1
Grande,stream,1
Gridells,stream,1
Gros,convex shoreline,1
Gros,elevation,1
Grosa,convex shoreline,2
Grosa,elevated area,1
Grosa,elevation,1
Grossa,convex shoreline,1
Guerri,stream,1
Guineo,elevation,1
Guri,stream,1
Gurn,stream,1
Hauteur de la,elevation,1
Hocico de,convex shoreline,1
Inclusa,elevation,1
Islas Medas,island,1
Isletas Massinas,island,1
Islote El Castellá de Llansá,island,1
Islotes de la Farriola,island,1
Jeroni,elevation,1
Jostell,concave shoreline,1
Justell,concave shoreline,1
La,basin,1
La,island,1
La Desenrocada,convex shoreline,1
La Deseurocada,convex shoreline,1
La Gola Meridional,concave shoreline,1
La Noguera,area,1
La Punta,convex shoreline,1
Lagos de Colomés,basin,1
Las,stream,1
Las Planas,elevation,1
Les Pinerets,elevated area,1
Lladra,elevation,1
Llano de,area,1
Llano de la,elevation,1
Llanos de Urgel,area,1
Llebreta,basin,1
Llierca,stream,1
Llobregat,stream,2
Llorens,elevation,1
Llosas,basin,1
Llovera,stream,1
Lloverola,stream,1
Llémana,stream,1
Lo,shoreline,1
Los,concave shoreline,1
Los Pallés,elevated area,1
L’Illot,basin,1
Macizo de,elevation,1
Maeriolo,basin,1
Mainyera,basin,1
Major,stream,1
Majó,stream,1
Manol,stream,1
Manyanet,stream,1
Mar,basin,1
Marcos,elevation,1
Mas Carbo,stream,1
Masa de,island,1
Masos,stream,1
Massina,island,1
Mayor,basin,1
Mayor,stream,3
Maza de,island,1
Mazizo de,elevation,1
Medela,elevation,1
Merdas,stream,1
Mestreca,elevated area,1
Milany,elevated area,1
Mitamplana,area,1
Mitj Jorn,stream,1
Mojent,stream,1
Mola,elevation,1
Molto,elevation,1
Moncasan,basin,1
Mongat,shoreline,1
Monjoy,concave shoreline,1
Monmeneu,elevation,1
Monsant,stream,1
Monsech,elevation,1
Mont Pedrós,elevation,1
Monte,elevated area,1
Montes Gavarras,elevated area,1
Montjoys,concave shoreline,1
Montjuic,elevation,1
Montjuich,elevation,1
Montludó,elevation,1
Montsant,stream,1
Montseny,elevation,1
Montserrat,elevation,1
Morrell,convex shoreline,1
Musfera,convex shoreline,1
Muñidó,elevation,1
Negra,elevation,1
Negra,island,1
Negras,basin,1
Negre,convex shoreline,1
Negro,basin,2
Noguera,area,1
Noguera,stream,1
Noguera Pallaresa,stream,1
Noguera de Tor,stream,1
Noguera de Vall Farrera,stream,1
Norfeo,convex shoreline,1
Norte de,concave shoreline,1
Noya,stream,1
Nègre,convex shoreline,1
Oliguera,convex shoreline,1
Onyar,stream,1
Oíx,stream,1
Oñar,stream,1
Paguera,elevation,1
Pallerols,stream,1
Paloma,convex shoreline,1
Pan,depression,1
Paramy,elevated area,1
Parel,depression,1
Paret,depression,1
Paret,stream,1
Parracoll,elevation,2
Pas de Pancha Blanca,depression,1
Paso de los,depression,1
Pedro Martir,elevation,1
Pedrosa,island,1
Pelat de Talltendre,elevation,1
Perles,stream,1
Pesells,elevated area,1
Peñas Altas,elevation,1
Pico Camp,elevated area,1
Picos,elevation,1
Pics,elevation,1
Pilás,elevation,1
Pinell,stream,1
Pinós,elevation,1
Pla de,area,1
Plan del Estañs,elevation,1
Planas del,area,1
Planet des Barrancs,elevation,1
Planhèth des Estanhòns,elevation,1
Plat de Meda,stream,1
Pomer,elevation,1
Pont de la,stream,1
Porquerola,convex shoreline,1
Port Fangós,basin,1
Port del Comte,elevated area,1
Port dels Alfacs,concave shoreline,1
Portelles dells,depression,1
Portezuelo de la,depression,1
Principal,concave shoreline,1
Punsó,elevation,1
Purtaló,island,1
Rabasae,stream,1
Rafols,elevation,1
Rajadell,stream,1
Ras,convex shoreline,1
Rasa,elevation,1
Rasa de Pira,stream,1
Raso,convex shoreline,1
Regus Salad,stream,1
Rencules,stream,1
Rialp,stream,1
Ridaura,stream,1
Riera,stream,1
Rigart,stream,1
Rincón de Salou,concave shoreline,1
Ripoll,stream,1
Riudoms,stream,1
Rivera,stream,1
Rodo,elevation,1
Rodós,elevation,1
Roig,convex shoreline,1
Roja,island,1
Roquera,convex shoreline,1
Rouche,depression,1
Roureda,elevation,1
Rubio,elevation,1
Rás,convex shoreline,1
Rí Cortella,stream,1
Sa,elevation,1
Saburó,basin,1
Salada,stream,2
Saladenr,stream,1
Saldes,stream,1
Salinas,convex shoreline,1
Salud,stream,1
San Salvador,elevated area,1
San Vicens,elevation,1
Santa Magdalena de Cambrils,elevated area,1
Sayansa,elevation,1
Se Cahn,elevation,1
Se-Calm,elevation,1
Sec,stream,2
Sed,stream,1
Sellent,stream,1
Ser,stream,1
Serral de las,elevation,1
Sert,stream,1
Sierra de las Concas,elevation,1
Sierras de Cardó,elevated area,1
Sincal de Cavas,stream,1
Sió,stream,1
Solana,elevation,1
Solanas,elevation,1
Solou,convex shoreline,1
Soláns,elevation,1
Suró,elevation,1
Tamarit,stream,1
Tenas,stream,1
Terri,stream,1
Testa de la,convex shoreline,1
Torre,elevation,1
Torrent de Vallmoll,stream,1
Torrentes de,stream,1
Tort,stream,1
Tortosa,convex shoreline,1
Tortosam,convex shoreline,1
Torán,stream,1
Torón,stream,1
Tosa,elevation,1
Tosagrosa,elevation,1
Tossa,elevation,1
Tossal Bovinar,elevation,1
Tramesane,basin,1
Turó Negre,elevation,1
Val de la,stream,1
Valdebelles,stream,1
Valiri,stream,1
Vall Comas de,stream,1
Vall de,stream,3
Vall de Comas de,stream,1
Vall de la,stream,1
Vallespinosa,stream,1
Vallivés,stream,1
Valls,stream,1
