place_category,ending
area,Ampurdán
area,Cambell
area,Noguera
area,Vallés
area,allés
area,ambell
area,amplana
area,ana
area,bell
area,del
area,dán
area,ell
area,era
area,guera
area,itamplana
area,lana
area,llés
area,lés
area,mbell
area,mplana
area,mpurdán
area,oguera
area,plana
area,purdán
area,rdán
area,tamplana
area,uera
area,urdán
basin,Bañolas
basin,Contraig
basin,Frescau
basin,Illot
basin,Llebreta
basin,Llosas
basin,L’Illot
basin,Maeriolo
basin,Mainyera
basin,Mar
basin,Mayor
basin,Moncasan
basin,Negras
basin,Negro
basin,Saburó
basin,Tramesane
basin,aburó
basin,aeriolo
basin,aig
basin,ainyera
basin,amesane
basin,ane
basin,angento
basin,asan
basin,ayor
basin,añolas
basin,breta
basin,buró
basin,casan
basin,cau
basin,del
basin,ebreta
basin,egras
basin,egro
basin,ento
basin,era
basin,eriolo
basin,esane
basin,escau
basin,eta
basin,gento
basin,gras
basin,gro
basin,inyera
basin,iolo
basin,las
basin,lebreta
basin,llot
basin,losas
basin,lot
basin,mesane
basin,ncasan
basin,ngento
basin,nto
basin,ntraig
basin,nyera
basin,olas
basin,olo
basin,oncasan
basin,ontraig
basin,osas
basin,raig
basin,ramesane
basin,ras
basin,rescau
basin,reta
basin,riolo
basin,san
basin,sane
basin,sas
basin,scau
basin,stangento
basin,tangento
basin,traig
basin,uró
basin,yera
basin,yor
basin,ñolas
basin,’Illot
concave shoreline,Bona
concave shoreline,Conca
concave shoreline,Figuera
concave shoreline,Garbet
concave shoreline,Jostell
concave shoreline,Justell
concave shoreline,Los
concave shoreline,Monjoy
concave shoreline,Montjoys
concave shoreline,Principal
concave shoreline,arbet
concave shoreline,bet
concave shoreline,cipal
concave shoreline,del
concave shoreline,ell
concave shoreline,era
concave shoreline,guera
concave shoreline,iguera
concave shoreline,incipal
concave shoreline,ipal
concave shoreline,joy
concave shoreline,joys
concave shoreline,nca
concave shoreline,ncipal
concave shoreline,njoy
concave shoreline,ntjoys
concave shoreline,ona
concave shoreline,onca
concave shoreline,onjoy
concave shoreline,ontjoys
concave shoreline,ostell
concave shoreline,oys
concave shoreline,pal
concave shoreline,rbet
concave shoreline,rincipal
concave shoreline,stell
concave shoreline,tell
concave shoreline,tjoys
concave shoreline,uera
concave shoreline,ustell
convex shoreline,-Ras
convex shoreline,Bagur
convex shoreline,Boquera
convex shoreline,Cap-Ras
convex shoreline,Cañones
convex shoreline,Conellas
convex shoreline,Creus
convex shoreline,Falconera
convex shoreline,Falcó
convex shoreline,Ferrosa
convex shoreline,Ginestra
convex shoreline,Gorda
convex shoreline,Gros
convex shoreline,Grosa
convex shoreline,Grossa
convex shoreline,Morrell
convex shoreline,Musfera
convex shoreline,Negre
convex shoreline,Norfeo
convex shoreline,Nègre
convex shoreline,Oliguera
convex shoreline,Paloma
convex shoreline,Ras
convex shoreline,Raso
convex shoreline,Roig
convex shoreline,Roquera
convex shoreline,Rás
convex shoreline,Salinas
convex shoreline,Solou
convex shoreline,Tortosa
convex shoreline,Tortosam
convex shoreline,agur
convex shoreline,alconera
convex shoreline,alcó
convex shoreline,alinas
convex shoreline,aloma
convex shoreline,ap-Ras
convex shoreline,aso
convex shoreline,añones
convex shoreline,conera
convex shoreline,del
convex shoreline,egre
convex shoreline,ell
convex shoreline,ellas
convex shoreline,era
convex shoreline,erola
convex shoreline,errosa
convex shoreline,estra
convex shoreline,eus
convex shoreline,feo
convex shoreline,fera
convex shoreline,gre
convex shoreline,guera
convex shoreline,gur
convex shoreline,iguera
convex shoreline,inas
convex shoreline,inestra
convex shoreline,las
convex shoreline,lconera
convex shoreline,lcó
convex shoreline,liguera
convex shoreline,linas
convex shoreline,llas
convex shoreline,loma
convex shoreline,lou
convex shoreline,nas
convex shoreline,nellas
convex shoreline,nera
convex shoreline,nes
convex shoreline,nestra
convex shoreline,oig
convex shoreline,ola
convex shoreline,olou
convex shoreline,oma
convex shoreline,onellas
convex shoreline,onera
convex shoreline,ones
convex shoreline,oquera
convex shoreline,orda
convex shoreline,orfeo
convex shoreline,orquerola
convex shoreline,orrell
convex shoreline,ortosa
convex shoreline,ortosam
convex shoreline,osa
convex shoreline,osam
convex shoreline,ossa
convex shoreline,p-Ras
convex shoreline,quera
convex shoreline,querola
convex shoreline,rda
convex shoreline,rell
convex shoreline,reus
convex shoreline,rfeo
convex shoreline,rola
convex shoreline,ros
convex shoreline,rosa
convex shoreline,rossa
convex shoreline,rquerola
convex shoreline,rrell
convex shoreline,rrosa
convex shoreline,rtosa
convex shoreline,rtosam
convex shoreline,sam
convex shoreline,sfera
convex shoreline,ssa
convex shoreline,stra
convex shoreline,tosa
convex shoreline,tosam
convex shoreline,tra
convex shoreline,uera
convex shoreline,uerola
convex shoreline,usfera
convex shoreline,ègre
convex shoreline,ñones
depression,Gelada
depression,Pan
depression,Parel
depression,Paret
depression,Rouche
depression,ada
depression,arel
depression,aret
depression,che
depression,elada
depression,lada
depression,ouche
depression,rel
depression,ret
depression,uche
elevated area,Aurati
elevated area,Brisa
elevated area,Caballera
elevated area,Carbonera
elevated area,Cónica
elevated area,Gisbert
elevated area,Grosa
elevated area,Mestreca
elevated area,Milany
elevated area,Monte
elevated area,Paramy
elevated area,Pesells
elevated area,aballera
elevated area,allera
elevated area,amy
elevated area,any
elevated area,aramy
elevated area,arbonera
elevated area,ati
elevated area,ballera
elevated area,bert
elevated area,bonera
elevated area,del
elevated area,eca
elevated area,ells
elevated area,era
elevated area,ert
elevated area,esells
elevated area,estreca
elevated area,ica
elevated area,ilany
elevated area,isa
elevated area,isbert
elevated area,lany
elevated area,lera
elevated area,llera
elevated area,lls
elevated area,nera
elevated area,nica
elevated area,nte
elevated area,onera
elevated area,onte
elevated area,osa
elevated area,ramy
elevated area,rati
