name,frequency,place_type,place_category
Abelov Vrh,1,hill,elevation
Anđelina Kosa,1,ridge,elevated area
Antignano,1,populated place,populated place
Antun,1,cove,concave shoreline
Apatovac,1,populated place,populated place
Apta,1,peak,elevation
Arbanija,1,populated place,populated place
Arsa Kanal,1,inlet,basin
Arta Mala,1,island,island
Arta Velika,1,island,island
Artina,1,cove,concave shoreline
Atlinovac,1,mountain,elevation
Baba,1,hill,elevation
Babac,1,island,island
Babajići,1,populated place,populated place
Babića Jezero,1,pond,basin
Babin Dub,1,populated place,populated place
Babin Grad,1,mountain,elevation
Babin Kesten,1,hill,elevation
Babin Kraj,1,populated place,populated place
Babja Gora,1,mountains,elevated area
Babnjača,1,hill,elevation
Bać Dol,1,valley,depression
Bačić Kosa,1,hill,elevation
Bacili,1,rocks,elevation
Bačinska Jezera,1,lakes,basin
Bad,1,point,convex shoreline
Badanj,1,spring,stream
Badikovci,1,populated place,populated place
Badljevina,1,populated place,populated place
Badušnica,1,river,stream
Bagna,1,cove,concave shoreline
Bakar,1,populated place,populated place
Bakar,1,bay,concave shoreline
Bakovac Kosinjski,1,populated place,populated place
Balaćev Vršak,1,hill,elevation
Baldassi,1,populated place,populated place
Bale,1,hill,elevation
Balenica,1,swamp,marsh
Balenski Dočići,1,mountain,elevation
Balikovac,1,pond,basin
Baljkuša,1,populated place,populated place
Balkanski Poluostrov,2,peninsula,convex shoreline
Bandići,2,populated place,populated place
Banići,2,populated place,populated place
Banja,1,island,island
Banjlovec,1,populated place,populated place
Banovo Brdo,1,hill,elevation
Bara Kraka,1,pond,basin
Barakovac,1,river,stream
Barbat na Rabu,1,populated place,populated place
Barbato cove,1,cove,concave shoreline
Barilović,1,populated place,populated place
Barna,1,river,stream
Bartolići,1,populated place,populated place
Bartolovci,1,populated place,populated place
Bartulovac,1,spring,stream
Bašćanska Draga,1,bay,concave shoreline
Baščanski Zaliv,1,bay,concave shoreline
Baščica,1,river,stream
Baščine,1,hill,elevation
Baše,3,populated place,populated place
Bašić Poljana,1,populated place,populated place
Baska,1,cove,concave shoreline
Basta,2,populated place,populated place
Bašte,1,populated place,populated place
Batinske,1,populated place,populated place
Bavkul,1,rock,elevation
Bay Vranjic,1,bay,concave shoreline
Bebrina Bara,1,river,stream
Beder,1,populated place,populated place
Begrovo Bilo,1,ridge,elevated area
Beguša,1,spring,stream
Belaši,1,populated place,populated place
Belica,1,mountain,elevation
Belje,1,populated place,populated place
Belovár,1,populated place,populated place
Beničanci,1,populated place,populated place
Benkovac,3,populated place,populated place
Bentina,1,spring,stream
Berava,2,river,stream
Berek,1,populated place,populated place
Berevac,1,river,stream
Bezavina,1,river,stream
Bibinje,1,populated place,populated place
Bijader,1,populated place,populated place
Bijakovac,1,hill,elevation
Bijela Lasica,1,mountain,elevation
Bijeli Potok,1,populated place,populated place
Bijeli Vršići,1,hills,elevated area
Bijelića Glavica,1,hill,elevation
Bijelovarska Reka,1,river,stream
Bilinovac,1,hill,elevation
Biljevina,1,mountain,elevation
Bilo,3,hill,elevation
Biluš Planina,1,mountain,elevation
Biovčino Selo,1,populated place,populated place
Biskupovac,1,hill,elevation
Bistra,2,river,stream
Bistračka Bara,1,marsh,marsh
Bistranski Novaki,1,populated place,populated place
Bistrica,1,populated place,populated place
Bitoraj,1,mountain,elevation
Bitulja,1,river,stream
Bizovac,1,populated place,populated place
Bjelobaba,1,populated place,populated place
Blaca Luka,1,cove,concave shoreline
Blagorodovac,1,populated place,populated place
Blanje,1,populated place,populated place
Blaškovec,1,populated place,populated place
Blatina,1,populated place,populated place
Blato Odolnica,1,marsh,marsh
Blatuša,1,populated place,populated place
Blatuški Jarak,1,river,stream
Blatuško Brdo,1,hills,elevated area
Blebići,1,populated place,populated place
Blečići,1,populated place,populated place
Blizna,1,river,stream
Bljaići,1,populated place,populated place
Bobere,1,populated place,populated place
Bobovišća,1,populated place,populated place
Bobovišće,1,inlet,basin
Bodliš,1,peak,elevation
Bogdanići,1,populated place,populated place
Bogdanovci,1,populated place,populated place
Bogdanovići,1,populated place,populated place
Bogićevci Gornji,1,populated place,populated place
Bogliuno,1,populated place,populated place
Bogomoglie,1,populated place,populated place
Bojana,2,populated place,populated place
Bojište,1,hill,elevation
Bok,1,mountain,elevation
Bokanjačko Blato,1,lake,basin
Bokšić,2,populated place,populated place
Borača,1,hill,elevation
Boričevci,1,populated place,populated place
Borići,1,populated place,populated place
Borovo Naselje,1,populated place,populated place
Borovska Ada,1,island,island
Bosiljevsko Zdihovo,1,populated place,populated place
Bošnjakuša,1,valley,depression
Botići,1,populated place,populated place
Botovo,1,populated place,populated place
Bovan,2,hill,elevation
Boždarić,1,populated place,populated place
Božnovac,1,spring,stream
Božurkovica,1,mountain,elevation
Bračevo,1,hill,elevation
Bračice,1,hill,elevation
Bradarići,3,populated place,populated place
Brajnovići,1,populated place,populated place
Bratiškovici,1,populated place,populated place
Bratljevac,1,spring,stream
Brbinj Jaz,1,bay,concave shoreline
Brdace,1,hill,elevation
Brđani Cesta,1,populated place,populated place
Brdo,3,hill,elevation
Bregi,1,populated place,populated place
Bregi Kostelski,1,populated place,populated place
Brest,3,populated place,populated place
Brestača,1,populated place,populated place
Breštanovci,1,populated place,populated place
Brestica,1,populated place,populated place
Brestovice,1,mountain,elevation
Brežane Lekeničke,1,populated place,populated place
Brezje Dubravsko,1,populated place,populated place
Brezna Potok,1,river,stream
Brežnica,2,river,stream
Breznica Ðakovačka,1,populated place,populated place
Brezovača,3,hill,elevation
Brezovica,2,populated place,populated place
Brezovica Miholjačka,1,populated place,populated place
Brezovo Polje,1,plain,area
Briacovo,1,point,convex shoreline
Brijoni,1,populated place,populated place
Brijuni,1,populated place,populated place
Brisa,1,depression,depression
Brištani,1,populated place,populated place
Bristova Luka,1,bay,concave shoreline
Brkat,1,hill,elevation
Brkinac,1,spring,stream
Brlenić,1,populated place,populated place
Brodac,1,hill,elevation
Brođanci,1,populated place,populated place
Brozova Strana,1,slope,elevation
Brsaćevac,1,hill,elevation
Brubno,1,populated place,populated place
Brujići,1,populated place,populated place
Brušanica,1,river,stream
Brušanka,1,river,stream
Bruška,1,populated place,populated place
Bubalova Glavica,1,peak,elevation
Bubani,1,populated place,populated place
Bublen,1,river,stream
Buč,1,populated place,populated place
Bucala,1,mountain,elevation
Bucht Ražanj,1,cove,concave shoreline
Budačka Strana,1,slope,elevation
Budimci,1,populated place,populated place
Budimir,2,populated place,populated place
Budina,1,bay,concave shoreline
Budokovac Mali,1,island,island
Buhača,1,river,stream
Bujakovac,1,hill,elevation
Bujić Brdo,1,hill,elevation
Bukanjac,1,spring,stream
Bukovčevo Vrelo,1,spring,stream
Bukovi Vrh,1,mountain,elevation
Bukovica,1,river,stream
Bukvar,1,mountain,elevation
Bukvik,1,ridge,elevated area
Buliga,1,populated place,populated place
Buljubašići,1,populated place,populated place
Buljuk,1,hill,elevation
Bulušnioa,1,river,stream
Bunja,1,populated place,populated place
Bunjani,1,populated place,populated place
Buroli,1,populated place,populated place
Bursaći,1,populated place,populated place
Bušelići,1,populated place,populated place
Butinj,1,cove,concave shoreline
Butišnica,2,river,stream
Čabranka,1,river,stream
