name,place_category,frequency
Aglaia,elevation,1
Altán,elevation,1
Ambrožný,elevation,1
Arnoltícký Bor,populated place,1
Aupa,stream,1
Baba,elevation,3
Babice Nad Svitavou,populated place,1
Babina,elevation,1
Babáč,elevation,1
Babín,basin,1
Babínek,elevation,1
Babětín,populated place,1
Bakovský,stream,2
Balda,populated place,1
Balinka,stream,2
Bantice,populated place,1
Barochow,populated place,1
Barák,elevation,1
Bačatka,elevation,1
Bačovka,stream,1
Baščice,stream,1
Beczwa,stream,1
Benešov,populated place,1
Beran,elevation,1
Beraun,stream,1
Bernardov,populated place,1
Berouk,stream,1
Berounka,stream,1
Beshchady,elevated area,1
Beskyd,elevation,1
Besének,stream,1
Betschwa,stream,1
Bezdrev,basin,1
Bezděk,elevation,1
Bezděz,populated place,1
Bezděčí U Velkých Opatovic,populated place,1
Bezemín,populated place,1
Bezkydek,elevation,1
Bezno,populated place,1
Bezvel,elevation,1
Bečva,stream,4
Bialskie,elevated area,1
Biela,stream,1
Bieszczady,elevated area,1
Bilin,stream,1
Bilinský,stream,1
Bilý,elevation,1
Biskupia Kępa,elevation,1
Biskupská Kupa,elevation,1
Bistrica,stream,1
Bitina,elevation,1
Blahuňov,populated place,1
Blanice,populated place,2
Blanský,elevated area,1
Blaník,elevation,3
Blata,stream,1
Blatec,basin,1
Blatnice,stream,2
Blatníkovská,populated place,1
Blatta,stream,1
Blazický,stream,1
Blažejovický,stream,1
Blažkov,elevation,1
Bližanovy,populated place,1
Bludný,elevation,1
Blšanka,stream,1
Bobek,elevation,1
Bober,stream,1
Bobor,stream,1
Bobr,stream,1
Bobrava,stream,1
Bobrovka,stream,1
Bobří,stream,1
Bohatice,populated place,2
Bohdalovský,stream,1
Bohdanečský,basin,1
Bohumilećsky,basin,1
Bohuňovsko,populated place,1
Bohušovice Nad Ohří,populated place,1
Bojanov,elevation,1
Bojanovice,populated place,4
Bojovský,stream,1
Bolevec,populated place,1
Bolíkoský,stream,1
Bolíkovský,stream,1
Borek,elevation,1
Borková,populated place,1
Borný,elevation,1
Borovský,stream,1
Borová Krčma,populated place,1
Borový,elevation,2
Borowka,populated place,1
Borušov,populated place,1
Bory,populated place,1
Boršický,stream,1
Boskow,populated place,1
Botič,stream,1
Boušov,elevation,1
Bořeň,elevation,1
Bořeňovice,populated place,1
Bošilecký,basin,1
Božetice,populated place,1
Boží Dar,populated place,1
Bradava,stream,1
Bradlava,stream,1
Bradlo,elevation,1
