place_category,ending
basin,sky
basin,ický
basin,nský
basin,vský
basin,ecký
depression,ské
depression,vský
elevated area,ady
elevated area,rské
elevated area,ické
elevated area,skie
elevated area,ovské
elevation,kov
elevation,ový
elevation,ska
elevation,rka
elevation,ova
elevation,ček
elevation,lka
elevation,sko
elevation,šná
elevation,lec
elevation,cká
elevation,cký
elevation,lov
elevation,rek
elevation,ica
elevation,rák
elevation,aní
elevation,iny
elevation,čka
elevation,rna
elevation,lŭv
elevation,ava
elevation,rky
elevation,kŭv
elevation,čák
elevation,ŭra
elevation,ška
elevation,nice
elevation,rník
elevation,ovka
elevation,nský
elevation,řský
elevation,hošť
elevation,iště
elevation,žnik
elevation,ovec
elevation,čník
elevation,rská
elevation,elná
elevation,ková
elevation,ínek
elevation,adlo
elevation,inec
elevation,čina
elevation,ŭvka
elevation,ovský
elevation,anská
elevation,stina
elevation,ovice
populated place,lov
populated place,iny
populated place,ovy
populated place,lín
populated place,ava
populated place,čín
populated place,ves
populated place,yně
populated place,dec
populated place,čov
populated place,čná
populated place,ary
populated place,ení
populated place,čka
populated place,uky
populated place,řov
populated place,ník
populated place,nec
populated place,rov
populated place,ská
populated place,tov
populated place,vky
populated place,kou
populated place,ňov
populated place,čko
populated place,ský
populated place,sek
populated place,čice
populated place,šice
populated place,ánky
populated place,chov
populated place,ičky
populated place,iště
populated place,dice
populated place,ešov
populated place,otín
populated place,ková
populated place,enov
populated place,bice
populated place,ňany
populated place,nina
populated place,čany
populated place,ovec
populated place,etín
populated place,onín
populated place,anov
populated place,jezd
populated place,sice
populated place,anice
populated place,tavou
populated place,otice
populated place,etice
populated place,onice
populated place,líkov
populated place,ěnice
populated place,elice
populated place,snice
populated place,ořice
populated place,atice
populated place,avice
populated place,tinka
populated place,ovsko
populated place,lovice
populated place,rovice
populated place,oltice
populated place,řenice
populated place,anovice
populated place,chovice
populated place,skovice
stream,tka
stream,ica
stream,era
stream,ová
stream,ový
stream,tná
stream,cka
stream,dra
stream,dka
stream,ela
stream,ška
stream,lava
stream,anka
stream,ecký
stream,ička
stream,ánka
stream,dava
stream,čský
stream,rský
stream,řina
stream,ínka
stream,ávka
stream,vice
stream,ečva
stream,Nysa
stream,pava
stream,enka
stream,Labe
stream,zava
stream,řice
stream,lawa
stream,árka
stream,icky
stream,inský
stream,anský
stream,šovka
stream,elský
stream,dlina
stream,tavka
stream,dnice
stream,enský
stream,ttawa
stream,vnice
stream,tický
stream,navka
stream,linka
stream,ovický
stream,kovský
stream,rovský
stream,tínský
