place_category,separate_beginning,frequency
basin,<NONE>,26
populated place,<NONE>,800
stream,<NONE>,397
elevation,<NONE>,479
depression,<NONE>,4
elevated area,<NONE>,34
stream,Biała,2
elevation,Bílá,2
stream,Bílá,5
stream,Bílý,2
populated place,Daleké,2
stream,Divoká,3
populated place,Dolní,16
populated place,Dvŭr,5
elevated area,Góry,5
elevation,Holý,8
populated place,Horní,19
elevation,Kamenný,2
elevation,Králŭv,3
populated place,Krásné,2
elevation,Lysá,2
populated place,Malá,4
stream,Malá,8
elevation,Malá,3
elevation,Malý,4
stream,Mlýnský,3
elevation,Na,8
elevation,Nad,4
elevated area,Novohradské,2
populated place,Nová,5
populated place,Nové,20
populated place,Nový,8
stream,Potok,2
depression,Przełęcz,3
basin,Rybník,7
depression,Sedlo,3
elevation,Stará,2
populated place,Staré,14
populated place,Starý,3
stream,Suchý,3
elevation,Suchý,2
stream,Tichá,2
elevation,U,3
elevation,Velká,10
populated place,Velká,5
stream,Velká,3
stream,Velký,2
basin,Velký,2
elevation,Velký,11
populated place,Vysoká,3
elevation,Vysoká,2
elevation,Vysoké,3
elevation,Vysoký,7
elevation,Vysočina,2
depression,Vyšší,2
populated place,Zadní,4
elevation,Zadní,2
stream,Zlatá,2
stream,Zlatý,2
stream,Černá,2
elevation,Černá,2
stream,Černý,2
elevation,Čertova,2
elevation,Čertuv,2
elevation,Červená,4
stream,Červený,3
