place_category,separate_ending,frequency
basin,<NONE>,26
stream,<NONE>,397
populated place,<NONE>,800
depression,<NONE>,4
elevation,<NONE>,479
elevated area,<NONE>,34
stream,Desná,3
populated place,Dvŭr,2
stream,Dyje,2
basin,Dářsko,2
populated place,Dědina,3
stream,Haná,4
elevation,Hlava,2
elevation,Hora,57
populated place,Hory,2
elevated area,Hory,13
basin,Jezero,5
elevation,Kamen,2
stream,Kamenice,2
elevation,Kolo,4
elevation,Kopec,20
elevation,Kámen,5
elevated area,Les,3
populated place,Lhota,7
populated place,Lhotka,2
populated place,Městečko,2
populated place,Město,10
stream,Orlice,4
elevated area,Pohoří,2
populated place,Pole,2
elevation,Polom,3
stream,Potok,176
depression,Prŭsmyk,3
basin,Rybník,36
populated place,Sady,7
depression,Sedlo,2
elevation,Skála,4
elevation,Skály,2
elevation,Sněžník,3
stream,Stoka,2
elevation,Stolová,2
populated place,Svět,7
stream,Voda,3
elevation,Vrch,51
elevation,Vrchovina,3
elevated area,Vrchy,8
elevation,Vysočina,2
populated place,Zámky,4
depression,Úval,3
elevation,Šišák,2
