name,frequency,place_type,place_category
Aabjærg,1,populated place,populated place
Aabybro,1,populated place,populated place
Aalehoved,1,point,convex shoreline
Aalling,1,populated place,populated place
Aalsrode,1,populated place,populated place
Aamose,1,bog,marsh
Aarhus,1,populated place,populated place
Aarhus Å,1,river,stream
Aarhus Aa,1,river,stream
Aarö,1,island,island
Aarslev,5,populated place,populated place
Aastrup Höj,1,hill,elevation
Abelø Nordvest-Rev,1,shoal,underwater elevation
Åbenrå Fjord,1,bay,concave shoreline
Abild,1,populated place,populated place
Abildtorpe,1,populated place,populated place
Aborrebjerg,1,hill,elevation
Åbyhøj,1,populated place,populated place
Adsbøl,1,populated place,populated place
Ådum,1,populated place,populated place
Æbelholm,1,island,island
Æbelø,1,island,island
Æbelø Holm,1,island,island
Æbeltoft Vig,1,bay,concave shoreline
Æblesten,1,rock,elevation
Æggebjerg,1,hill,elevation
Ægholm,1,island,island
Ægholm Sand,1,shoal,underwater elevation
Ærø,1,island,island
Ærøskøbing,1,populated place,populated place
Aflandshage,1,point,convex shoreline
Ågård,1,populated place,populated place
Agdrup Kær,1,populated place,populated place
Ager,1,populated place,populated place
Agernæs,1,point,convex shoreline
Agerø,1,island,island
Agersø,1,island,island
Agersø By,1,populated place,populated place
Ågerup,6,populated place,populated place
Aggersø,1,island,island
Agnö,1,peninsula,convex shoreline
Agri Bavnehøj,1,hill,elevation
Agtrub Vig,1,bay,concave shoreline
Agtrup,1,populated place,populated place
Agtrup Vig,1,bay,concave shoreline
Ahl,1,point,convex shoreline
Ajstruphede,1,populated place,populated place
Ajt,1,populated place,populated place
Åkrog Bugt,1,bay,concave shoreline
Akselholm,1,populated place,populated place
Albæk,2,populated place,populated place
Ålbæk,3,populated place,populated place
Albæk Hoved,1,point,convex shoreline
Albatros,1,shoal,underwater elevation
Albertslund,1,populated place,populated place
Albue Havn,1,bay,concave shoreline
Åle,2,populated place,populated place
Ålebjerg Dyb,1,shoal,underwater elevation
Ålebugt,1,bight,concave shoreline
Ålestrup,1,populated place,populated place
Algestrup,3,populated place,populated place
Ålhammer Bugt,1,bay,concave shoreline
Allerup,6,populated place,populated place
Alleshave,1,populated place,populated place
Allestrup,1,populated place,populated place
Alling Å,2,river,stream
Alling Sø,1,lake,basin
Alme,1,populated place,populated place
Almind Aa,1,river,stream
Almstofte,1,populated place,populated place
Åløse,1,populated place,populated place
Alpedal,1,valley,depression
Alrum,1,populated place,populated place
Als,1,island,island
Als Odde,1,point,convex shoreline
Als Rev,1,shoal,underwater elevation
Alslev,4,populated place,populated place
Alslev Å,1,river,stream
Ålsø,1,populated place,populated place
Alverslev,1,populated place,populated place
Amager,1,island,island
Ammelhede,1,populated place,populated place
Ammesböl,1,populated place,populated place
Ammitsbøl,1,populated place,populated place
Amtoft Rev,1,shoal,underwater elevation
Anbæk,1,populated place,populated place
Andaks,1,populated place,populated place
Andemose Nakke,1,point,convex shoreline
Angantyrshøj,1,hill,elevation
Anglandshøj,1,hill,elevation
Anholt,1,island,island
Anholt,1,island,island
Ans,1,populated place,populated place
Ansager Å,1,river,stream
Ansager Aa,1,river,stream
Århus Å,1,river,stream
Århus Bugt,1,bay,concave shoreline
Arløse Torp,1,populated place,populated place
Arnå,1,river,stream
Arnaa,1,river,stream
Arnager Bugt,1,bight,concave shoreline
Arnager Rev,1,reef,underwater elevation
Arninge,1,populated place,populated place
Arnitlund,1,populated place,populated place
Årø By,1,populated place,populated place
Årøsund,1,populated place,populated place
Arresø,1,lake,basin
Arresødal,1,populated place,populated place
Arsenaløen,1,island,island
As Hoved,1,point,convex shoreline
Asbo,1,populated place,populated place
Åsebro Huse,1,populated place,populated place
Ashøj,2,hill,elevation
Ask,1,populated place,populated place
Askildrup,2,populated place,populated place
Askø,1,island,island
Askov Huse,1,populated place,populated place
Asmindrup,3,populated place,populated place
Asnæs,2,peninsula,convex shoreline
Asnæs Nordvest Flak,1,shoal,underwater elevation
Asnæs Rev,1,reef,underwater elevation
Assing,1,populated place,populated place
Assingløse,1,populated place,populated place
Åsted Å,1,river,stream
Åsund Bugt,1,bay,concave shoreline
Augustenborg Fjord,1,bay,concave shoreline
Avbæk,1,populated place,populated place
Åvbæk Bugt,1,cove,concave shoreline
Avdebo,1,populated place,populated place
Åved,1,populated place,populated place
Avernakke Hage,1,point,convex shoreline
Avernakke Pynt,1,peninsula,convex shoreline
Avernakø,1,island,island
Aversi,1,populated place,populated place
Avnbjerg,1,hill,elevation
Avnø,1,peninsula,convex shoreline
Avnø Røn,1,island,island
Avnø Vig,1,inlet,basin
Avnslev Nederby,1,populated place,populated place
Baagö,1,island,island
Baalhöj,2,hill,elevation
Baalhöje,1,hills,elevated area
Baalsted,1,populated place,populated place
Baaring Vig,1,cove,concave shoreline
Baastrup,2,populated place,populated place
Bække Mose,1,bog,marsh
Bækkelund,1,populated place,populated place
Bælterne,1,strait,strait
Bærsby,1,populated place,populated place
Bagå,1,river,stream
Baggeå,1,river,stream
Baggeaa,1,river,stream
Bågø,1,island,island
Bågo Flak,1,shoal,underwater elevation
Bagsværd Sø,1,lake,basin
Bakkebjerg,1,populated place,populated place
Bålhøj,2,hill,elevation
Bålhøje,1,hills,elevated area
Balke,1,populated place,populated place
Balkensbjærg,1,hill,elevation
Balle,7,populated place,populated place
Ballebo,1,populated place,populated place
Balleshage,1,point,convex shoreline
Bankjel,1,lake,basin
Bardenfleths Grund,1,shoal,underwater elevation
Barfredshøj,1,hill,elevation
Barholm,1,island,island
Båring Vig,1,cove,concave shoreline
Barløse Tårup,1,populated place,populated place
Barneholm,1,island,island
Barritskov By,1,populated place,populated place
Bårse,1,populated place,populated place
Barsø Grund,1,shoal,underwater elevation
Basnæs Havn,1,bay,concave shoreline
Basnæs Nor,1,lagoon,basin
Båstrup,2,populated place,populated place
Bastrup Klint,1,cliff,elevation
Bastrup Sø,1,lake,basin
Bavelse Sø,1,lake,basin
Bavnbjerg,1,hill,elevation
Bavnebakke,3,hill,elevation
Bavnehöj,5,hill,elevation
Bavnehøj,14,hill,elevation
Bavnehöje,1,hill,elevation
Bavnen,4,hill,elevation
Bavnhöj,2,hill,elevation
Bavnshøj,2,hill,elevation
Bavnshøje,1,hill,elevation
Beder,1,populated place,populated place
Bedsø,1,lake,basin
Beistrup,1,populated place,populated place
Belle,1,populated place,populated place
Belts,1,strait,strait
Besser Rev,1,reef,underwater elevation
Biersted,1,populated place,populated place
Biesbakke,1,hill,elevation
Biesbanke,1,hill,elevation
Bildsøstrand,1,beach,shoreline
Billes Grunde,1,shoal,underwater elevation
Biltoft,1,populated place,populated place
Binderup Strand,1,populated place,populated place
Birkede,1,populated place,populated place
Birkmose,1,populated place,populated place
Birksø,1,lake,basin
Bisbakke,1,hill,elevation
Bjælkehoved,1,point,convex shoreline
Bjærgelide,1,hills,elevated area
Bjærget,2,hill,elevation
Bjærgskov,1,hill,elevation
Bjærskov,1,hill,elevation
Bjæverskov,1,populated place,populated place
Bjelkes Flak,1,shoal,underwater elevation
Bjergemark,1,populated place,populated place
Bjergskov,1,hill,elevation
Bjerlev,1,populated place,populated place
Bjerndrup Mølleå,1,river,stream
Bjerregrav,1,populated place,populated place
Bjerremose,1,populated place,populated place
Bjørnen,1,shoal,underwater elevation
Bjørnkær,1,bog,marsh
Bjørnø,1,island,island
Bjørnø Holme Flak,1,shoal,underwater elevation
Bjørnsholm Å,1,river,stream
Bjørnsholm Aa,1,river,stream
Bjørnsknude,1,point,convex shoreline
Bjørnsknude Rev,1,shoal,underwater elevation
Blaabæks Mølle,1,populated place,populated place
Blaabjærg,1,hill,elevation
