place_category,beginning
basin,Ska
basin,Lang
concave shoreline,Kal
convex shoreline,Sta
convex shoreline,Ska
convex shoreline,Næb
convex shoreline,Hel
convex shoreline,Bro
convex shoreline,Tre
convex shoreline,Træ
convex shoreline,Hals
convex shoreline,Bren
convex shoreline,Lyng
convex shoreline,Lang
convex shoreline,Hest
convex shoreline,Sten
elevated area,Mul
elevation,Ska
elevation,Ege
elevation,Ris
elevation,Har
elevation,Bro
elevation,Bol
elevation,Vit
elevation,Vol
elevation,Syn
elevation,Sten
elevation,Kong
elevation,Stag
elevation,Lind
elevation,Skov
elevation,Karl
elevation,Salg
elevation,Sand
elevation,Bulb
elevation,Skær
elevation,Bjær
elevation,Tren
elevation,Hell
elevation,Lange
elevation,Bavne
elevation,Trold
elevation,Præst
elevation,Magle
elevation,Mølle
island,Bor
island,Esk
island,Hir
island,Nor
island,Hyl
island,Røn
island,Vej
island,Vig
island,Mejl
island,Lang
island,Fugl
island,Fries
island,Hjælm
populated place,Sta
populated place,Ska
populated place,Hol
populated place,Hav
populated place,Bre
populated place,Hal
populated place,Bro
populated place,Rør
populated place,Bra
populated place,Lis
populated place,Ris
populated place,Var
populated place,Sal
populated place,Eng
populated place,Kol
populated place,Bru
populated place,Gra
populated place,Kar
populated place,Øst
populated place,Hov
populated place,Tan
populated place,Hva
populated place,Ged
populated place,Dal
populated place,Kli
populated place,Kas
populated place,Gel
populated place,Ege
populated place,Dyb
populated place,Vib
populated place,Mul
populated place,Rav
populated place,Dyr
populated place,Amm
populated place,Ell
populated place,San
populated place,Sej
populated place,Sel
populated place,Ser
populated place,Lad
populated place,Bræ
populated place,Ski
populated place,Skj
populated place,Hør
populated place,Skå
populated place,Øru
populated place,Hej
populated place,Ask
populated place,Fri
populated place,Stu
populated place,Stø
populated place,Sve
populated place,Lil
populated place,Tod
populated place,Ham
populated place,Tor
populated place,Bal
populated place,Van
populated place,Vej
populated place,Ven
populated place,Hin
populated place,Kob
populated place,Tol
populated place,Sten
populated place,Skov
populated place,Nord
populated place,Bjer
populated place,Hors
populated place,Fjel
populated place,Lang
populated place,Vind
populated place,Vran
populated place,Katt
populated place,Haar
populated place,Mose
populated place,Gund
populated place,Hvid
populated place,Ager
populated place,Lyng
populated place,Alle
populated place,Skel
populated place,Tran
populated place,Vall
populated place,Lunde
populated place,Linde
populated place,Ville
populated place,Kelde
populated place,Kirke 
populated place,Hiller
populated place,Gammel
populated place,Harres
populated place,Strand
populated place,Vester
stream,Hal
stream,Hvi
stream,Bre
stream,Ski
stream,Bag
underwater elevation,Ska
underwater elevation,Hal
underwater elevation,Nord
underwater elevation,Røde
underwater elevation,Lyse
underwater elevation,Kors
underwater elevation,Sand
underwater elevation,Sten
underwater elevation,Holm
underwater elevation,Bjørn
