place_category,ending
basin,nsø
basin,rsø
basin,lsø
basin,rde
basin,ing
basin,gård
basin,resø
basin,lesø
basin,strup
basin,gaard
basin,angsø
concave shoreline,bæk
concave shoreline,næs
concave shoreline,evig
concave shoreline,borg
concave shoreline,krog
concave shoreline,bing
concave shoreline,lvig
concave shoreline,strup
concave shoreline,minde
convex shoreline,lle
convex shoreline,ens
convex shoreline,ing
convex shoreline,rne
convex shoreline,ger
convex shoreline,snæs
convex shoreline,gnæs
convex shoreline,toft
convex shoreline,skov
convex shoreline,borg
convex shoreline,enæs
convex shoreline,land
convex shoreline,rnæs
convex shoreline,shage
convex shoreline,eholm
convex shoreline,ehage
convex shoreline,sodde
convex shoreline,eodde
convex shoreline,ehoved
convex shoreline,sbjerg
convex shoreline,serodde
convex shoreline,dshoved
depression,edal
elevated area,høje
elevated area,bjærge
elevated area,lbjerge
elevation,sen
elevation,nen
elevation,ene
elevation,lhøj
elevation,dhøj
elevation,höje
elevation,skov
elevation,vhøj
elevation,ghøj
elevation,banke
elevation,enhøj
elevation,strup
elevation,shøje
elevation,lehøj
elevation,eshøj
elevation,dshøj
elevation,nehöj
elevation,erhøj
elevation,ehøje
elevation,nehøj
elevation,gshøj
elevation,emose
elevation,sbjerg
elevation,sbjærg
elevation,lbjerg
elevation,eklint
elevation,sbakke
elevation,ebakke
elevation,lbjærg
elevation,sklint
elevation,tbjærg
elevation,kesten
elevation,tbjerg
elevation,dbjærg
elevation,rbjerg
elevation,gbjerg
elevation,gebjerg
elevation,enbjerg
elevation,gebjærg
elevation,rebjerg
elevation,kebjerg
elevation,ndbjerg
elevation,tebjerg
elevation,nebjærg
elevation,nebjerg
elevation,debjerg
elevation,lebjerg
elevation,enbjærg
island,lsø
island,rnø
island,ndø
island,rsø
island,røn
island,erne
island,inge
island,tholm
island,lholm
island,holme
island,rholm
island,dholm
island,kholm
island,hoved
island,aland
island,deholm
island,neholm
island,reholm
island,nsholm
island,olmene
marsh,kjær
marsh,emose
populated place,kær
populated place,sby
populated place,rum
populated place,vad
populated place,næs
populated place,ade
populated place,dal
populated place,hus
populated place,num
populated place,ens
populated place,ten
populated place,gen
populated place,dby
populated place,der
populated place,dsø
populated place,høj
populated place,ebo
populated place,led
populated place,eje
populated place,ken
populated place,bro
populated place,gård
populated place,holt
populated place,ager
populated place,erby
populated place,arup
populated place,kjær
populated place,lbæk
populated place,else
populated place,reby
populated place,erød
populated place,have
populated place,ster
populated place,toft
populated place,holm
populated place,hede
populated place,rlev
populated place,sbøl
populated place,rvig
populated place,ørup
populated place,ndum
populated place,ende
populated place,ding
populated place,vraa
populated place,ælde
populated place,årup
populated place,irke
populated place,elev
populated place,ense
populated place,sund
populated place,llum
populated place,jrup
populated place,vang
populated place,orup
populated place,elby
populated place,ning
populated place,rild
populated place,rbæk
populated place,lling
populated place,gaard
populated place,elund
populated place,dskov
populated place,ttrup
populated place,serup
populated place,rring
populated place,balle
populated place,dsted
populated place,magle
populated place,hoved
populated place,emose
populated place,gsted
populated place,linge
populated place,gerup
populated place,shuse
populated place,rmark
populated place,marke
populated place,egrav
populated place,nborg
populated place,berup
populated place,lunde
populated place,lslev
populated place,slund
populated place,rløse
populated place,nsved
populated place,estrup
populated place,erslev
populated place,dstrup
populated place,lbjærg
populated place,ustrup
populated place,ebjerg
populated place,sbjerg
populated place,stofte
populated place,istrup
populated place,erskov
populated place,ttinge
populated place,nstrup
populated place,rninge
populated place,elsted
populated place,geskov
populated place,endrup
populated place,åstrup
populated place,skilde
populated place,lbjerg
populated place,ebølle
populated place,nnerup
populated place,ersted
populated place,rgårde
populated place,ndbjærg
populated place,inderup
populated place,sgaarde
populated place,ldbjerg
populated place,ngstrup
populated place,rreslev
populated place,aastrup
populated place,jellerup
populated place,rridslev
populated place,strup
shoreline,strand
strait,dyb
strait,ælt
stream,saa
stream,rby
stream,leå
stream,ing
stream,hus
stream,ver
stream,ved
stream,erup
stream,ager
stream,ebæk
stream,lbæk
stream,ilde
stream,slev
stream,sbæk
stream,inge
stream,deaa
stream,sholm
stream,lsted
underwater elevation,rev
underwater elevation,bæk
underwater elevation,erg
underwater elevation,ken
underwater elevation,nge
underwater elevation,ter
underwater elevation,ers
underwater elevation,len
underwater elevation,lke
underwater elevation,holm
underwater elevation,skov
underwater elevation,sand
underwater elevation,agen
underwater elevation,flak
underwater elevation,hage
underwater elevation,erup
underwater elevation,nden
underwater elevation,snæs
underwater elevation,hoved
underwater elevation,banke
underwater elevation,lgrund
underwater elevation,grunde
underwater elevation,degrund
underwater elevation,ergrund
