name,frequency,place_type,place_category
’s-Gravendeel,1,populated place,populated place
’s-Gravenhage,1,populated place,populated place
’s-Gravenmoer,1,populated place,populated place
’s-Gravenweg,1,populated place,populated place
’s-Gravesloot,1,populated place,populated place
’s-Heer-Abtskerke,1,populated place,populated place
’s-Heerenberg,1,populated place,populated place
’s-Hertogenbosch,1,populated place,populated place
’t Bovenwater,1,lake,basin
’t Haagje,1,populated place,populated place
’t Heike,1,populated place,populated place
’t Horntje,1,populated place,populated place
’t Kalf,1,populated place,populated place
’t Kret,1,populated place,populated place
’t Mallegat,1,channel,strait
’t Molenven,1,lake,basin
’t Oever,1,populated place,populated place
’t Slot,1,populated place,populated place
’t Waar,1,populated place,populated place
’t Wasmeer,1,lake,basin
’t Wijbosch,2,populated place,populated place
’t Zand,8,populated place,populated place
’t Zandt,1,populated place,populated place
Aabeek,1,river,stream
Aagtdorp,1,populated place,populated place
Aaijen,1,populated place,populated place
Aan de Berg,2,populated place,populated place
Aan de Popelaar,1,populated place,populated place
Aardbeieneiland,1,island,island
Aartwoud,1,populated place,populated place
Aastrang,1,river,stream
Abbengawier,1,populated place,populated place
Abcoven,1,populated place,populated place
Achter-Thesinge,1,populated place,populated place
Achtereind,1,populated place,populated place
Achterste Brug,1,populated place,populated place
Achterste Distelberg,1,populated place,populated place
Achterste Stroom,1,river,stream
Achterste Veen,1,pond,basin
Acquoy,1,populated place,populated place
Aegum,1,populated place,populated place
Aerdt,1,populated place,populated place
Afsched,1,populated place,populated place
Akkerput,1,populated place,populated place
Alfen,3,populated place,populated place
Alfen-Boschoven,1,populated place,populated place
Allersma,1,populated place,populated place
Almere,1,populated place,populated place
Alphen-Oosterwijk,1,populated place,populated place
Alphensche Bergen,1,hills,elevated area
Ameland,1,island,island
Amsen,1,populated place,populated place
Amstel,1,river,stream
Amstelmere,1,lake,basin
Andelse Maas,1,river,stream
Andhuizerbeek,1,river,stream
Anewiel,1,lake,basin
Angelsloo,1,populated place,populated place
Annen,1,populated place,populated place
Anreeperdiep,1,river,stream
Apenhuizen,1,populated place,populated place
Archemerberg,1,hill,elevation
Arensgenhout,1,populated place,populated place
Arkum,1,populated place,populated place
Asenraij,1,populated place,populated place
Asschat,1,populated place,populated place
Astbeek,1,river,stream
Astrang,1,river,stream
Averlo,1,populated place,populated place
Ayen,1,populated place,populated place
Azenray,1,populated place,populated place
Baakse Beek,1,river,stream
Baalder,1,populated place,populated place
Baardburen,1,populated place,populated place
Baarle-Nassau,1,populated place,populated place
Baarstraat,1,populated place,populated place
Badhoevedorp,1,populated place,populated place
Bakel,1,populated place,populated place
Bakendorp,1,populated place,populated place
Bakkeveen,1,populated place,populated place
Balgoij,2,populated place,populated place
Balmahuizen,1,populated place,populated place
Banholt,1,populated place,populated place
Bankert,1,populated place,populated place
Bargen,1,populated place,populated place
Barlage,1,populated place,populated place
Barlosche Kolken,1,lakes,basin
Barnflair,1,populated place,populated place
Basse,1,populated place,populated place
Bavelsche Leij,1,river,stream
Beer,1,cape,convex shoreline
Beerkanaal,1,channel,strait
Beerschoten,1,populated place,populated place
Beersdal,1,populated place,populated place
Beersdonk,1,populated place,populated place
Beerten,1,populated place,populated place
Beertsenhoven,1,populated place,populated place
Beetstersweach,1,populated place,populated place
Beinsdorp,1,populated place,populated place
Belfeld,1,populated place,populated place
Belvert,1,populated place,populated place
Bendersche Berg,1,hill,elevation
Benderse,1,populated place,populated place
Beneden-Haastrecht,1,populated place,populated place
Bent,1,populated place,populated place
Berchem,1,populated place,populated place
Berendonkloop,1,river,stream
Bergsche Plassen,1,lakes,basin
Bergse Plassen,1,lakes,basin
Beringerhoek,1,populated place,populated place
Bestmenerberg,1,hill,elevation
Beugt,1,populated place,populated place
Beverwijk,1,populated place,populated place
Biesbosch,1,pond,basin
Biest,1,populated place,populated place
Biezelinge,1,populated place,populated place
Bijdinkel,1,river,stream
Bijlands Kanaal,1,channel,strait
Bijvanck,1,populated place,populated place
Bilgaerd,1,populated place,populated place
Billinghuizen,1,populated place,populated place
Binnen Liede,1,lake,basin
Binnenwiel,1,lake,basin
Birk,1,populated place,populated place
Bisschopsberg,1,hills,elevated area
Bizonbaai,1,lake,basin
Blaasbalg,1,populated place,populated place
Blankenburg,1,populated place,populated place
Blankenham,1,populated place,populated place
Blauwe Hoofd,1,point,convex shoreline
Bleiswijk Meeren,1,lakes,basin
Bleiswijkse Meeren,1,lakes,basin
Blitterswijk,1,populated place,populated place
Bloemhof,1,populated place,populated place
Blokdijk,1,populated place,populated place
Blokland,2,populated place,populated place
Bobeldijk,1,populated place,populated place
Boerelaan,1,populated place,populated place
Boevenheuvel,1,populated place,populated place
Bolksbeek,1,river,stream
Bollingawier,1,populated place,populated place
Bombrekken,1,cove,concave shoreline
Bommeer,1,lake,basin
Bonrepas,1,populated place,populated place
Bontemorgen,1,populated place,populated place
Boornzwaag over de Wielen,1,populated place,populated place
Born,1,populated place,populated place
Boschberg,1,hill,elevation
Boschhuizerbergen,1,hills,elevated area
Boschkens,1,populated place,populated place
Boshuizen,1,populated place,populated place
Bosje,1,populated place,populated place
Bosschenhoofd,1,populated place,populated place
Boterveen,1,populated place,populated place
Boukoul,1,populated place,populated place
Boven Tjonger,1,river,stream
Bovenrijge,1,populated place,populated place
Bowgraven,1,populated place,populated place
Boxmeer,1,populated place,populated place
Braakhoek,1,populated place,populated place
Braakpeel,1,populated place,populated place
Braambosch,1,populated place,populated place
Brammelo,1,populated place,populated place
Brandemeer,1,lake,basin
Brantgum,1,populated place,populated place
Breede Gat,1,channel,strait
Breede Gooi,1,river,stream
Breemortel,1,populated place,populated place
Bremerbergse Hoek,1,point,convex shoreline
Breust,1,populated place,populated place
Brieische Gat,1,inlet,basin
Briel,1,populated place,populated place
Brinkhorst,1,populated place,populated place
Brinkmanshoek,1,populated place,populated place
Britswerd,1,populated place,populated place
Broek op Langendijk,1,populated place,populated place
Broeksche Beek,1,river,stream
Bronkhorst,1,populated place,populated place
Bronnegerveen,1,populated place,populated place
Broodberg,1,hill,elevation
Brug,1,populated place,populated place
Bruggen,3,populated place,populated place
Bruggenmors,1,populated place,populated place
Brunsbergen,1,populated place,populated place
Brunsting,1,populated place,populated place
Brunstingerplassen,1,lakes,basin
Buiten Liede,1,lake,basin
Buitenbanken,1,shoal,underwater elevation
Buitenkaag,1,populated place,populated place
Bunne,1,populated place,populated place
Burgemeester Beinsdorp,1,populated place,populated place
Bussel,1,populated place,populated place
Buurserveen,1,marsh,marsh
Cadier en Keer,1,populated place,populated place
Calfven,1,populated place,populated place
Camerig,1,populated place,populated place
Canisvlietsche Kreek,1,river,stream
Capelle aan den IJssel,1,populated place,populated place
Carolusbankje,1,shoal,underwater elevation
Castelre,1,populated place,populated place
Castricum aan Zee,1,populated place,populated place
Catrijp,1,populated place,populated place
Cillaarshoek,1,populated place,populated place
Coelhorst,1,populated place,populated place
Colijnsplaat,1,populated place,populated place
Cothergrift,1,river,stream
Crailoo,1,populated place,populated place
Craubeek,1,populated place,populated place
Crob,1,populated place,populated place
Dal,1,populated place,populated place
Dauwendaele,1,populated place,populated place
Davidsplassen,1,lakes,basin
De Aa Rivière,1,river,stream
De Aspert,1,populated place,populated place
De Bedelaar,1,lake,basin
De Beer,1,cape,convex shoreline
De Beerze,2,river,stream
De Beneden Merewede,1,river,stream
De Binnen-Moerdijk,1,populated place,populated place
De Blesse,1,populated place,populated place
De Brilletjes,1,pond,basin
De Dode Hond,1,island,island
De Dommel,1,river,stream
De Donge,1,river,stream
De Donk,1,populated place,populated place
De Eem,1,river,stream
De Galgenberg,1,hill,elevation
De Geul,1,river,stream
De Gouwzee,1,bay,concave shoreline
De Hamert,1,populated place,populated place
De Hees,3,populated place,populated place
De Hei,1,populated place,populated place
De Heibloem,1,populated place,populated place
De Heide,2,populated place,populated place
De Heiplaat,1,populated place,populated place
De Hilte,1,populated place,populated place
De Hoeve,1,populated place,populated place
De Hooge Wegen,1,populated place,populated place
De Hoorn,2,populated place,populated place
De Horn,1,populated place,populated place
De IJzeren Man,2,lake,basin
De Inlaag,1,populated place,populated place
De Keersop,1,river,stream
De Klosse,1,populated place,populated place
De Klotterpeel,1,marsh,marsh
De Kom,1,channel,strait
De Kreek,1,river,stream
De Kruisberg,1,hill,elevation
De Kwak,1,island,island
