name,place_category,frequency
Aa Rivière,stream,1
Aabeek,stream,1
Aagtdorp,populated place,1
Aaijen,populated place,1
Aardbeieneiland,island,1
Aartwoud,populated place,1
Aastrang,stream,1
Abbengawier,populated place,1
Abcoven,populated place,1
Achter Thesinge,populated place,1
Achtereind,populated place,1
Achterste,basin,1
Achterste Brug,populated place,1
Achterste Distelberg,populated place,1
Achterste Stroom,stream,1
Acquoy,populated place,1
Aegum,populated place,1
Aerdt,populated place,1
Afsched,populated place,1
Akkerput,populated place,1
Alfen,populated place,3
Alfen Boschoven,populated place,1
Allersma,populated place,1
Almere,populated place,1
Alphen Oosterwijk,populated place,1
Alphensche,elevated area,1
Ameland,island,1
Ammers,populated place,1
Amsen,populated place,1
Amstel,stream,2
Amstelmere,basin,1
Andelse Maas,stream,1
Andhuizerbeek,stream,1
Anewiel,basin,1
Angelsloo,populated place,1
Annen,populated place,1
Anreeperdiep,stream,1
Apel,populated place,1
Apenhuizen,populated place,1
Archemerberg,elevation,1
Arensgenhout,populated place,1
Arkum,populated place,1
Asenraij,populated place,1
Aspert,populated place,1
Asschat,populated place,1
Astbeek,stream,1
Astrang,stream,1
Averlo,populated place,1
Ayen,populated place,1
Azenray,populated place,1
Baakse,stream,1
Baalder,populated place,1
Baardburen,populated place,1
Baarle Nassau,populated place,1
Baarlo,populated place,1
Baarstraat,populated place,1
Badhoevedorp,populated place,1
Bakel,populated place,1
Bakendorp,populated place,1
Bakkeveen,populated place,1
Balgoij,populated place,2
Balmahuizen,populated place,1
Banholt,populated place,1
Bankert,populated place,1
Bargen,populated place,1
Barlage,populated place,1
Barlosche Kolken,basin,1
Barnflair,populated place,1
Basse,populated place,1
Bavelsche,stream,1
Bedelaar,basin,1
Beer,convex shoreline,2
Beerkanaal,strait,1
Beerschoten,populated place,1
Beersdal,populated place,1
Beersdonk,populated place,2
Beerta,populated place,1
Beerten,populated place,1
Beertsenhoven,populated place,1
Beetstersweach,populated place,1
Beinsdorp,populated place,1
Belfeld,populated place,1
Belvert,populated place,1
Bendersche,elevation,1
Benderse,populated place,1
Beneden Haastrecht,populated place,1
Beneden Merewede,stream,1
Benedenvliet,stream,1
Bent,populated place,1
Berchem,populated place,1
Berendonkloop,stream,1
Bergsche Plassen,basin,1
Bergse Plassen,basin,1
Beringerhoek,populated place,1
Berkt,populated place,1
Bestmenerberg,elevation,1
Beugt,populated place,1
Beveland,island,1
Beverwijk,populated place,1
Biesbosch,basin,1
Biest,populated place,1
Biezelinge,populated place,1
Bijdinkel,stream,1
Bijlands Kanaal,strait,1
Bijvanck,populated place,1
Bildtdijk,populated place,1
Bilgaerd,populated place,1
Billinghuizen,populated place,1
Binnen Liede,basin,1
Binnen Moerdijk,populated place,1
Binnenwiel,basin,1
Birk,populated place,1
Bisschopsberg,elevated area,1
Bizonbaai,basin,1
Blaasbalg,populated place,1
Blankenburg,populated place,1
Blankenham,populated place,1
Blauwe Hoofd,convex shoreline,1
Bleiswijk,basin,1
Bleiswijkse,basin,1
Blesse,populated place,1
Blitterswijk,populated place,1
Bloemhof,populated place,1
Blokdijk,populated place,1
Blokland,populated place,2
Bobeldijk,populated place,1
Boerelaan,populated place,1
Boevenheuvel,populated place,1
Bolksbeek,stream,1
Bollingawier,populated place,1
Bombrekken,concave shoreline,1
Bommeer,basin,1
Bonrepas,populated place,1
Bontemorgen,populated place,1
Boornzwaag Over De Wielen,populated place,1
Borgvliet,populated place,1
Born,populated place,1
Boschberg,elevation,1
Boschhuizerbergen,elevated area,1
Boschkens,populated place,1
Boshuizen,populated place,1
Bosje,populated place,1
Bosschenhoofd,populated place,1
Boterveen,populated place,1
Boukoul,populated place,1
Boven Tjonger,stream,1
Bovenrijge,populated place,1
Bovenwater,basin,1
Bowgraven,populated place,1
Boxmeer,populated place,1
Braak,basin,1
Braakhoek,populated place,1
Braakpeel,populated place,1
Braambosch,populated place,1
Brammelo,populated place,1
Brandemeer,basin,1
Brantgum,populated place,1
Breede,strait,1
Breede Gooi,stream,1
Breemortel,populated place,1
Brekken,basin,2
Bremerbergse,convex shoreline,1
Breust,populated place,1
Brieische,basin,1
Briel,populated place,1
Brilletjes,basin,1
Brinkhorst,populated place,1
Brinkmanshoek,populated place,1
Britswerd,populated place,1
Broek Op Langendijk,populated place,1
Broeksche,stream,1
Brongerga,populated place,1
Bronkhorst,populated place,1
Bronnegerveen,populated place,1
Broodberg,elevation,1
Brug,populated place,1
Bruggen,populated place,3
Bruggenmors,populated place,1
Brunsbergen,populated place,1
Brunsting,populated place,1
Brunstingerplassen,basin,1
Buiten Liede,basin,1
Buitenbanken,underwater elevation,1
Buitenkaag,populated place,1
Bunne,populated place,1
Burgemeester Beinsdorp,populated place,1
Bussel,populated place,1
Buurlo,populated place,1
Buurserveen,marsh,1
Caberg,populated place,1
Cadier En,populated place,1
Calfven,populated place,1
Camerig,populated place,1
Canisvlietsche,stream,1
Capelle Aan Den Ijssel,populated place,1
Carolusbankje,underwater elevation,1
Castelre,populated place,1
Castricum Aan,populated place,1
Catrijp,populated place,1
Cillaarshoek,populated place,1
Coelhorst,populated place,1
Colijnsplaat,populated place,1
Cothergrift,stream,1
Crailoo,populated place,1
Craubeek,populated place,1
Crob,populated place,1
Dal,populated place,1
Dauwendaele,populated place,1
Davidsplassen,basin,1
Deelen,populated place,1
Delden,populated place,2
Demmerik,populated place,1
