place_category,ending
basin,ven
basin,sche
basin,wiel
basin,veen
basin,emeer
basin,water
basin,oelen
basin,skolk
basin,ermeer
basin,erplas
basin,plassen
convex shoreline,ehoek
convex shoreline,erhoek
elevated area,gen
elevation,sche
elevation,tberg
elevation,kenberg
elevation,lenberg
elevation,tenberg
elevation,pelberg
elevation,lerberg
elevation,jesberg
elevation,zenberg
elevation,schberg
elevation,terberg
elevation,enheuvel
island,eland
island,polle
island,eiland
marsh,ven
marsh,veen
populated place,ert
populated place,loo
populated place,sen
populated place,est
populated place,tum
populated place,ens
populated place,sse
populated place,elo
populated place,ing
populated place,weg
populated place,rlo
populated place,kel
populated place,oer
populated place,ien
populated place,ooi
populated place,erk
populated place,eel
populated place,hem
populated place,aag
populated place,ein
populated place,lum
populated place,pen
populated place,sem
populated place,ost
populated place,nne
populated place,aan
populated place,pel
populated place,hel
populated place, En
populated place,dam
populated place,rde
populated place,beek
populated place,huis
populated place,oord
populated place,elen
populated place,werd
populated place,inge
populated place,meer
populated place,donk
populated place,eers
populated place,aard
populated place,erik
populated place,ssel
populated place,eide
populated place,rade
populated place,horn
populated place,oort
populated place,rsel
populated place,zijl
populated place,wier
populated place,rten
populated place,kant
populated place,woud
populated place,eken
populated place,erum
populated place,mmen
populated place,veer
populated place,laat
populated place,oorn
populated place,olte
populated place,stel
populated place,hout
populated place,wold
populated place,ijen
populated place,sluis
populated place,horst
populated place,buurt
populated place,wolde
populated place,eveen
populated place,bosch
populated place,hoven
populated place,edijk
populated place,molen
populated place,elaar
populated place,horne
populated place,sberg
populated place,vaart
populated place,buren
populated place,teren
populated place,older
populated place,sland
populated place,rmond
populated place,hoofd
populated place,eweer
populated place,einde
populated place,reind
populated place,kerke
populated place,uinen
populated place,sdijk
populated place,ingen
populated place,swijk
populated place,edorp
populated place,erveld
populated place,endijk
populated place,straat
populated place,ebroek
populated place,enberg
populated place,wierda
populated place,landen
populated place,enhoek
populated place,gvliet
populated place,ershoek
populated place,erbroek
populated place,endijke
populated place,sbergen
populated place,ndrecht
populated place,nenburg
populated place,ahuizen
populated place,terbrug
populated place,terveen
populated place,enheuvel
populated place,huizen
populated place,inghuizen
strait,diep
strait,aven
strait,kanaal
stream,ing
stream,rne
stream,cht
stream,loop
stream,inge
stream,ksche
stream,sbeek
stream,lsche
stream,ebeek
stream,inkel
stream,troom
stream,tsche
stream,erdiep
stream,enbeek
stream,skreek
stream,ldsche
stream,ensche
stream,ersche
stream,sterbeek
