name,place_category,frequency
Abbas,populated place,1
Abbot,populated place,1
Abbots,elevation,1
Abbots,populated place,1
Abbott,populated place,1
Abbotts Ann,populated place,1
Achurch,populated place,1
Aconbury,populated place,1
Acre,populated place,1
Adamant,underwater elevation,1
Adbaston,populated place,1
Agnes,convex shoreline,1
Agnes,populated place,1
Aikton,populated place,1
Aire,convex shoreline,1
Akenshaw,stream,1
Alabans,convex shoreline,1
Albans,convex shoreline,1
Albans,underwater elevation,1
Alde,stream,2
Aldershot,populated place,1
Aldhelms,convex shoreline,1
Alfold,populated place,1
Alfreton,populated place,1
Allington,populated place,3
Allonby,concave shoreline,1
Allonby,populated place,1
Alms,elevation,2
Aln,stream,2
Alnmouth,concave shoreline,1
Alnmouth,elevation,1
Alpheton,populated place,1
Alport,stream,2
Althorne,populated place,1
Alum,concave shoreline,1
Alvescot,populated place,1
Alwin,stream,2
Alwyn,stream,1
Amber,populated place,1
Ambleside,populated place,1
Ambrosden,populated place,1
Amersham,populated place,1
Ancaster,populated place,1
Anderby,populated place,1
Andover,elevation,1
Anker,stream,2
Annes,populated place,1
Ant,stream,2
Anthony,convex shoreline,2
Anthony,populated place,1
Anvil,convex shoreline,1
Appersett,populated place,1
Arbury,elevation,1
Arford,populated place,1
Arkle,stream,1
Armitage,populated place,1
Arne,populated place,1
Artle,stream,1
Ashdon,populated place,1
Asheldham,populated place,1
Ashington,populated place,1
Ashley,populated place,5
Ashop,stream,2
Ashperton,populated place,1
Ashreigney,populated place,1
Aslackby,populated place,1
Asp,elevation,1
Astwood,populated place,1
Atherfield,convex shoreline,1
August,elevation,1
Austell,concave shoreline,2
Austell,populated place,1
Aveton,populated place,1
Aydon,populated place,1
Aynho,populated place,1
Babbacombe,concave shoreline,1
Baconsthorpe,populated place,1
Badlesmere,populated place,1
Badwell Ash,populated place,1
Baggy,convex shoreline,1
Bagthorpe,populated place,1
Bain,stream,2
Balaclava,concave shoreline,1
Balder,stream,2
Baldersby,populated place,1
Ball,populated place,1
Ballard,convex shoreline,1
Ballsaddle,underwater elevation,1
Bamburgh,populated place,1
Bann,underwater elevation,1
Bannisdale,stream,1
Banstead,populated place,1
Barby,populated place,1
Bardsea,underwater elevation,1
Barford,populated place,1
Barford Saint,populated place,1
Barksea,island,1
Barlaston,populated place,1
Barle,stream,2
Barley Picle,strait,1
Barlow,stream,1
Barnardiston,populated place,1
Barnstaple,concave shoreline,1
Barnstaple,underwater elevation,1
Barnyard,underwater elevation,2
Barrington,populated place,3
Barrow,elevation,1
Barrow,populated place,1
Barrow In Furness,populated place,1
Barrows,elevation,1
Barsham,populated place,1
Barton,elevation,1
Barton,populated place,8
Barway,populated place,1
Base,underwater elevation,1
Bass,convex shoreline,1
Bassenthwaite,basin,1
Basset,elevation,1
Battersby,populated place,1
Battery,convex shoreline,1
Baugh,elevation,1
Baumber,populated place,1
Bawburgh,populated place,1
Bawden,elevation,1
Bays,strait,1
Bayton,populated place,1
Beadnel,concave shoreline,1
Beadnel,convex shoreline,1
Beadnell,concave shoreline,1
Beadnell,convex shoreline,1
Beane,stream,2
Beasden,stream,1
Beaulieu,stream,2
Beckfoot,underwater elevation,2
Bedford,populated place,1
Bedford Level,area,1
Bedruthan,elevation,1
Beeny Sisters,elevation,1
Beer,convex shoreline,1
Beeston Saint Lawrence,populated place,1
Bekesbourne,populated place,1
Bellows,underwater elevation,1
Bells,stream,1
Belsay,populated place,1
Beltinge,concave shoreline,1
Beltinge,populated place,1
Belton,populated place,3
Bembridge,convex shoreline,1
Benacre,convex shoreline,1
Bennington,populated place,1
Bere Alston,populated place,1
Berkhampstead,populated place,2
Bernard,underwater elevation,1
Berry,convex shoreline,1
Berwick,concave shoreline,1
Bessack,elevation,1
Betchworth,populated place,1
Beult,stream,2
Beverstone,populated place,1
Bewl,stream,2
Bibury,populated place,1
Bickford,populated place,1
Bickington,populated place,1
Biddestone,populated place,1
Biddulph,populated place,1
Bideford,concave shoreline,1
Bideford,underwater elevation,1
Bidford,populated place,1
Big,island,1
Bigbury,concave shoreline,1
Bight,strait,1
Bill,convex shoreline,1
Bill,convex shoreline,1
Billingborough,populated place,1
Billingford,populated place,1
Bilsdale,depression,1
Binegar,populated place,1
Bink,elevated area,1
Birbury,populated place,1
Bircham,populated place,1
Birchanger,populated place,1
Birdbrook,populated place,1
Birdlip,populated place,1
Birk,stream,1
Birtley,populated place,1
Bishop,populated place,1
Bishop Sutton,populated place,1
Bishopdale,depression,1
Bisset,populated place,1
Bix,populated place,1
Bizzies,underwater elevation,1
Blacka,stream,1
Blackdyke,underwater elevation,1
Blackgang,depression,1
Blackhall,elevation,2
Blackleg,elevation,1
Blackmore,populated place,1
Blacknor,convex shoreline,1
Blackwater,stream,2
Blakehope,stream,1
Blakeney,convex shoreline,1
Blanchland,populated place,1
Blankney,populated place,1
Blea,convex shoreline,1
Blea,stream,1
Bleaklow,elevation,1
Blencathara,elevation,1
Blencathra,elevation,1
Blue Anchor,concave shoreline,1
Blue Anchor,populated place,1
Blyford,populated place,1
Boa,underwater elevation,1
Boarstall,populated place,1
Bob Halls,underwater elevation,1
Bodruthan,elevation,1
Boltongate,populated place,1
Bondicar,underwater elevation,1
Bondicarr,underwater elevation,1
Bonington,populated place,1
Bookham,populated place,1
Bootle,elevation,1
Borehamwood,populated place,1
Borough,island,1
Borrowdale,depression,1
Botallack,convex shoreline,1
Botallack,populated place,1
Botany,concave shoreline,1
Bourn,populated place,2
Bourne,stream,2
Bourton On Dunsmore,populated place,1
Bouthwaite,populated place,1
Bovey,stream,2
Bovey Tracey,populated place,1
Bowers,populated place,1
Bowleaze,concave shoreline,1
Bowmont,stream,1
Bowness On Windermere,populated place,1
Boxted,populated place,2
Bradfield,populated place,2
Bradley In The Moors,populated place,1
Brae,convex shoreline,1
Brailsford,populated place,1
Brake,underwater elevation,2
Bramcote,populated place,1
Bramford,populated place,1
Bramshot,populated place,1
Bran,convex shoreline,1
Brancaster,concave shoreline,1
Brancaster,populated place,1
Brandon,stream,1
Brandy,convex shoreline,1
Branksea,island,1
Bransdale,depression,1
Bransgore,populated place,1
Brant Broughton,populated place,1
Brathay,stream,2
Brauncewell,populated place,1
Braunton Burrows,elevated area,1
Braxted,populated place,1
Bray,stream,2
Braybrooke,populated place,1
Breage,populated place,1
Breamish,stream,2
Brean,convex shoreline,1
Bredy,populated place,1
Brendon,elevated area,1
Brennand,stream,2
Brent,stream,1
Brent Pelham,populated place,1
Breock,elevation,1
Breocks,elevation,1
Brett,stream,2
Brewers,populated place,1
Bridgemarsh,island,1
Bridgetown,populated place,1
Bridgewater,concave shoreline,1
Bridgford,populated place,1
