name,frequency,place_type,place_category
Aardla Järv,1,lake,basin
Aasa,2,populated place,populated place
Ääsmäe Raba,1,bog,marsh
Abissaare,1,populated place,populated place
Abro,1,island,island
Abruk,1,island,island
Abruka,1,island,island
Abruka,1,island,island
Adavere,1,populated place,populated place
Adila-Krimmi,1,populated place,populated place
Adila-Tagaküla,1,populated place,populated place
Adiste,1,populated place,populated place
Adraku,1,populated place,populated place
Aegna,1,island,island
Aegna,1,island,island
Aegna Saar,1,island,island
Aegna-Sar,1,island,island
Aeli Järv,1,lake,basin
Agasilla,1,populated place,populated place
Ageri,1,populated place,populated place
Ahelaid,1,island,island
Ahelo Jõgi,1,river,stream
Aheru Järv,1,lake,basin
Ähijärv,1,lake,basin
Ahitse Järv,1,lake,basin
Ahtama,1,populated place,populated place
Ahtama Jõgi,1,river,stream
Ahtama Oja,1,river,stream
Aidu-Nõmme,1,populated place,populated place
Äigna,1,island,island
Äigna Saar,1,island,island
Akh’ya,1,river,stream
Akh’ya-Yygi,1,river,stream
Akhe-Layd,1,island,island
Akhekynnu,1,populated place,populated place
Akheru-Yarv,1,lake,basin
Akhi-Yarv,1,lake,basin
Akkilaid,1,island,island
Aksi,1,island,island
Aksi Saar,1,island,island
Äksi Saar,1,island,island
Ala-Järve,1,populated place,populated place
Ala-Mära,1,populated place,populated place
Ala-Yygi,1,river,stream
Alajõgi,1,river,stream
Alakülääre,1,populated place,populated place
Alatskivi,1,river,stream
Alayye,1,populated place,populated place
Aleti,2,populated place,populated place
Alikma,1,populated place,populated place
Allakyula,1,populated place,populated place
Älli,1,populated place,populated place
Alliklepa Laht,1,bay,concave shoreline
Allipa,1,populated place,populated place
Allirakhu,1,rock,elevation
Altia,1,populated place,populated place
Altja,1,populated place,populated place
Altja Oja,1,river,stream
Ambla,1,river,stream
Ämbra,1,populated place,populated place
Amme,1,river,stream
Amme Jõgi,1,river,stream
Änari,1,populated place,populated place
Andineme,1,populated place,populated place
Andresemägi,1,hill,elevation
Andrimäe,1,populated place,populated place
Anikaitse Pank,1,cliff,elevation
Anne,2,populated place,populated place
Annikatsi-Layd,1,island,island
Annikvere Oja,1,river,stream
Annküla,1,populated place,populated place
Apja,1,populated place,populated place
Apja Järved,1,lakes,basin
Arangu,1,populated place,populated place
Araste,2,populated place,populated place
Arbavere,1,populated place,populated place
Ärdi Raba,1,bog,marsh
Ärina,1,populated place,populated place
Ärismaa,1,populated place,populated place
Ariste,1,bay,concave shoreline
Arjadi Oja,1,river,stream
Ärma,1,river,stream
Armise Järv,1,lake,basin
Arrokyulla,1,populated place,populated place
Arujõgi,1,river,stream
Aruküla Jõgi,1,river,stream
Arumetsa,2,populated place,populated place
Arumyae,1,populated place,populated place
Astuvere,2,populated place,populated place
Asumaa,1,populated place,populated place
Atla Jõgi,1,river,stream
Atla Laht,1,bay,concave shoreline
Atla-Alt,1,populated place,populated place
Atse Jõgi,1,river,stream
Attel’,1,bay,concave shoreline
Au,1,populated place,populated place
Audru,1,river,stream
Aula,1,populated place,populated place
Avaste Mägi,1,hill,elevation
Avi-Yegi,1,river,stream
Avi-Yygi,1,river,stream
Avijõgi,1,river,stream
Avinurme Oja,1,river,stream
Avispea,1,populated place,populated place
Avre,1,populated place,populated place
Aya,1,river,stream
Bukhto-Sare,1,island,island
Lechtma,1,point,convex shoreline
Lehtma,1,point,convex shoreline
Leimandi,1,point,convex shoreline
Sarre-Ninna,1,point,convex shoreline
Sourop,1,peninsula,convex shoreline
Teffaninna,1,point,convex shoreline
Tovilaid,1,point,convex shoreline
Toviland,1,point,convex shoreline
Dibi,1,populated place,populated place
Dirhami Laht,1,bay,concave shoreline
Dirhami Neem,1,point,convex shoreline
Dirhami Nina,1,point,convex shoreline
Ebavere,1,populated place,populated place
Ebavere Mägi,1,hill,elevation
Edivere,2,populated place,populated place
Eerikukivi Laid,1,island,island
Eerikulaid,1,island,island
Ehne,1,river,stream
Eksi-Sar,1,island,island
El’bikeze,1,populated place,populated place
Elbu Raba,1,swamp,marsh
Elbu Soo,1,swamp,marsh
Ellama-Raba,1,bog,marsh
Ellamaa Raba,1,bog,marsh
Ellivere,1,populated place,populated place
Elujärv,1,lake,basin
Elva Jõgi,1,river,stream
Ema,1,river,stream
Emajõe Suursoo,1,marsh,marsh
Emajogl,1,river,stream
Emmomäggi,1,hill,elevation
Emumäe Linnamägi,1,hill,elevation
Emumägi,1,hill,elevation
Emumyagi,1,hill,elevation
Endla,1,lake,basin
Endla Järv,1,lake,basin
Endla Raba,1,bog,marsh
Enge Jõgi,1,river,stream
Enniksaare,1,populated place,populated place
Entse,1,populated place,populated place
Epra,1,populated place,populated place
Epu Raba,1,swamp,marsh
Epu-Raba,1,swamp,marsh
Erastvere Järv,1,lake,basin
Erde,1,bog,marsh
Ereda,1,river,stream
Ereda Jõgi,1,river,stream
Erra-Matka,2,populated place,populated place
Eru,1,bay,concave shoreline
Esmyae,1,populated place,populated place
Esna,1,river,stream
Esna Jõgi,1,river,stream
Espre,1,populated place,populated place
Essaksoo,1,swamp,marsh
Galliray,1,rock,elevation
Gauja,1,river,stream
Gelama Rakho,1,rock,elevation
Gellama,1,populated place,populated place
Gellama-Rakhu,1,rock,elevation
Gerö,1,island,island
Giuja,1,river,stream
Gräsör,1,island,island
Häädemeeste Jõgi,1,river,stream
Haagilõugas,1,bay,concave shoreline
Haamse,1,populated place,populated place
Haanja Kõrgustik,1,hills,elevated area
Haapsalu Laht,1,bay,concave shoreline
Häärmani,1,populated place,populated place
Haavakivi,1,populated place,populated place
Haavakivi Jõgi,1,river,stream
Haidaku,1,populated place,populated place
Haili,1,populated place,populated place
Halajala,1,river,stream
Haldi Nina,1,point,convex shoreline
Halinga,2,populated place,populated place
Halliste,1,river,stream
Halliste Jõgi,1,river,stream
Hämkoti,1,populated place,populated place
Hanikati Laid,1,island,island
Hanikats,1,island,island
Hanikatsi Laid,1,island,island
Hanikatsilaid,1,island,island
Hanni,1,populated place,populated place
Hannusemägi,1,hill,elevation
Hapsalas Līcis,1,bay,concave shoreline
Hara,1,island,island
Hara Saar,1,island,island
Hara Soo,1,marsh,marsh
Hari Kurk,1,strait,strait
Hari Väin,1,strait,strait
Harilaid,1,island,island
Härjapää,1,populated place,populated place
Harku Järv,1,lake,basin
Haru Laht,1,bay,concave shoreline
Hasi Saar,1,island,island
Haversi,1,populated place,populated place
Hedemēste,1,populated place,populated place
Heilu,1,populated place,populated place
Heinlaid,2,island,island
Helama Rahu,1,rock,elevation
Hellamaa Rahu,1,rock,elevation
Helmut,1,populated place,populated place
Heltermaa,1,populated place,populated place
Hetlamaa,1,populated place,populated place
Hiidenmaa,1,island,island
Hiiesoo,1,marsh,marsh
Hiiessaare Neem,1,point,convex shoreline
Hiiu,1,island,island
