place_category,beginning
basin,Lin
basin,Hin
basin,Kir
basin,Tam
basin,Karu
concave shoreline,Pal
concave shoreline,Kol
concave shoreline,Loh
concave shoreline,Ram
concave shoreline,Kak
concave shoreline,Khu
convex shoreline,Pal
convex shoreline,Pik
convex shoreline,Mer
convex shoreline,Kot
convex shoreline,Kak
convex shoreline,Ver
convex shoreline,Tri
convex shoreline,Rist
convex shoreline,Saar
convex shoreline,Papi
convex shoreline,Undv
convex shoreline,Lobi
convex shoreline,Tsit
convex shoreline,Kolju
convex shoreline,Rumpo
convex shoreline,Pedas
convex shoreline,Takhk
convex shoreline,Tahku
convex shoreline,Rokhu
convex shoreline,Petasa
convex shoreline,Pamman
elevation,Emum
elevation,Munam
elevation,Ninas
island,Ker
island,Kri
island,Khe
island,Kak
island,Kyu
island,Tul
island,Lin
island,Mal
island,Pak
island,Pii
island,Hii
island,Vai
island,Abr
island,Nais
island,Ramm
island,Vakh
island,Narg
island,Rokh
island,Sill
island,Vayn
island,Rukk
island,Rohu
island,Pand
island,Mani
island,Kess
island,Koks
island,Krya
island,Kura
island,Vohi
island,Kumar
island,Kassa
island,Vissu
island,Koips
island,Osmus
island,Pedas
island,Saare
island,Vares
island,Stensk
island,Vesilo
marsh,Kes
marsh,Lau
marsh,Sir
populated place,Ker
populated place,Soo
populated place,Par
populated place,Kas
populated place,Kaa
populated place,Roo
populated place,Yar
populated place,Lei
populated place,Ven
populated place,Kal
populated place,Kae
populated place,Kar
populated place,Vil
populated place,Ver
populated place,Kõr
populated place,Kuk
populated place,Kus
populated place,Paa
populated place,Pih
populated place,Sau
populated place,Mya
populated place,Ala
populated place,Lau
populated place,Pik
populated place,Adi
populated place,Kää
populated place,Kui
populated place,Klo
populated place,Sak
populated place,Khy
populated place,Rah
populated place,Tän
populated place,Tur
populated place,Tuu
populated place,Ill
populated place,Vah
populated place,Kak
populated place,Pää
populated place,Vya
populated place,Hol
populated place,Pak
populated place,Kiv
populated place,Pra
populated place,Lae
populated place,Pur
populated place,Mar
populated place,Uue
populated place,Rii
populated place,Kud
populated place,Sui
populated place,Mur
populated place,Kei
populated place,Keh
populated place,Koi
populated place,Kär
populated place,Tamm
populated place,Kure
populated place,Kyar
populated place,Savi
populated place,Vall
populated place,Viru
populated place,Järv
populated place,Kabl
populated place,Kang
populated place,Palu
populated place,Uus 
populated place,Nigu
populated place,Kana
populated place,Taga
populated place,Kiri
populated place,Konn
populated place,Suure
populated place,Metsa
populated place,Saare
populated place,Vastse
stream,Kon
stream,Ped
stream,Pad
stream,Lin
stream,Kas
stream,Ema
stream,Ala
stream,Avi
stream,Pun
stream,Por
stream,Must
stream,Lemm
stream,Saar
stream,Vasa
stream,Valg
stream,Karja
stream,Ranna
