name,place_category,frequency
Aardla,basin,1
Aasa,populated place,2
Abissaare,populated place,1
Abro,island,1
Abruk,island,1
Abruka,island,2
Adavere,populated place,1
Adila Krimmi,populated place,1
Adila Tagaküla,populated place,1
Adiste,populated place,1
Adraku,populated place,1
Aeli,basin,1
Agasilla,populated place,1
Ageri,populated place,1
Ahelaid,island,1
Ahelo,stream,1
Aheru,basin,1
Ahitse,basin,1
Ahtama,populated place,1
Ahtama,stream,2
Ahtme,populated place,1
Aidu,populated place,1
Akhe,island,1
Akhekynnu,populated place,1
Akheru,basin,1
Akhi,basin,1
Akh’ya,stream,2
Akkilaid,island,1
Aksi,island,2
Ala,stream,1
Ala Järve,populated place,1
Ala Mära,populated place,1
Alajõgi,stream,1
Alakülääre,populated place,1
Alatskivi,stream,1
Alayye,populated place,1
Aleti,populated place,2
Alikma,populated place,1
Allakyula,populated place,1
Alliklepa,concave shoreline,1
Allipa,populated place,1
Allirakhu,elevation,1
Altia,populated place,1
Altja,populated place,1
Altja,stream,1
Ambla,stream,1
Amme,stream,2
Andineme,populated place,1
Andresemägi,elevation,1
Andrimäe,populated place,1
Anikaitse,elevation,1
Anne,populated place,2
Annikatsi,island,1
Annikvere,stream,1
Annküla,populated place,1
Apja,basin,1
Apja,populated place,1
Arangu,populated place,1
Araste,populated place,2
Arbavere,populated place,1
Ariste,concave shoreline,1
Arjadi,stream,1
Armise,basin,1
Arrokyulla,populated place,1
Arujõgi,stream,1
Aruküla,stream,1
Arumetsa,populated place,2
Arumyae,populated place,1
Astuvere,populated place,2
Asumaa,populated place,1
Atla,concave shoreline,1
Atla,stream,1
Atla Alt,populated place,1
Atse,stream,1
Attel’,concave shoreline,1
Au,populated place,1
Audru,stream,1
Aula,populated place,1
Avaste,elevation,1
Avi,stream,2
Avijõgi,stream,1
Avinurme,stream,1
Avispea,populated place,1
Avre,populated place,1
Aya,stream,1
Bukhto Sare,island,1
Dibi,populated place,1
Dirhami,concave shoreline,1
Dirhami,convex shoreline,2
Ebavere,elevation,1
Ebavere,populated place,1
Edivere,populated place,2
Eerikukivi,island,1
Eerikulaid,island,1
Ehne,stream,1
Eksi,island,1
Elbu,marsh,2
Ellama,marsh,1
Ellamaa,marsh,1
Ellivere,populated place,1
Elujärv,basin,1
Elva,stream,1
El’bikeze,populated place,1
Ema,stream,1
Emajogl,stream,1
Emajõe Suursoo,marsh,1
Emajõgi,stream,1
Emmajõgi,stream,1
Emmomäggi,elevation,1
Emumyagi,elevation,1
Emumäe Linnamägi,elevation,1
Emumägi,elevation,1
Endla,basin,2
Endla,marsh,1
Enge,stream,1
Enniksaare,populated place,1
Entse,populated place,1
Epra,populated place,1
Epu,marsh,2
Erastvere,basin,1
Erde,marsh,1
Ereda,stream,2
Erina,populated place,1
Erra Matka,populated place,2
Eru,concave shoreline,1
Esmyae,populated place,1
Esna,stream,2
Espre,populated place,1
Essaksoo,marsh,1
Galliray,elevation,1
Gauja,stream,1
Gelama Rakho,elevation,1
Gellama,elevation,1
Gellama,populated place,1
Gerö,island,1
Giuja,stream,1
Gräsör,island,1
Haagilõugas,concave shoreline,1
Haamse,populated place,1
Haanja Kõrgustik,elevated area,1
Haapsalu,concave shoreline,1
Haavakivi,populated place,1
Haavakivi,stream,1
Haidaku,populated place,1
Haili,populated place,1
Halajala,stream,1
Haldi,convex shoreline,1
Halinga,populated place,2
Halliste,stream,2
Hanikase,populated place,1
Hanikati,island,1
Hanikats,island,1
Hanikatsi,island,1
Hanikatsilaid,island,1
Hanni,populated place,1
Hannusemägi,elevation,1
Hapsalas Līcis,concave shoreline,1
Hara,island,2
Hara,marsh,1
Hari,strait,2
Harilaid,island,1
Harku,basin,1
Haru,concave shoreline,1
Hasi,island,1
Haversi,populated place,1
Hedemēste,populated place,1
Heilu,populated place,1
Heinlaid,island,2
Helama,elevation,1
Hellamaa,elevation,1
Helmut,populated place,1
Heltermaa,populated place,1
Hetlamaa,populated place,1
Hiidenmaa,island,1
Hiiesoo,marsh,1
Hiiessaare,convex shoreline,1
Hiiu,concave shoreline,1
Hiiu,island,1
Hiiumaa,island,1
Hilba,stream,2
Hindaste,basin,1
Hindi,populated place,1
Hingu,populated place,1
Hingu,stream,1
Hinnojärv,basin,1
Hino,basin,1
Hirmuse,stream,1
Hoboala,populated place,1
Hobulaiu,populated place,1
Holdreküla,populated place,1
Hollopi,populated place,1
Holm,populated place,1
Horuka,island,1
Hulgekari,convex shoreline,1
Humala,populated place,1
Huule,populated place,1
Huuluti,island,1
Hylkari,convex shoreline,1
Hämkoti,populated place,1
Härjapää,populated place,1
Häädemeeste,stream,1
Häärmani,populated place,1
Hõralaid,island,1
Höralaid,island,1
Hülgekari,convex shoreline,1
Hülkari,convex shoreline,2
Hürjaste,populated place,1
Hüüru,stream,1
Hīumā,island,1
Igavere Saunaküla,populated place,1
Ignase,populated place,2
Ihasalu,convex shoreline,3
Ihändü,populated place,1
Ikepera,stream,1
Ikhasalu,concave shoreline,1
Ikhasaluneyem,convex shoreline,1
Ila,populated place,1
Illevere,populated place,1
Illevere Tagaküla,populated place,1
Illurmaa,populated place,1
Ilmandu,stream,1
