place_category,ending
basin,iku
basin,mäe
basin,dla
basin,atu
basin,ula
basin,rvi
basin,uni
basin,vere
basin,iste
basin,yarv
basin,kjärv
basin,sjärv
basin,järve
basin,stjärv
concave shoreline,vik
concave shoreline,mme
concave shoreline,salu
concave shoreline,lepa
concave shoreline,tel’
concave shoreline,ssaare
convex shoreline,ots
convex shoreline,ase
convex shoreline,nna
convex shoreline,salu
convex shoreline,htma
convex shoreline,nukk
convex shoreline,hami
convex shoreline,spea
convex shoreline,neme
convex shoreline,neyem
convex shoreline,uneem
convex shoreline,ekari
convex shoreline,mandi
convex shoreline,ilaid
convex shoreline,inina
convex shoreline,renina
convex shoreline,assaar
convex shoreline,kunina
convex shoreline,kanina
convex shoreline,assaare
elevation,arahu
elevation,semägi
island,ksi
island,hnu
island,ike
island,her
island,loo
island,iya
island,uka
island,kari
island,aare
island,umaa
island,atsi
island,suli
island,imaa
island,meri
island,ulaid
island,alayd
island,isaar
island,esaar
island,usaar
island,arahu
island,asaar
island,ksaar
island,issar
island,rlaid
island,ulayd
island,selaid
island,ralaid
island,lalaid
island,silaid
island,issaar
island,relaid
island,rilaid
marsh,ika
marsh,ama
marsh,are
marsh,tla
marsh,rdi
marsh,dla
marsh,esoo
marsh,raba
marsh,soo
populated place,’ya
populated place,ama
populated place,lli
populated place,tla
populated place,aku
populated place,ksi
populated place,nnu
populated place,dla
populated place,ina
populated place,uka
populated place,pää
populated place,ema
populated place,tri
populated place,ika
populated place,yla
populated place,ngu
populated place,uri
populated place,eri
populated place,ima
populated place,eva
populated place,sta
populated place,aru
populated place,hja
populated place,aya
populated place,ali
populated place,ldi
populated place,lma
populated place,yye
populated place,idu
populated place,pea
populated place,uru
populated place,eme
populated place,tja
populated place,rma
populated place,ava
populated place,tke
populated place,nda
populated place,ike
populated place,suu
populated place,uli
populated place,rva
populated place,ssa
populated place,ora
populated place,ari
populated place,rga
populated place,tsu
populated place,nni
populated place,iste
populated place,salu
populated place,riku
populated place,amaa
populated place,sare
populated place,mani
populated place,eski
populated place,uski
populated place,este
populated place,külä
populated place,emaa
populated place,pere
populated place,myae
populated place,lepa
populated place,umäe
populated place,gula
populated place,ärve
populated place,kase
populated place,astu
populated place,issi
populated place,imäe
populated place,indi
populated place,anna
populated place,atsi
populated place,rila
populated place,asoo
populated place,yala
populated place,itsa
populated place,andi
populated place,pera
populated place,iatu
populated place,otsa
populated place,rkse
populated place,itse
populated place,kyula
populated place,eküla
populated place,silla
populated place,ivere
populated place,iküla
populated place,laane
populated place,uvere
populated place,luste
populated place,raste
populated place,agupi
populated place,laste
populated place,nymme
populated place,selja
populated place,imetsa
populated place,taguse
populated place,saküla
populated place,emõisa
populated place,ruküla
populated place,evälja
populated place,bavere
populated place,llavere
populated place,issaare
populated place,ussaare
populated place,llevere
populated place,küla
strait,veyn
stream,ala
stream,ula
stream,dva
stream,iku
stream,tla
stream,eda
stream,aja
stream,ivi
stream,tse
stream,ngu
stream,lja
stream,ski
stream,sti
stream,ila
stream,’ya
stream,lge
stream,äsna
stream,aare
stream,aste
stream,andu
stream,erja
stream,yegi
stream,ajõgi
stream,kvere
stream,kraav
stream,stoja
stream,mõisa
stream,aküla
