place_category,beginning
basin,Kar
basin,Luo
basin,Kos
basin,Kor
basin,Lau
basin,Kil
basin,Kur
basin,Leh
basin,Sai
basin,Sal
basin,Tal
basin,Pir
basin,Yli
basin,Vii
basin,Pal
basin,Kal
basin,Must
basin,Löyt
basin,Tuhk
basin,Väärä
convex shoreline,Sal
convex shoreline,Kau
convex shoreline,Kan
convex shoreline,Var
elevation,Kar
elevation,Koi
elevation,Pii
elevation,Kai
elevation,Kul
elevation,Kol
elevation,Kir
elevation,Kel
elevation,Kor
elevation,Sav
elevation,Suu
elevation,Vii
elevation,Tol
elevation,Pit
elevation,Pih
elevation,Juu
elevation,Must
elevation,Raja
island,Var
island,Kai
island,Kor
marsh,Pal
marsh,Koi
marsh,Leh
marsh,Ris
marsh,Mut
marsh,Kai
marsh,Val
marsh,Pir
marsh,Kan
marsh,Kivi
marsh,Vesi
marsh,Musta
populated place,Vuo
populated place,Kär
populated place,Ala
populated place,Hei
populated place,Var
populated place,Hal
populated place,Yli
populated place,Pie
populated place,Kau
populated place,Kan
populated place,Kuu
populated place,Vas
populated place,Ruo
populated place,Lei
populated place,Por
populated place,Rat
populated place,Kei
populated place,Val
populated place,Kai
populated place,Kas
populated place,Lau
populated place,Mie
populated place,Sim
populated place,Kur
populated place,Sat
populated place,Huh
populated place,Hie
populated place,Hol
populated place,Rii
populated place,Tuo
populated place,Tuu
populated place,Kam
populated place,Ker
populated place,Vih
populated place,Vat
populated place,Vaa
populated place,Ves
populated place,Ali
populated place,Leh
populated place,Lap
populated place,Lii
populated place,Lou
populated place,Kut
populated place,Kot
populated place,Kop
populated place,Kiv
populated place,Poh
populated place,Pih
populated place,Raa
populated place,Mar
populated place,Met
populated place,Par
populated place,Ora
populated place,Ran
populated place,Ryt
populated place,Sap
populated place,Tii
populated place,Tor
populated place,Hii
populated place,Hir
populated place,Tak
populated place,Her
populated place,Sää
populated place,Sau
populated place,Har
populated place,Suur
populated place,Pelt
populated place,Must
populated place,Mäki
populated place,Perä
populated place,Suom
populated place,Jyrk
populated place,Matt
populated place,Kuor
populated place,Lamp
populated place,Mann
populated place,Raut
populated place,Kirk
populated place,Anna
populated place,Muur
populated place,Mans
populated place,Korj
populated place,Piip
populated place,Puro
populated place,Karh
populated place,Munk
populated place,Kall
populated place,Karj
populated place,Koivu
populated place,Hevos
populated place,Korpi
populated place,Koski
populated place,Rauha
populated place,Saari
populated place,Terva
populated place,Kolun
populated place,Haapa
populated place,Hanhi
populated place,Hauta
populated place,Pirtti
stream,Kor
stream,Vuo
stream,Saar
